row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc,description,abs(LFC)
ENSG00000083444,311.87788,0.349177763,0.123322184,2.831427007,0.004634081,0.034212214,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]",0.349177763
ENSG00000116688,957.8983818,0.382536294,0.139111768,2.749848548,0.005962282,0.039131786,MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877],0.382536294
ENSG00000116691,288.8089332,0.347134237,0.117675291,2.949933105,0.003178427,0.027537878,MIIP,migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:HGNC:25715],0.347134237
ENSG00000028137,5288.477742,0.307852427,0.089624435,3.434916238,0.000592737,0.010785088,TNFRSF1B,TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917],0.307852427
ENSG00000162496,152.6915313,-0.436645374,0.137866243,-3.167166698,0.001539321,0.018178276,DHRS3,dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693],0.436645374
ENSG00000058453,317.8749919,-0.455808072,0.13110665,-3.476620552,0.000507776,0.009978121,CROCC,"ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]",0.455808072
ENSG00000117115,1846.814505,0.64341426,0.213167253,3.01835413,0.002541517,0.024488255,PADI2,peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341],0.64341426
ENSG00000159339,840.4883999,0.477071338,0.175429098,2.719453865,0.006538982,0.041128411,PADI4,peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368],0.477071338
ENSG00000127463,276.8987265,-0.252946791,0.082942505,-3.049664231,0.002290973,0.023434797,EMC1,ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957],0.252946791
ENSG00000158825,514.2044019,0.724199367,0.184679681,3.921380864,8.80E-05,0.004166783,CDA,cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712],0.724199367
ENSG00000075151,577.3544798,0.262636643,0.093229052,2.817111581,0.004845769,0.034884786,EIF4G3,eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298],0.262636643
ENSG00000117298,2360.74982,0.354060316,0.121289951,2.919123257,0.003510174,0.029245292,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146],0.354060316
ENSG00000162551,1981.646658,0.790423168,0.242661407,3.257308932,0.00112474,0.015260238,ALPL,"alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:HGNC:438]",0.790423168
ENSG00000070831,1964.897541,0.23850714,0.071243509,3.34777362,0.000814635,0.012938806,CDC42,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736],0.23850714
ENSG00000184677,443.6038395,-0.278825336,0.098831836,-2.821209701,0.004784292,0.034661482,ZBTB40,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045],0.278825336
ENSG00000004487,246.4696681,-0.297217215,0.093254143,-3.187174386,0.001436701,0.0174946,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],0.297217215
ENSG00000007968,994.3008795,0.764346372,0.277705779,2.752360342,0.005916738,0.038995912,E2F2,E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114],0.764346372
ENSG00000117614,204.9097104,0.274123377,0.097552493,2.810008948,0.004954012,0.035219467,SYF2,SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824],0.274123377
ENSG00000183726,441.5602611,0.270930293,0.081097184,3.340810105,0.000835343,0.013102697,TMEM50A,transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590],0.270930293
ENSG00000157978,812.2295171,-0.306943991,0.11679057,-2.628157314,0.00858488,0.048248044,LDLRAP1,low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640],0.306943991
ENSG00000142669,1538.932221,0.28398483,0.104006598,2.730450145,0.00632479,0.040398691,SH3BGRL3,SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568],0.28398483
ENSG00000117682,312.3380296,-0.188785341,0.069772792,-2.705715724,0.006815736,0.042190902,DHDDS,dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603],0.188785341
ENSG00000198830,924.3097029,0.221773604,0.072793247,3.046623325,0.002314275,0.023544743,HMGN2,high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986],0.221773604
ENSG00000142765,739.3523885,-0.283635867,0.06798509,-4.172030453,3.02E-05,0.002536828,SYTL1,synaptotagmin like 1 [Source:HGNC Symbol;Acc:HGNC:15584],0.283635867
ENSG00000000938,3520.707163,0.361552389,0.114285837,3.163580016,0.001558415,0.01822885,FGR,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",0.361552389
ENSG00000126709,677.7396308,1.058896568,0.319854028,3.31056193,0.000931088,0.013801907,IFI6,interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054],1.058896568
ENSG00000117758,219.0614331,0.255689212,0.078192235,3.270007698,0.001075446,0.014977393,STX12,syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430],0.255689212
ENSG00000130775,3131.093395,0.270451836,0.097879903,2.763098734,0.005725544,0.038431958,THEMIS2,thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839],0.270451836
ENSG00000162511,7744.347056,0.305482256,0.085948712,3.554238923,0.000379075,0.008572447,LAPTM5,lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612],0.305482256
ENSG00000182866,835.4215545,-0.340479725,0.111253859,-3.060385762,0.002210521,0.022963555,LCK,"LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]",0.340479725
ENSG00000116514,1152.75499,0.296281465,0.109578898,2.703818625,0.006854769,0.042304483,RNF19B,ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886],0.296281465
ENSG00000134686,2029.098144,0.816348525,0.212351507,3.844326496,0.000120884,0.00488577,PHC2,polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183],0.816348525
ENSG00000116560,1835.49413,-0.11274932,0.042052684,-2.681144409,0.007337085,0.044022508,SFPQ,splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774],0.11274932
ENSG00000146463,201.1975218,-0.27341422,0.096233691,-2.841148627,0.004495136,0.033591502,ZMYM4,zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055],0.27341422
ENSG00000134698,1442.565572,0.322124996,0.114412351,2.815473969,0.004870534,0.034954763,AGO4,"argonaute 4, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18424]",0.322124996
ENSG00000188786,519.9269216,0.272981286,0.100382002,2.719424594,0.00653956,0.041128411,MTF1,metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428],0.272981286
ENSG00000183431,280.7424084,-0.234726413,0.083322809,-2.817072723,0.004846355,0.034884786,SF3A3,splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767],0.234726413
ENSG00000131236,3663.629395,0.282781691,0.100417412,2.816062335,0.004861623,0.034928667,CAP1,cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040],0.282781691
ENSG00000084070,4613.146415,0.658935572,0.194481409,3.388167419,0.000703613,0.011888855,SMAP2,small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082],0.658935572
ENSG00000065978,5736.321366,0.560233497,0.20598334,2.719800037,0.00653214,0.041128411,YBX1,Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014],0.560233497
ENSG00000117394,798.1089556,0.440052241,0.165304051,2.662077777,0.007765993,0.04553173,SLC2A1,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005],0.440052241
ENSG00000198198,883.8009801,-0.171188627,0.056758111,-3.01610858,0.002560416,0.024570589,SZT2,"SZT2, KICSTOR complex subunit [Source:HGNC Symbol;Acc:HGNC:29040]",0.171188627
ENSG00000117410,1018.457635,0.402991437,0.120848192,3.334691495,0.000853941,0.013221149,ATP6V0B,ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861],0.402991437
ENSG00000126088,128.8518059,0.341554084,0.121015267,2.82240491,0.004766495,0.034661482,UROD,uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591],0.341554084
ENSG00000117450,127.409256,0.392669015,0.116689372,3.365079512,0.000765216,0.012423969,PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352],0.392669015
ENSG00000079277,682.332665,0.405701726,0.125732789,3.226697893,0.001252276,0.016082412,MKNK1,MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110],0.405701726
ENSG00000132122,78.30707149,0.764421707,0.197362601,3.87318419,0.000107423,0.004701842,SPATA6,spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309],0.764421707
ENSG00000185104,184.5551577,-0.219784281,0.08237583,-2.668067563,0.007628892,0.045061699,FAF1,Fas associated factor 1 [Source:HGNC Symbol;Acc:HGNC:3578],0.219784281
ENSG00000085832,756.47416,0.165931069,0.063262522,2.622896861,0.008718566,0.048653902,EPS15,epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419],0.165931069
ENSG00000078618,1061.073243,0.310175471,0.093967212,3.300890439,0.000963785,0.014050584,NRDC,nardilysin convertase [Source:HGNC Symbol;Acc:HGNC:7995],0.310175471
ENSG00000154222,360.5166513,-0.204636572,0.078344421,-2.612012057,0.009001108,0.049579332,CC2D1B,coiled-coil and C2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29386],0.204636572
ENSG00000134744,485.9143712,-0.250202217,0.086072065,-2.906892232,0.003650389,0.029786424,TUT4,terminal uridylyl transferase 4 [Source:HGNC Symbol;Acc:HGNC:28981],0.250202217
ENSG00000182183,195.9150719,-0.392185301,0.139089761,-2.819656153,0.004807513,0.034750199,SHISAL2A,shisa like 2A [Source:HGNC Symbol;Acc:HGNC:28757],0.392185301
ENSG00000121310,229.7755496,-0.377540039,0.124123415,-3.041650424,0.00235285,0.023699819,ECHDC2,enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408],0.377540039
ENSG00000116209,547.8450237,0.279990513,0.07981635,3.507934334,0.000451601,0.009404786,TMEM59,transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239],0.279990513
ENSG00000184588,608.0115757,0.308482886,0.087799886,3.513477084,0.000442283,0.009355902,PDE4B,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781],0.308482886
ENSG00000116717,97.97497992,0.904490049,0.212432293,4.25778037,2.06E-05,0.002086192,GADD45A,growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095],0.904490049
ENSG00000116754,835.1782133,-0.1780477,0.063637629,-2.797836807,0.00514461,0.036001975,SRSF11,serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782],0.1780477
ENSG00000137959,446.3872847,1.211550407,0.436641603,2.774702178,0.005525228,0.037614974,IFI44L,interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817],1.211550407
ENSG00000137965,234.1311228,1.07698578,0.377726896,2.851228735,0.004355063,0.033369741,IFI44,interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938],1.07698578
ENSG00000174021,237.6935775,0.303146738,0.098950724,3.063613135,0.002186815,0.022749583,GNG5,G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408],0.303146738
ENSG00000122432,129.6093479,0.442611731,0.165952122,2.667104977,0.007650777,0.045106816,SPATA1,spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682],0.442611731
ENSG00000117151,513.7008328,0.388512664,0.125609492,3.093019947,0.001981308,0.021239705,CTBS,chitobiase [Source:HGNC Symbol;Acc:HGNC:2496],0.388512664
ENSG00000097033,897.2448215,0.328426258,0.119718747,2.743315188,0.006082227,0.039567806,SH3GLB1,"SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]",0.328426258
ENSG00000065243,804.9131508,0.22511206,0.082625464,2.72448771,0.006440133,0.040833365,PKN2,protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406],0.22511206
ENSG00000117228,776.5210893,0.734597755,0.192200865,3.822031467,0.000132357,0.005094363,GBP1,guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182],0.734597755
ENSG00000162645,1804.705651,0.475405051,0.114003631,4.170086914,3.04E-05,0.002536828,GBP2,guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183],0.475405051
ENSG00000162654,616.1518539,0.392405432,0.147239608,2.665080662,0.007696986,0.045239476,GBP4,guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480],0.392405432
ENSG00000069702,256.3206294,-0.559964254,0.173799024,-3.22190678,0.001273406,0.01625646,TGFBR3,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774],0.559964254
ENSG00000067208,197.2889796,0.367898979,0.106020358,3.47007862,0.000520306,0.010085442,EVI5,ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501],0.367898979
ENSG00000188641,1230.756107,0.42786151,0.076666218,5.580834959,2.39E-08,7.58E-05,DPYD,dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012],0.42786151
ENSG00000162688,167.0721671,-0.289849604,0.103806738,-2.792204158,0.005235031,0.036320182,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]",0.289849604
ENSG00000134215,443.1092884,0.28319905,0.095012562,2.980648489,0.002876388,0.026118478,VAV3,vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659],0.28319905
ENSG00000215717,234.8908515,0.338335749,0.108041574,3.131532968,0.001738963,0.019523247,TMEM167B,transmembrane protein 167B [Source:HGNC Symbol;Acc:HGNC:30187],0.338335749
ENSG00000134243,648.4758475,0.806551506,0.163084381,4.945608546,7.59E-07,0.000400533,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186],0.806551506
ENSG00000065135,1031.69847,0.293259614,0.084127116,3.485910704,0.000490465,0.009840767,GNAI3,G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387],0.293259614
ENSG00000116396,174.3566618,-0.468609372,0.139387646,-3.361914659,0.00077404,0.012481895,KCNC4,potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236],0.468609372
ENSG00000143119,3377.168683,0.369192494,0.090321966,4.087516153,4.36E-05,0.002896002,CD53,CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686],0.369192494
ENSG00000162777,1123.315283,-0.327973929,0.090848081,-3.610136017,0.000306036,0.00784986,DENND2D,DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192],0.327973929
ENSG00000116459,260.2590011,0.296680666,0.095705344,3.099938356,0.001935609,0.02084401,ATP5PB,ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840],0.296680666
ENSG00000143110,323.7569456,0.361245422,0.100603957,3.590767518,0.000329706,0.008082196,C1orf162,chromosome 1 open reading frame 162 [Source:HGNC Symbol;Acc:HGNC:28344],0.361245422
ENSG00000116473,673.995736,0.258094638,0.076240731,3.385259216,0.000711111,0.011954211,RAP1A,"RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]",0.258094638
ENSG00000197852,1484.458079,0.441862375,0.157621059,2.803320683,0.005057935,0.035664637,INKA2,inka box actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:28045],0.441862375
ENSG00000116489,1137.95044,0.301186362,0.092845396,3.243955813,0.00117882,0.01561567,CAPZA1,capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488],0.301186362
ENSG00000134262,115.6331662,-0.332253688,0.110748623,-3.000070601,0.00269917,0.025280607,AP4B1,adaptor related protein complex 4 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:572],0.332253688
ENSG00000163393,392.310611,0.652217236,0.158585472,4.112717443,3.91E-05,0.002718518,SLC22A15,solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301],0.652217236
ENSG00000116815,207.2160786,0.378509509,0.112658325,3.359800605,0.000779987,0.012556476,CD58,CD58 molecule [Source:HGNC Symbol;Acc:HGNC:1688],0.378509509
ENSG00000134250,3952.941866,0.316854339,0.106297836,2.980816443,0.002874811,0.026118478,NOTCH2,notch 2 [Source:HGNC Symbol;Acc:HGNC:7882],0.316854339
ENSG00000265808,493.1629957,0.240538976,0.083680602,2.874489064,0.004046818,0.031827129,SEC22B,"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:10700]",0.240538976
ENSG00000198019,235.5926481,0.967449827,0.224468201,4.30996382,1.63E-05,0.001846244,FCGR1B,Fc fragment of IgG receptor Ib [Source:HGNC Symbol;Acc:HGNC:3614],0.967449827
ENSG00000265972,15273.83898,0.386430485,0.136966542,2.821349499,0.004782207,0.034661482,TXNIP,thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952],0.386430485
ENSG00000131791,122.7355381,-0.254615646,0.097331911,-2.615952403,0.008897896,0.049335795,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379],0.254615646
ENSG00000150337,169.7190223,1.425821596,0.249040952,5.725249538,1.03E-08,7.58E-05,FCGR1A,Fc fragment of IgG receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613],1.425821596
ENSG00000203814,739.4067377,0.402702971,0.114809396,3.507578525,0.000452205,0.009404786,HIST2H2BF,histone cluster 2 H2B family member f [Source:HGNC Symbol;Acc:HGNC:24700],0.402702971
ENSG00000183598,186.9132996,0.418721404,0.151155814,2.770130974,0.005603376,0.037972268,HIST2H3D,histone cluster 2 H3 family member d [Source:HGNC Symbol;Acc:HGNC:25311],0.418721404
ENSG00000163125,406.0341029,-0.178560137,0.064993512,-2.747353275,0.006007838,0.039326291,RPRD2,regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29039],0.178560137
ENSG00000143374,87.58649835,-0.351151683,0.122673817,-2.862482728,0.004203362,0.032590636,TARS2,"threonyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30740]",0.351151683
ENSG00000143382,832.9936431,0.363917309,0.136154961,2.672817118,0.007521724,0.04470672,ADAMTSL4,ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706],0.363917309
ENSG00000143384,9706.540507,0.354760409,0.11184068,3.172015841,0.001513847,0.017966949,MCL1,"MCL1, BCL2 family apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:6943]",0.354760409
ENSG00000163131,7224.040737,0.314753545,0.087749903,3.586938933,0.000334583,0.008082196,CTSS,cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545],0.314753545
ENSG00000143458,210.0971308,-0.309596217,0.10424124,-2.969997447,0.002978022,0.026661941,GABPB2,GA binding protein transcription factor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:28441],0.309596217
ENSG00000159352,518.8341474,0.262387688,0.08356858,3.139788772,0.001690697,0.019231424,PSMD4,"proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]",0.262387688
ENSG00000143416,2505.441257,0.810899416,0.31016917,2.61437788,0.008939011,0.049390766,SELENBP1,selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719],0.810899416
ENSG00000143376,979.3633161,0.366045166,0.110328388,3.317778597,0.000907364,0.013593282,SNX27,sorting nexin family member 27 [Source:HGNC Symbol;Acc:HGNC:20073],0.366045166
ENSG00000163191,1781.848923,0.562249965,0.152047479,3.697857863,0.000217427,0.006704927,S100A11,S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488],0.562249965
ENSG00000163220,7910.076615,0.864647116,0.185425443,4.663044632,3.12E-06,0.000683335,S100A9,S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499],0.864647116
ENSG00000163221,186.1729424,1.111421864,0.271460875,4.094224858,4.24E-05,0.002833234,S100A12,S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489],1.111421864
ENSG00000143546,880.2182422,0.906397771,0.213706405,4.241322449,2.22E-05,0.002175792,S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498],0.906397771
ENSG00000197956,826.9165032,0.376481757,0.103321975,3.643772376,0.000268671,0.007229002,S100A6,S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496],0.376481757
ENSG00000196154,1190.893249,0.293225763,0.090946405,3.224160029,0.001263428,0.01615079,S100A4,S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494],0.293225763
ENSG00000143553,80.79455165,0.361427422,0.127430272,2.836275997,0.004564298,0.033921523,SNAPIN,SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145],0.361427422
ENSG00000143570,298.9093393,0.25613017,0.097870567,2.617029601,0.008869865,0.049209099,SLC39A1,solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876],0.25613017
ENSG00000143549,3154.061714,0.203436957,0.066876082,3.041998744,0.002350129,0.023699819,TPM3,tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012],0.203436957
ENSG00000143612,382.5531012,0.244433674,0.072834838,3.355999398,0.000790787,0.012665934,C1orf43,chromosome 1 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:29876],0.244433674
ENSG00000143515,937.3844751,-0.349659384,0.113148969,-3.090256905,0.001999834,0.021379737,ATP8B2,ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534],0.349659384
ENSG00000160710,5555.355396,0.312747696,0.110352803,2.834071152,0.00459591,0.034076465,ADAR,"adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]",0.312747696
ENSG00000173171,140.769904,0.407924069,0.149204481,2.733993409,0.00625713,0.04020989,MTX1,metaxin 1 [Source:HGNC Symbol;Acc:HGNC:7504],0.407924069
ENSG00000177628,238.7437431,0.347044884,0.107882293,3.216884589,0.001295907,0.016483695,GBA,glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177],0.347044884
ENSG00000143622,421.7016123,0.438041673,0.112599648,3.890257939,0.000100138,0.004507621,RIT1,Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023],0.438041673
ENSG00000160803,140.8097797,-0.328841814,0.110859216,-2.966301103,0.003014052,0.026754564,UBQLN4,ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237],0.328841814
ENSG00000196189,912.4813207,0.451074575,0.14386661,3.135366684,0.001716394,0.019408856,SEMA4A,semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729],0.451074575
ENSG00000160785,707.8658297,0.298549651,0.111122994,2.686659532,0.007217047,0.043549884,SLC25A44,solute carrier family 25 member 44 [Source:HGNC Symbol;Acc:HGNC:29036],0.298549651
ENSG00000143321,2037.254031,0.623493536,0.222147791,2.806660974,0.005005789,0.035406292,HDGF,heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856],0.623493536
