© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-AIHnocirrhosis
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIHcirrhosis-vs-AIHnocirrhosis
Date	Tue Jan 29 21:37:22 PST 2019
Analysis ID	17364205

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-AIHnocirrhosis
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	1.09E-02	FZD5,	
Fc Epsilon RI Signaling	-0E00	NaN	1.57E-02	IRS1,MAP2K3	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	NaN	1.09E-02	RAB11B,	
FcγRIIB Signaling in B Lymphocytes	-0E00	NaN	1.15E-02	IRS1,	
G Beta Gamma Signaling	-0E00	NaN	1.68E-02	GNAS,GNA12	
G-Protein Coupled Receptor Signaling	-0E00	NaN	1.77E-02	GNAS,IRS1,RAP1GAP,RGS10,SSTR3	
GDNF Family Ligand-Receptor Interactions	-0E00	NaN	1.19E-02	IRS1,	
GNRH Signaling	-0E00	NaN	1.18E-02	GNAS,MAP2K3	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	NaN	1.37E-02	GNAS,	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	NaN	8.93E-03	GNAS,	
Gap Junction Signaling	-0E00	NaN	9.62E-03	GNAS,IRS1	
Germ Cell-Sertoli Cell Junction Signaling	-0E00	NaN	1.67E-02	IRS1,MAP2K3,CDH1	
Glioma Invasiveness Signaling	-0E00	NaN	1.28E-02	IRS1,	
Glucocorticoid Receptor Signaling	-0E00	NaN	1.73E-02	KAT2B,PBX1,BAG1,IRS1,BCL2L1,FOXO3	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	5.56E-03	HSPB1,	
Gαq Signaling	-0E00	NaN	1.23E-02	GNAS,IRS1	
Gαs Signaling	-0E00	NaN	9.35E-03	GNAS,	
HER-2 Signaling in Breast Cancer	-0E00	NaN	1.04E-02	IRS1,	
HGF Signaling	-0E00	NaN	8.26E-03	IRS1,	
HIPPO signaling	-0E00	NaN	1.18E-02	PPP2R5B,	
Heparan Sulfate Biosynthesis	-0E00	NaN	1.20E-02	PRDX6,	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	1.32E-02	PRDX6,	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00	NaN	1.61E-02	MYL4,COL6A3,IGF2	
IGF-1 Signaling	-0E00	NaN	1.77E-02	IRS1,FOXO3	
IL-12 Signaling and Production in Macrophages	-0E00	NaN	6.76E-03	IRS1,	
IL-17A Signaling in Airway Cells	-0E00	NaN	1.25E-02	IRS1,	
IL-2 Signaling	-0E00	NaN	1.39E-02	IRS1,	
IL-3 Signaling	-0E00	NaN	1.11E-02	IRS1,	
IL-4 Signaling	-0E00	NaN	1.04E-02	IRS1,	
Induction of Apoptosis by HIV1	-0E00	NaN	1.64E-02	BCL2L1,	
Integrin Signaling	-0E00	NaN	1.36E-02	TSPAN5,ITGA11,IRS1	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	NaN	1.79E-02	ABCC4,SMOX,ALDH5A1,ECSIT	
Leptin Signaling in Obesity	-0E00	NaN	1.14E-02	IRS1,	
Leukocyte Extravasation Signaling	-0E00	NaN	9.39E-03	IRS1,RAP1GAP	
MSP-RON Signaling Pathway	-0E00	NaN	1.35E-02	IRS1,	
Macropinocytosis Signaling	-0E00	NaN	1.12E-02	IRS1,	
Melatonin Signaling	-0E00	NaN	1.39E-02	MAP2K3,	
Mouse Embryonic Stem Cell Pluripotency	-0E00	NaN	1.75E-02	IRS1,FZD5	
Myc Mediated Apoptosis Signaling	-0E00	NaN	1.30E-02	IRS1,	
NER Pathway	-0E00	NaN	9.71E-03	RBX1,	
NF-κB Activation by Viruses	-0E00	NaN	1.05E-02	IRS1,	
NF-κB Signaling	-0E00	NaN	5.35E-03	IRS1,	
NGF Signaling	-0E00	NaN	8.00E-03	IRS1,	
Natural Killer Cell Signaling	-0E00	NaN	7.69E-03	IRS1,	
Neuroinflammation Signaling Pathway	-0E00	NaN	1.28E-02	SNCA,GLUL,GRINA,IRS1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	NaN	8.33E-03	TMPRSS9,	
Nitric Oxide Signaling in the Cardiovascular System	-0E00	NaN	1.74E-02	IRS1,NOS3	
OX40 Signaling Pathway	-0E00	NaN	1.11E-02	BCL2L1,	
Oxidative Phosphorylation	-0E00	NaN	9.17E-03	ATP5F1E,	
P2Y Purigenic Receptor Signaling Pathway	-0E00	NaN	7.14E-03	IRS1,	
PAK Signaling	-0E00	NaN	1.83E-02	MYL4,IRS1	
PI3K Signaling in B Lymphocytes	-0E00	NaN	1.48E-02	IRS1,FOXO3	
PKCθ Signaling in T Lymphocytes	-0E00	NaN	5.99E-03	IRS1,	
PXR/RXR Activation	-0E00	NaN	1.54E-02	FOXO3,	
Paxillin Signaling	-0E00	NaN	1.65E-02	ITGA11,IRS1	
Phagosome Formation	-0E00	NaN	1.52E-02	MRC2,IRS1	
Phospholipase C Signaling	-0E00	NaN	1.64E-02	MYL4,GNAS,ARHGEF12,TGM2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	NaN	1.02E-02	PPP2R5B,IRS1	
Prolactin Signaling	-0E00	NaN	1.10E-02	IRS1,	
Protein Kinase A Signaling	-0E00	0.0	1.25E-02	CDC14B,MYL4,GNAS,ACP1,NOS3	
RANK Signaling in Osteoclasts	-0E00	NaN	9.62E-03	IRS1,	
RAR Activation	-0E00	NaN	1.05E-02	KAT2B,CARM1	
Regulation of Actin-based Motility by Rho	-0E00	NaN	1.12E-02	MYL4,	
Regulation of eIF4 and p70S6K Signaling	-0E00	NaN	1.21E-02	PPP2R5B,IRS1	
Remodeling of Epithelial Adherens Junctions	-0E00	NaN	1.45E-02	CDH1,	
Renin-Angiotensin Signaling	-0E00	NaN	1.54E-02	IRS1,SHF	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00	NaN	1.28E-02	IRS1,	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	NaN	1.27E-02	MAP2K3,	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00	NaN	1.55E-02	SFRP2,MAP2K3,IRS1,WNT16,FZD5	
Role of NFAT in Cardiac Hypertrophy	-0E00	NaN	1.33E-02	GNAS,IRS1,MAP2K3	
Role of NFAT in Regulation of the Immune Response	-0E00	NaN	1.55E-02	GNAS,GNA12,IRS1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00	NaN	1.25E-02	IRS1,	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	NaN	7.19E-03	IRS1,	
SAPK/JNK Signaling	-0E00	NaN	1.79E-02	GNA12,IRS1	
SPINK1 Pancreatic Cancer Pathway	-0E00	NaN	1.67E-02	CTSB,	
STAT3 Pathway	-0E00	NaN	7.58E-03	PIM1,	
Serotonin Degradation	-0E00	NaN	1.35E-02	SMOX,	
Sperm Motility	-0E00	NaN	7.81E-03	GNAS,	
Sphingosine-1-phosphate Signaling	-0E00	NaN	1.59E-02	GNA12,IRS1	
Superpathway of Melatonin Degradation	-0E00	NaN	1.43E-02	SMOX,	
Synaptic Long Term Potentiation	-0E00	NaN	7.94E-03	GRINA,	
Systemic Lupus Erythematosus Signaling	-0E00	NaN	4.24E-03	IRS1,	
T Cell Exhaustion Signaling Pathway	-0E00	NaN	1.10E-02	PPP2R5B,IRS1	
T Cell Receptor Signaling	-0E00	NaN	8.55E-03	IRS1,	
TGF-β Signaling	-0E00	NaN	1.08E-02	MAP2K3,	
Tec Kinase Signaling	-0E00	NaN	1.75E-02	GNAS,GNA12,IRS1	
Telomerase Signaling	-0E00	NaN	1.68E-02	PPP2R5B,IRS1	
Th1 Pathway	-0E00	NaN	7.30E-03	IRS1,	
Th1 and Th2 Activation Pathway	-0E00	NaN	5.35E-03	IRS1,	
Th2 Pathway	-0E00	NaN	6.58E-03	IRS1,	
Thrombopoietin Signaling	-0E00	NaN	1.39E-02	IRS1,	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	NaN	1.85E-02	CDYL,	
Type I Diabetes Mellitus Signaling	-0E00	NaN	9.01E-03	MAP2K3,	
Type II Diabetes Mellitus Signaling	-0E00	NaN	1.29E-02	ADIPOR1,IRS1	
UVA-Induced MAPK Signaling	-0E00	NaN	1.77E-02	IRS1,BCL2L1	
UVB-Induced MAPK Signaling	-0E00	NaN	1.47E-02	IRS1,	
Unfolded protein response	-0E00	NaN	1.79E-02	AMFR,	
Wnt/Ca+ pathway	-0E00	NaN	1.61E-02	FZD5,	
cAMP-mediated signaling	-0E00	-1.0	1.76E-02	GNAS,RAP1GAP,RGS10,SSTR3	
fMLP Signaling in Neutrophils	-0E00	NaN	1.55E-02	GNAS,IRS1	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	NaN	8.00E-03	IRS1,	
p38 MAPK Signaling	-0E00	NaN	1.69E-02	HSPB1,MAP2K3	
p70S6K Signaling	-0E00	NaN	1.43E-02	PPP2R5B,IRS1	
α-Adrenergic Signaling	-0E00	NaN	1.09E-02	GNAS,	
Semaphorin Signaling in Neurons	2E-01	NaN	1.89E-02	ARHGEF12,	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.2E-01	NaN	2.04E-02	KAT2B,	
Cholecystokinin/Gastrin-mediated Signaling	2.26E-01	NaN	1.87E-02	GNA12,MAP2K3	
FAK Signaling	2.26E-01	NaN	1.87E-02	TNS1,IRS1	
ErbB Signaling	2.29E-01	NaN	1.89E-02	IRS1,MAP2K3	
IL-9 Signaling	2.31E-01	NaN	2.13E-02	IRS1,	
nNOS Signaling in Neurons	2.31E-01	NaN	2.13E-02	GRINA,	
Melanocyte Development and Pigmentation Signaling	2.33E-01	NaN	1.90E-02	GNAS,IRS1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	2.37E-01	NaN	2.17E-02	AK1,	
Thyroid Cancer Signaling	2.37E-01	NaN	2.17E-02	CDH1,	
Role of p14/p19ARF in Tumor Suppression	2.43E-01	NaN	2.22E-02	IRS1,	
Ceramide Signaling	2.49E-01	NaN	1.98E-02	PPP2R5B,IRS1	
Pyrimidine Ribonucleotides Interconversion	2.5E-01	NaN	2.27E-02	AK1,	
Stearate Biosynthesis I (Animals)	2.5E-01	NaN	2.27E-02	THEM5,	
Serotonin Receptor Signaling	2.56E-01	NaN	2.33E-02	SMOX,	
PDGF Signaling	2.62E-01	NaN	2.04E-02	ACP1,IRS1	
Retinol Biosynthesis	2.63E-01	NaN	2.38E-02	PNPLA2,	
tRNA Splicing	2.63E-01	NaN	2.38E-02	TSEN2,	
mTOR Signaling	2.65E-01	-1.0	1.92E-02	PPP2R5B,AKT1S1,STK11,IRS1	
Hereditary Breast Cancer Signaling	2.68E-01	NaN	1.97E-02	UBA52,UBB,IRS1	
Role of PKR in Interferon Induction and Antiviral Response	2.7E-01	NaN	2.44E-02	MAP2K3,	
Apoptosis Signaling	2.71E-01	NaN	2.08E-02	BCL2L1,LMNA	
Sumoylation Pathway	2.71E-01	NaN	2.08E-02	SNCA,CDH1	
VEGF Family Ligand-Receptor Interactions	2.71E-01	NaN	2.08E-02	IRS1,NOS3	
LPS-stimulated MAPK Signaling	2.76E-01	NaN	2.11E-02	IRS1,MAP2K3	
Oncostatin M Signaling	2.77E-01	NaN	2.50E-02	MT2A,	
Reelin Signaling in Neurons	2.8E-01	NaN	2.13E-02	ARHGEF12,IRS1	
Death Receptor Signaling	2.85E-01	NaN	2.15E-02	HSPB1,LMNA	
IL-17 Signaling	2.85E-01	NaN	2.15E-02	IRS1,MAP2K3	
Insulin Receptor Signaling	2.86E-01	NaN	2.04E-02	FOXO4,IRS1,FOXO3	
FGF Signaling	2.9E-01	NaN	2.17E-02	IRS1,MAP2K3	
Notch Signaling	2.92E-01	NaN	2.63E-02	FURIN,	
JAK/Stat Signaling	2.95E-01	NaN	2.20E-02	IRS1,BCL2L1	
Dopamine Degradation	3E-01	NaN	2.70E-02	SMOX,	
Noradrenaline and Adrenaline Degradation	3E-01	NaN	2.70E-02	SMOX,	
ILK Signaling	3E-01	0.0	2.03E-02	PPP2R5B,MYL4,IRS1,CDH1	
Corticotropin Releasing Hormone Signaling	3.02E-01	NaN	2.10E-02	JUND,GNAS,NOS3	
HMGB1 Signaling	3.1E-01	NaN	2.13E-02	KAT2B,IRS1,MAP2K3	
Erythropoietin Signaling	3.1E-01	NaN	2.27E-02	IRS1,EPOR	
Angiopoietin Signaling	3.21E-01	NaN	2.33E-02	IRS1,NOS3	
Growth Hormone Signaling	3.21E-01	NaN	2.33E-02	IRS1,IGF2	
Inhibition of Angiogenesis by TSP1	3.26E-01	NaN	2.94E-02	NOS3,	
IL-6 Signaling	3.32E-01	NaN	2.21E-02	HSPB1,IRS1,MAP2K3	
IL-15 Signaling	3.32E-01	NaN	2.38E-02	IRS1,BCL2L1	
Neurotrophin/TRK Signaling	3.32E-01	NaN	2.38E-02	IRS1,MAP2K3	
Circadian Rhythm Signaling	3.35E-01	NaN	3.03E-02	GRINA,	
GP6 Signaling Pathway	3.36E-01	NaN	2.22E-02	COL6A3,LAMC1,IRS1	
PPARα/RXRα Activation	3.41E-01	2.0	2.15E-02	GNAS,ADIPOR1,IRS1,MAP2K3	
Synaptic Long Term Depression	3.41E-01	0.0	2.15E-02	PPP2R5B,GNAS,GNA12,NOS3	
SPINK1 General Cancer Pathway	3.44E-01	NaN	2.44E-02	MT2A,IRS1	
CD40 Signaling	3.5E-01	NaN	2.47E-02	IRS1,MAP2K3	
Role of Tissue Factor in Cancer	3.5E-01	NaN	2.27E-02	GNA12,IRS1,BCL2L1	
Apelin Adipocyte Signaling Pathway	3.56E-01	NaN	2.50E-02	PRDX6,CLIC2	
Role of BRCA1 in DNA Damage Response	3.56E-01	NaN	2.50E-02	E2F2,BABAM1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	3.6E-01	NaN	2.31E-02	IRS1,WNT16,FZD5	
Apelin Endothelial Signaling Pathway	3.75E-01	NaN	2.36E-02	GNAS,IRS1,NOS3	
Dopamine Receptor Signaling	3.76E-01	NaN	2.60E-02	PPP2R5B,SMOX	
Rac Signaling	3.9E-01	NaN	2.42E-02	ANK1,IRS1,MCF2L	
Aldosterone Signaling in Epithelial Cells	3.91E-01	NaN	2.30E-02	DNAJB2,HSPB1,DNAJC6,IRS1	
eNOS Signaling	3.91E-01	NaN	2.30E-02	GNAS,IRS1,NOS3,AQP1	
RhoA Signaling	3.96E-01	NaN	2.44E-02	MYL4,ARHGEF12,GNA12	
CXCR4 Signaling	4E-01	NaN	2.33E-02	MYL4,GNAS,GNA12,IRS1	
Basal Cell Carcinoma Signaling	4.11E-01	NaN	2.78E-02	WNT16,FZD5	
Antiproliferative Role of TOB in T Cell Signaling	4.13E-01	NaN	3.85E-02	CDC34,	
Apelin Liver Signaling Pathway	4.13E-01	NaN	3.85E-02	IRS1,	
Gluconeogenesis I	4.13E-01	NaN	3.85E-02	BPGM,	
Glycolysis I	4.13E-01	NaN	3.85E-02	BPGM,	
Caveolar-mediated Endocytosis Signaling	4.18E-01	NaN	2.82E-02	DYRK3,ITGA11	
Role of IL-17A in Arthritis	4.26E-01	NaN	2.86E-02	IRS1,MAP2K3	
Tryptophan Degradation X (Mammalian, via Tryptamine)	4.26E-01	NaN	4.00E-02	SMOX,	
Neuropathic Pain Signaling In Dorsal Horn Neurons	4.3E-01	NaN	2.56E-02	GRINA,IRS1,KCNH2	
IL-10 Signaling	4.33E-01	NaN	2.90E-02	BLVRB,MAP2K3	
Lymphotoxin β Receptor Signaling	4.33E-01	NaN	2.90E-02	IRS1,BCL2L1	
Apelin Cardiomyocyte Signaling Pathway	4.42E-01	NaN	2.61E-02	MYL4,IRS1,NOS3	
Relaxin Signaling	4.43E-01	NaN	2.45E-02	GNAS,GNA12,IRS1,NOS3	
Breast Cancer Regulation by Stathmin1	4.43E-01	NaN	2.36E-02	PPP2R5B,GNAS,E2F2,ARHGEF12,IRS1	
Osteoarthritis Pathway	4.48E-01	1.3416407864998738	2.37E-02	ANKH,ITLN1,WNT16,FOXO3,FZD5	
Putrescine Degradation III	4.55E-01	NaN	4.35E-02	SMOX,	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	4.55E-01	NaN	4.35E-02	AK1,	
Mitotic Roles of Polo-Like Kinase	4.58E-01	NaN	3.03E-02	CDC7,PPP2R5B	
Pyridoxal 5'-phosphate Salvage Pathway	4.66E-01	NaN	3.08E-02	PIM1,MAP2K3	
Colorectal Cancer Metastasis Signaling	4.7E-01	0.0	2.35E-02	GNAS,IRS1,BCL2L1,CDH1,WNT16,FZD5	
Apelin Cardiac Fibroblast Signaling Pathway	4.7E-01	NaN	4.55E-02	NOS3,	
IL-8 Signaling	4.8E-01	1.0	2.45E-02	GNAS,GNA12,IRS1,BCL2L1,CDH1	
Melanoma Signaling	4.84E-01	NaN	3.17E-02	IRS1,CDH1	
Ephrin A Signaling	4.93E-01	NaN	3.23E-02	IRS1,EFNA1	
Inflammasome pathway	5.04E-01	NaN	5.00E-02	CTSB,	
Endothelin-1 Signaling	5.05E-01	-0.4472135954999579	2.51E-02	GNAS,GNA12,IRS1,NOS3,SHF	
CDK5 Signaling	5.08E-01	NaN	2.86E-02	PPP2R5B,GNAS,LAMC1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.15E-01	NaN	2.54E-02	IRS1,MAP2K3,CDH1,WNT16,FZD5	
Prostate Cancer Signaling	5.22E-01	NaN	2.91E-02	IRS1,PA2G4,TFDP1	
Purine Nucleotides Degradation II (Aerobic)	5.22E-01	NaN	5.26E-02	NT5M,	
Cardiac Hypertrophy Signaling	5.28E-01	1.3416407864998738	2.48E-02	HSPB1,MYL4,GNAS,GNA12,IRS1,MAP2K3	
Ubiquinol-10 Biosynthesis (Eukaryotic)	5.42E-01	NaN	5.56E-02	MICAL2,	
Glutamate Receptor Signaling	5.42E-01	NaN	3.51E-02	GLUL,GRINA	
Role of CHK Proteins in Cell Cycle Checkpoint Control	5.42E-01	NaN	3.51E-02	PPP2R5B,E2F2	
Human Embryonic Stem Cell Pluripotency	5.46E-01	NaN	2.76E-02	GNAS,IRS1,WNT16,FZD5	
Acute Myeloid Leukemia Signaling	5.52E-01	NaN	3.03E-02	PIM1,IRS1,MAP2K3	
Gα12/13 Signaling	5.58E-01	0.0	2.80E-02	MYL4,GNA12,IRS1,CDH1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	5.62E-01	NaN	2.55E-02	ACP5,SFRP2,IRS1,MAP2K3,WNT16,FZD5	
Salvage Pathways of Pyrimidine Ribonucleotides	5.68E-01	NaN	3.09E-02	PIM1,MAP2K3,AK1	
Triacylglycerol Degradation	5.75E-01	NaN	3.70E-02	PRDX6,PNPLA2	
Actin Cytoskeleton Signaling	5.83E-01	1.6329931618554523	2.60E-02	MYL4,ARHGEF12,GNA12,IRS1,DIAPH3,WASF2	
14-3-3-mediated Signaling	5.85E-01	-2.0	2.88E-02	SNCA,AKT1S1,STK11,IRS1	
Adenosine Nucleotides Degradation II	5.86E-01	NaN	6.25E-02	NT5M,	
Parkinson's Signaling	5.86E-01	NaN	6.25E-02	SNCA,	
Vitamin-C Transport	5.86E-01	NaN	6.25E-02	SLC2A1,	
CD27 Signaling in Lymphocytes	5.86E-01	NaN	3.77E-02	MAP2K3,BCL2L1	
Bladder Cancer Signaling	5.93E-01	NaN	3.19E-02	PA2G4,CDH1,TFDP1	
Androgen Signaling	6.06E-01	NaN	2.94E-02	KAT2B,NCOA4,GNAS,GNA12	
Histidine Degradation VI	6.1E-01	NaN	6.67E-02	MICAL2,	
Superpathway of Citrulline Metabolism	6.1E-01	NaN	6.67E-02	NOS3,	
Ephrin Receptor Signaling	6.3E-01	1.0	2.82E-02	GNAS,ACP1,GRINA,GNA12,EFNA1	
Colanic Acid Building Blocks Biosynthesis	6.36E-01	NaN	7.14E-02	TSTA3,	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	6.36E-01	NaN	7.14E-02	SMOX,	
Cellular Effects of Sildenafil (Viagra)	6.43E-01	NaN	3.05E-02	MYL4,GNAS,NOS3,KCNH2	
PI3K/AKT Signaling	6.58E-01	NaN	3.10E-02	PPP2R5B,NOS3,BCL2L1,FOXO3	
Choline Biosynthesis III	6.64E-01	NaN	7.69E-02	CHPT1,	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	6.64E-01	NaN	7.69E-02	NT5M,	
γ-glutamyl Cycle	6.64E-01	NaN	7.69E-02	GCLC,	
Endocannabinoid Developing Neuron Pathway	6.66E-01	0.0	3.12E-02	AKT1S1,IRS1,MAP2K3,RAP1GAP	
Mitochondrial Dysfunction	6.69E-01	NaN	2.92E-02	ATP5F1E,PINK1,SNCA,FURIN,FIS1	
Glioblastoma Multiforme Signaling	6.76E-01	0.0	2.94E-02	E2F2,IRS1,WNT16,IGF2,FZD5	
Tight Junction Signaling	6.9E-01	NaN	2.98E-02	PPP2R5B,MYL4,EPB41,YBX3,VTI1B	
Acyl-CoA Hydrolysis	6.95E-01	NaN	8.33E-02	THEM5,	
Assembly of RNA Polymerase I Complex	6.95E-01	NaN	8.33E-02	POLR1D,	
Guanosine Nucleotides Degradation III	6.95E-01	NaN	8.33E-02	NT5M,	
Pregnenolone Biosynthesis	6.95E-01	NaN	8.33E-02	MICAL2,	
Thrombin Signaling	6.96E-01	1.3416407864998738	2.84E-02	MYL4,GNAS,ARHGEF12,GNA12,IRS1,GATA1	
PTEN Signaling	7.06E-01	-2.0	3.25E-02	SHARPIN,FOXO4,BCL2L1,FOXO3	
Xenobiotic Metabolism Signaling	7.09E-01	NaN	2.68E-02	PPP2R5B,GCLC,FTL,SMOX,ALDH5A1,MAP2K3,IRS1,RBX1	
Gαi Signaling	7.15E-01	-1.0	3.28E-02	GNAS,RAP1GAP,RGS10,SSTR3	
GM-CSF Signaling	7.18E-01	NaN	3.70E-02	PIM1,IRS1,BCL2L1	
Signaling by Rho Family GTPases	7.18E-01	1.6329931618554523	2.78E-02	MYL4,GNAS,ARHGEF12,GNA12,IRS1,CDH1,DIAPH3	
Adrenomedullin signaling pathway	7.22E-01	0.0	2.90E-02	GNAS,IRS1,MAP2K3,NOS3,SHF,KCNH2	
Dolichyl-diphosphooligosaccharide Biosynthesis	7.29E-01	NaN	9.09E-02	DPM2,	
Glucose and Glucose-1-phosphate Degradation	7.29E-01	NaN	9.09E-02	HK1,	
Pentose Phosphate Pathway	7.29E-01	NaN	9.09E-02	RPIA,	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	7.62E-01	NaN	3.90E-02	NCOA4,WNT16,FZD5	
