© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->Unique to Elites - 2019-06-04 10:46 PM - 2019-06-04 10:50 PM->Observation 1
Workspace	My Projects
Project	AIH_WGCNA
Analysis	Observation 1
Date	Tue Jun 04 22:50:34 PDT 2019
Analysis ID	17897615

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->Unique to Elites - 2019-06-04 10:46 PM - 2019-06-04 10:50 PM->Observation 1
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	3.25E-01	NaN	3.99E-03	MME,NTNG2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.25E-01	NaN	4.98E-03	MAP2K3,	
Dendritic Cell Maturation	3.33E-01	NaN	5.10E-03	CREB5,	
T Cell Exhaustion Signaling Pathway	3.43E-01	NaN	5.26E-03	BCL6,	
Germ Cell-Sertoli Cell Junction Signaling	3.46E-01	NaN	5.32E-03	MAP2K3,	
HMGB1 Signaling	3.58E-01	NaN	5.52E-03	MAP2K3,	
Acute Phase Response Signaling	3.62E-01	NaN	5.59E-03	MAP2K3,	
eNOS Signaling	3.71E-01	NaN	5.75E-03	AQP9,	
Mitochondrial Dysfunction	3.77E-01	NaN	5.85E-03	SNCA,	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.81E-01	NaN	5.92E-03	OAS2,	
Insulin Receptor Signaling	4.21E-01	NaN	6.67E-03	FOXO4,	
Phagosome Maturation	4.25E-01	NaN	6.76E-03	CTSB,	
Aryl Hydrocarbon Receptor Signaling	4.37E-01	NaN	6.99E-03	NFIX,	
Corticotropin Releasing Hormone Signaling	4.37E-01	NaN	6.99E-03	CREB5,	
P2Y Purigenic Receptor Signaling Pathway	4.37E-01	NaN	6.99E-03	CREB5,	
Molecular Mechanisms of Cancer	4.38E-01	NaN	4.98E-03	MAP2K3,BCL2L1	
14-3-3-mediated Signaling	4.39E-01	NaN	7.04E-03	SNCA,	
Protein Kinase A Signaling	4.41E-01	NaN	5.00E-03	CREB5,PYGL	
IL-6 Signaling	4.47E-01	NaN	7.19E-03	MAP2K3,	
Iron homeostasis signaling pathway	4.52E-01	NaN	7.30E-03	SLC25A37,	
Role of Tissue Factor in Cancer	4.57E-01	NaN	7.41E-03	BCL2L1,	
PI3K/AKT Signaling	4.65E-01	NaN	7.58E-03	BCL2L1,	
Fc Epsilon RI Signaling	4.7E-01	NaN	7.69E-03	MAP2K3,	
HIF1α Signaling	4.73E-01	NaN	7.75E-03	SLC2A1,	
Endocannabinoid Neuronal Synapse Pathway	4.76E-01	NaN	7.81E-03	GRINA,	
NGF Signaling	4.76E-01	NaN	7.81E-03	CREB5,	
Rac Signaling	4.78E-01	NaN	7.87E-03	ANK1,	
Pancreatic Adenocarcinoma Signaling	4.87E-01	NaN	8.06E-03	BCL2L1,	
IL-15 Production	4.95E-01	NaN	8.26E-03	MAP2K3,	
LXR/RXR Activation	4.95E-01	NaN	8.26E-03	ABCA1,	
Virus Entry via Endocytic Pathways	4.95E-01	NaN	8.26E-03	AP2A1,	
Neuroprotective Role of THOP1 in Alzheimer's Disease	4.98E-01	NaN	8.33E-03	MME,	
Cholecystokinin/Gastrin-mediated Signaling	5.01E-01	NaN	8.40E-03	MAP2K3,	
Neuropathic Pain Signaling In Dorsal Horn Neurons	5.08E-01	NaN	8.55E-03	GRINA,	
Chronic Myeloid Leukemia Signaling	5.11E-01	NaN	8.62E-03	BCL2L1,	
Glucocorticoid Receptor Signaling	5.16E-01	NaN	5.71E-03	BAG1,BCL2L1	
VEGF Signaling	5.17E-01	NaN	8.77E-03	BCL2L1,	
p53 Signaling	5.2E-01	NaN	8.85E-03	BCL2L1,	
Antioxidant Action of Vitamin C	5.27E-01	NaN	9.01E-03	SLC2A1,	
Type I Diabetes Mellitus Signaling	5.27E-01	NaN	9.01E-03	MAP2K3,	
ErbB Signaling	5.33E-01	NaN	9.17E-03	MAP2K3,	
Melanocyte Development and Pigmentation Signaling	5.37E-01	NaN	9.26E-03	CREB5,	
Gαs Signaling	5.4E-01	NaN	9.35E-03	CREB5,	
Prostate Cancer Signaling	5.43E-01	NaN	9.43E-03	CREB5,	
Acute Myeloid Leukemia Signaling	5.54E-01	NaN	9.71E-03	MAP2K3,	
Sumoylation Pathway	5.54E-01	NaN	9.71E-03	SNCA,	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	5.57E-01	NaN	6.12E-03	CREB5,MAP2K3	
CTLA4 Signaling in Cytotoxic T Lymphocytes	5.61E-01	NaN	9.90E-03	AP2A1,	
TR/RXR Activation	5.65E-01	NaN	1.00E-02	SLC2A1,	
Apoptosis Signaling	5.69E-01	NaN	1.01E-02	BCL2L1,	
LPS-stimulated MAPK Signaling	5.72E-01	NaN	1.02E-02	MAP2K3,	
PEDF Signaling	5.72E-01	NaN	1.02E-02	BCL2L1,	
ATM Signaling	5.76E-01	NaN	1.03E-02	CREB5,	
IL-17 Signaling	5.8E-01	NaN	1.04E-02	MAP2K3,	
TGF-β Signaling	5.8E-01	NaN	1.04E-02	MAP2K3,	
FLT3 Signaling in Hematopoietic Progenitor Cells	5.84E-01	NaN	1.05E-02	CREB5,	
α-Adrenergic Signaling	5.84E-01	NaN	1.05E-02	PYGL,	
JAK/Stat Signaling	5.88E-01	NaN	1.06E-02	BCL2L1,	
Death Receptor Signaling	6E-01	NaN	1.10E-02	PARP9,	
IL-1 Signaling	6E-01	NaN	1.10E-02	MAP2K3,	
Estrogen-Dependent Breast Cancer Signaling	6.04E-01	NaN	1.11E-02	CREB5,	
OX40 Signaling Pathway	6.04E-01	NaN	1.11E-02	BCL2L1,	
IL-15 Signaling	6.17E-01	NaN	1.15E-02	BCL2L1,	
Small Cell Lung Cancer Signaling	6.17E-01	NaN	1.15E-02	BCL2L1,	
GM-CSF Signaling	6.3E-01	NaN	1.19E-02	BCL2L1,	
Role of MAPK Signaling in the Pathogenesis of Influenza	6.39E-01	NaN	1.22E-02	MAP2K3,	
CD40 Signaling	6.44E-01	NaN	1.23E-02	MAP2K3,	
T Helper Cell Differentiation	6.84E-01	NaN	1.37E-02	BCL6,	
ERK5 Signaling	6.89E-01	NaN	1.39E-02	CREB5,	
Melatonin Signaling	6.89E-01	NaN	1.39E-02	MAP2K3,	
Role of IL-17A in Arthritis	7E-01	NaN	1.43E-02	MAP2K3,	
Lymphotoxin β Receptor Signaling	7.06E-01	NaN	1.45E-02	BCL2L1,	
Pyridoxal 5'-phosphate Salvage Pathway	7.29E-01	NaN	1.54E-02	MAP2K3,	
Wnt/Ca+ pathway	7.48E-01	NaN	1.61E-02	CREB5,	
Superpathway of Inositol Phosphate Compounds	7.54E-01	NaN	8.33E-03	ALPL,PHOSPHO1	
Autophagy	7.54E-01	NaN	1.64E-02	CTSB,	
Induction of Apoptosis by HIV1	7.54E-01	NaN	1.64E-02	BCL2L1,	
Retinoic acid Mediated Apoptosis Signaling	7.61E-01	NaN	1.67E-02	PARP9,	
SPINK1 Pancreatic Cancer Pathway	7.61E-01	NaN	1.67E-02	CTSB,	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	7.65E-01	NaN	8.47E-03	ALPL,MAP2K3	
LPS/IL-1 Mediated Inhibition of RXR Function	8E-01	NaN	8.93E-03	ACSL1,ABCA1	
Docosahexaenoic Acid (DHA) Signaling	8.02E-01	NaN	1.85E-02	BCL2L1,	
Osteoarthritis Pathway	8.38E-01	NaN	9.43E-03	ALPL,CREB5	
Calcium Signaling	8.58E-01	NaN	9.71E-03	CREB5,GRINA	
NRF2-mediated Oxidative Stress Response	8.58E-01	NaN	9.71E-03	UBB,MAP2K3	
nNOS Signaling in Neurons	8.58E-01	NaN	2.13E-02	GRINA,	
3-phosphoinositide Biosynthesis	8.61E-01	NaN	9.76E-03	ALPL,PHOSPHO1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	8.76E-01	NaN	2.22E-02	CREB5,	
Stearate Biosynthesis I (Animals)	8.85E-01	NaN	2.27E-02	ACSL1,	
BAG2 Signaling Pathway	8.94E-01	NaN	2.33E-02	CTSB,	
Role of PKR in Interferon Induction and Antiviral Response	9.13E-01	NaN	2.44E-02	MAP2K3,	
Sertoli Cell-Sertoli Cell Junction Signaling	9.3E-01	NaN	1.08E-02	MAP2K3,SPTB	
Ephrin Receptor Signaling	9.53E-01	NaN	1.11E-02	CREB5,GRINA	
GNRH Signaling	9.82E-01	NaN	1.16E-02	CREB5,MAP2K3	
Wnt/β-catenin Signaling	9.82E-01	NaN	1.16E-02	UBA52,UBB	
Ethanol Degradation II	9.9E-01	NaN	2.94E-02	ACSL1,	
Fatty Acid β-oxidation I	1.01E00	NaN	3.12E-02	ACSL1,	
D-myo-inositol-5-phosphate Metabolism	1.03E00	NaN	1.23E-02	ALPL,PHOSPHO1	
Endocannabinoid Cancer Inhibition Pathway	1.04E00	NaN	1.26E-02	CREB5,MAP2K3	
3-phosphoinositide Degradation	1.05E00	NaN	1.27E-02	ALPL,PHOSPHO1	
Hereditary Breast Cancer Signaling	1.06E00	NaN	1.29E-02	UBA52,UBB	
Type II Diabetes Mellitus Signaling	1.06E00	NaN	1.29E-02	ACSL1,ADIPOR1	
Lipid Antigen Presentation by CD1	1.1E00	NaN	3.85E-02	AP2A1,	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.12E00	NaN	1.39E-02	ALPL,PHOSPHO1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.12E00	NaN	1.39E-02	ALPL,PHOSPHO1	
Ethanol Degradation IV	1.12E00	NaN	4.00E-02	ACSL1,	
Sirtuin Signaling Pathway	1.18E00	NaN	1.03E-02	ABCA1,FOXO4,SLC2A1	
Endocannabinoid Developing Neuron Pathway	1.19E00	NaN	1.53E-02	CREB5,MAP2K3	
Oxidative Ethanol Degradation III	1.19E00	NaN	4.76E-02	ACSL1,	
Synaptic Long Term Potentiation	1.2E00	NaN	1.55E-02	CREB5,GRINA	
Inflammasome pathway	1.21E00	NaN	5.00E-02	CTSB,	
PTEN Signaling	1.22E00	NaN	1.59E-02	FOXO4,BCL2L1	
p38 MAPK Signaling	1.27E00	NaN	1.69E-02	CREB5,MAP2K3	
Mitochondrial L-carnitine Shuttle Pathway	1.28E00	NaN	5.88E-02	ACSL1,	
γ-linolenate Biosynthesis II (Animals)	1.28E00	NaN	5.88E-02	ACSL1,	
UVA-Induced MAPK Signaling	1.29E00	NaN	1.75E-02	PARP9,BCL2L1	
Parkinson's Signaling	1.31E00	NaN	6.25E-02	SNCA,	
Vitamin-C Transport	1.31E00	NaN	6.25E-02	SLC2A1,	
Fatty Acid Activation	1.39E00	NaN	7.69E-02	ACSL1,	
Glycogen Degradation II	1.39E00	NaN	7.69E-02	PYGL,	
Salvage Pathways of Pyrimidine Ribonucleotides	1.42E00	NaN	2.06E-02	APOBEC3A,MAP2K3	
FGF Signaling	1.46E00	NaN	2.17E-02	CREB5,MAP2K3	
Dolichyl-diphosphooligosaccharide Biosynthesis	1.46E00	NaN	9.09E-02	DPM2,	
Neurotrophin/TRK Signaling	1.5E00	NaN	2.27E-02	CREB5,MAP2K3	
Clathrin-mediated Endocytosis Signaling	1.55E00	NaN	1.44E-02	UBA52,UBB,AP2A1	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.6E00	NaN	1.25E-01	APOBEC3A,	
Hypoxia Signaling in the Cardiovascular System	1.64E00	NaN	2.70E-02	UBE2H,CREB5	
PPARα/RXRα Activation	1.65E00	NaN	1.59E-02	ADIPOR1,ABCA1,MAP2K3	
IL-10 Signaling	1.69E00	NaN	2.90E-02	BLVRB,MAP2K3	
Synaptogenesis Signaling Pathway	1.7E00	2.0	1.22E-02	SNCA,CREB5,GRINA,AP2A1	
Neuroinflammation Signaling Pathway	1.76E00	NaN	1.28E-02	SNCA,GLUL,CREB5,GRINA	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.82E00	NaN	1.84E-02	CREB5,GRINA,KCNJ15	
Cancer Drug Resistance By Drug Efflux	1.84E00	NaN	3.45E-02	FOXO4,YBX1	
Glutamate Receptor Signaling	1.85E00	NaN	3.51E-02	GLUL,GRINA	
Acetate Conversion to Acetyl-CoA	1.9E00	NaN	2.50E-01	ACSL1,	
Heme Degradation	1.9E00	NaN	2.50E-01	BLVRB,	
CD27 Signaling in Lymphocytes	1.91E00	NaN	3.77E-02	MAP2K3,BCL2L1	
Protein Ubiquitination Pathway	1.97E00	NaN	1.48E-02	UBA52,UBE2H,UBB,BAG1	
PFKFB4 Signaling Pathway	2.03E00	NaN	4.35E-02	CREB5,MAP2K3	
Opioid Signaling Pathway	2.09E00	2.0	1.60E-02	CREB5,GRINA,MAP2K3,AP2A1	
AMPK Signaling	2.24E00	NaN	1.77E-02	CREB5,FOXO4,MAP2K3,SLC2A1	
Amyotrophic Lateral Sclerosis Signaling	2.26E00	NaN	2.65E-02	GLUL,GRINA,BCL2L1	
Circadian Rhythm Signaling	2.31E00	NaN	6.06E-02	CREB5,GRINA	
B Cell Receptor Signaling	2.45E00	2.0	2.03E-02	BCL6,CREB5,MAP2K3,BCL2L1	
GABA Receptor Signaling	2.47E00	NaN	3.16E-02	UBA52,UBB,AP2A1	
IL-7 Signaling Pathway	2.49E00	NaN	3.23E-02	BCL6,FOXO4,SLC2A1	
Renal Cell Carcinoma Signaling	2.49E00	NaN	3.23E-02	UBA52,UBB,SLC2A1	
Glutamine Biosynthesis I	2.5E00	NaN	1.00E00	GLUL,	
Toll-like Receptor Signaling	2.74E00	NaN	3.95E-02	UBA52,UBB,MAP2K3	
Huntington's Disease Signaling	2.91E00	NaN	1.98E-02	SNCA,UBA52,CREB5,UBB,BCL2L1	
Glycogen Degradation III	3E00	NaN	1.33E-01	MGAM,PYGL	

Upstream Regulators for My Projects->AIH_WGCNA->Unique to Elites - 2019-06-04 10:46 PM - 2019-06-04 10:50 PM->Observation 1
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Observation 1	 	PRL	 	cytokine	 	1.416	bias	0.672	 	3.04E-07	BAG1,BCL2L1,BCL6,CTSB,DDX60L,GMPR,MME,OAS2,SAMD9L	ESR1,ESR2,FOXO3,PRL,STAT1,STAT3,STAT6	
Observation 1	 	EPO	 	cytokine	 	0.495	bias	0.521	 	3.74E-07	ANK1,BCL2L1,BCL6,BLVRB,BNIP3L,GLUL,SLC4A1,STRADB,YBX1	EPO,FOXO3,GATA1	
Observation 1	 	LGR5	 	transmembrane receptor	 	 	 	 	 	5.64E-07	AQP9,BCL2L1,BLVRB,GLUL	 	
Observation 1	 	HIPK2	 	kinase	 	1.486	bias	0.323	0.766	2.46E-06	ANK1,BCL2L1,SLC25A37,SLC4A1,SPTB	 	
Observation 1	 	dexamethasone	 	chemical drug	 	0.657	 	0.100	0.253	4.69E-06	ACSL1,ADGRG3,ALPL,BAG1,BCL2L1,BCL6,BLVRB,BSG,CRISPLD2,CTSB,GBP5,GLUL,GRINA,IGF2BP2,KCNJ15,MGAM,MME,SLC25A37,SLC2A1,SLC4A1	 	
Observation 1	 	Immunoglobulin	 	complex	Inhibited	-2.789	 	0.028	-2.877	4.80E-06	ACSL1,ADIPOR1,AQP9,BCL2L1,BCL6,BLVRB,CRISPLD2,GMPR,SLC25A37,SLC2A1	BCR (complex),ESR1,FOXO4,Immunoglobulin,PPARG,STAT3,STAT6,TNF	
Observation 1	 	TGM2	 	enzyme	Activated	2.621	bias	0.430	1.494	8.17E-06	ALPL,AQP9,BCL6,DDX60L,OAS2,PARP9,SAMD9L	 	
Observation 1	 	tretinoin	 	chemical - endogenous mammalian	Activated	2.126	bias	0.336	0.857	9.37E-06	ABCA1,ACSL1,ALPL,AQP9,BCL2L1,BCL6,BNIP3L,CTSB,DDX60L,HDGF,MAP2K3,OAS2,OPTN,PARP9,RNF10,SAMD9L,YBX1	ESR1,FOXO3,FOXO4,IFNG,MAX,MYC,PPARG,STAT1,STAT3,STAT6,TGFB1,TNF,tretinoin	
Observation 1	 	FOXO3	 	transcription regulator	 	 	 	 	 	9.80E-06	BCL6,BNIP3L,CTSB,FOXO4,GLUL,MXI1,OPTN,YBX1	 	
Observation 1	 	filgrastim	 	biologic drug	 	0.670	 	-0.240	1.383	1.18E-05	ACSL1,ADGRG3,ALPL,BCL2L1,GBP5,GRINA,IGF2BP2,MGAM,MME	 	
Observation 1	 	KLF1	 	transcription regulator	 	 	 	 	 	1.45E-05	BSG,MPP1,SLC2A1,SPTB	 	
Observation 1	 	GATA1	 	transcription regulator	 	1.649	 	0.168	1.217	4.43E-05	ANK1,BCL2L1,BLVRB,LYL1,SLC4A1,SNCA,SPTB	 	
Observation 1	 	RXRB	 	ligand-dependent nuclear receptor	 	 	 	 	 	8.56E-05	ABCA1,ACSL1,CTSB,SLC6A8	 	
Observation 1	 	temsirolimus	 	chemical drug	 	 	 	 	 	1.01E-04	BCL2L1,SLC2A1	 	
Observation 1	 	bortezomib	 	chemical drug	 	-1.666	 	0.090	-1.885	1.10E-04	ALPL,BCL2L1,BNIP3L,DCAF12,SLC25A37,SNCA	 	
Observation 1	 	CA4	 	enzyme	 	 	 	 	 	1.10E-04	ANK1,SLC4A1,SPTB	 	
Observation 1	 	beta-estradiol	 	chemical - endogenous mammalian	Activated	2.527	bias	0.330	1.324	1.12E-04	ABCA1,ACSL1,ANK1,BAG1,BCL2L1,BCL6,BNIP3L,BSG,CTSB,DPM2,HDGF,LYL1,MME,PYGL,SIAH2,SLC2A1,ST6GALNAC4	ESR1,ESR2,FOXO3,FOXO4,MAX,MYC,NR3C1,PGR,PPARG,STAT3,TGFB1,beta-estradiol,progesterone	
Observation 1	 	anakinra	 	biologic drug	 	 	 	 	 	1.22E-04	GRINA,MAP2K3,SLC25A37	 	
Observation 1	 	enterotoxin B	 	biologic drug	Activated	2.000	bias	1.000	 	1.23E-04	BNIP3L,DCAF12,SLC25A37,SNCA	 	
Observation 1	 	INS	 	other	 	0.000	 	0.147	-0.287	1.43E-04	ADIPOR1,AQP9,BCL2L1,SLC2A1,SNCA	D-glucose,INS,Insulin,MYC,PPARG	
Observation 1	 	everolimus	 	chemical drug	 	 	 	 	 	1.48E-04	ABCA1,BCL2L1,SLC2A1	 	
Observation 1	 	valproic acid	 	chemical drug	 	0.135	 	0.049	0.016	1.51E-04	BAG1,BCL2L1,CTSB,DPM2,GLUL,MME,SIAH2,UBE2H	ESR1,ESR2,NR3C1,beta-estradiol,valproic acid	
Observation 1	 	progesterone	 	chemical - endogenous mammalian	 	0.758	 	0.242	0.086	1.55E-04	ACSL1,ALPL,BCL2L1,BCL6,BSG,GRINA,MAP2K3,MME,SLC2A1	PGR,PPARG,progesterone	
Observation 1	 	IRF4	 	transcription regulator	 	-1.342	bias	-0.398	-0.451	1.57E-04	ALPL,BCL6,SLC2A1,UBE2H,YBX1	 	
Observation 1	 	STAT1	 	transcription regulator	Activated	2.213	bias	0.690	 	1.59E-04	ABCA1,BCL2L1,BCL6,GBP5,OAS2,PARP9,SAMD9L	FOXO3,IFNG,STAT1,STAT3,STAT6	
Observation 1	 	trichostatin A	 	chemical drug	 	-0.073	bias	0.531	 	1.75E-04	ABCA1,ALPL,BAG1,BCL2L1,DPM2,MME,SIAH2,SLC2A1,UBE2H	ESR1,ESR2,PPARG,trichostatin A	
Observation 1	 	NPC1	 	transporter	 	 	 	 	 	1.79E-04	ABCA1,ALPL,CTSB,SNCA	 	
Observation 1	 	IL21	 	cytokine	 	1.000	bias	0.671	 	2.66E-04	BCL2L1,BCL6,BSG,GBP5,OAS2	FOXO3,IL21,STAT1,STAT3,STAT6	
Observation 1	 	INSR	 	kinase	 	 	 	 	 	2.93E-04	ACSL1,BAG1,CTSB,KCNJ15,MXI1,SLC2A1,YBX1	 	
Observation 1	 	LGR4	 	transmembrane receptor	 	 	 	 	 	3.11E-04	AQP9,BLVRB,GLUL	 	
Observation 1	 	NR3C1	 	ligand-dependent nuclear receptor	 	 	 	 	 	3.16E-04	ABCA1,BAG1,BCL2L1,BCL6,BNIP3L,GLUL,RNF10,SIAH2,SNCA	ESR1,ESR2,NR3C1,beta-estradiol	
Observation 1	 	4-hydroxynonenal	 	chemical toxicant	 	 	 	 	 	3.59E-04	BCL2L1,CTSB,MME	 	
Observation 1	 	IFNG	 	cytokine	 	0.976	bias	0.442	-0.492	3.75E-04	ABCA1,ALPL,AQP9,BCL2L1,CTSB,DDX60L,GBP5,GLUL,GMPR,OAS2,OPTN,PARP9,SLC2A1	D-glucose,ESR1,FOXO3,FOXO4,IFNG,MYC,PPARG,SOCS1,STAT1,STAT3,STAT6,TNF	
Observation 1	 	VLDLR	 	transporter	 	 	 	 	 	4.51E-04	ABCA1,SLC2A1	 	
Observation 1	 	PI3K (family)	 	group	 	1.195	bias	0.482	0.255	4.69E-04	ABCA1,FOXO4,SIAH2,SLC2A1	 	
Observation 1	 	pirinixic acid	 	chemical toxicant	 	1.651	bias	0.620	 	5.41E-04	ABCA1,ACSL1,ADIPOR1,AQP9,BSG,CTSB,GLUL	N-cor,pirinixic acid	
Observation 1	 	NCKAP1L	 	other	 	 	 	 	 	5.51E-04	MPP1,SLC4A1	 	
Observation 1	 	STAT3	 	transcription regulator	 	1.135	bias	0.475	-0.097	5.67E-04	BCL2L1,BCL6,BNIP3L,CTSB,GBP5,MXI1,OAS2,SLC2A1	ESR1,FOXO3,FOXO4,IFNG,MYC,PPARG,SRC,STAT1,STAT3,STAT6,TNF	
Observation 1	 	Interferon alpha	 	group	 	1.220	bias	0.642	 	5.79E-04	APOBEC3A,ASCC2,BCL2L1,BCL6,OAS2,PARP9,SAMD9L	IRF7,Interferon alpha,STAT1,STAT3,STAT6	
Observation 1	 	butyric acid	 	chemical - endogenous mammalian	Inhibited	-2.401	 	0.093	-2.623	5.86E-04	BAG1,BCL2L1,HDGF,NUCB1,OAS2,PYGL,SLC2A1	HNF4A,MAX,MYC,butyric acid	
Observation 1	 	Ifn	 	group	 	1.091	bias	0.686	 	6.28E-04	APOBEC3A,BAG1,BCL6,OAS2	 	
Observation 1	 	lipopolysaccharide	 	chemical drug	Activated	2.444	bias	0.499	0.640	6.34E-04	ABCA1,ACSL1,APOBEC3A,BCL2L1,BCL6,CTSB,GBP5,HDGF,KCNJ15,MME,NFIX,OAS2,PARP9,SLC2A1,YBX1	FOXO3,IL13,PGR,PPARG,STAT1,STAT3,STAT6,lipopolysaccharide	
Observation 1	 	NKX2-3	 	transcription regulator	Inhibited	-2.236	 	0.018	-2.277	6.87E-04	ALPL,DDX60L,GMPR,PARP9,SAMD9L	 	
Observation 1	 	LIPE	 	enzyme	 	 	 	 	 	6.89E-04	ABCA1,ACSL1,BCL6,LYL1	 	
Observation 1	 	cholesterol	 	chemical - endogenous mammalian	 	1.385	bias	0.317	0.681	7.61E-04	ABCA1,ACSL1,AQP9,BSG,MME	 	
Observation 1	 	RBBP7	 	transcription regulator	 	 	 	 	 	7.78E-04	LYL1,SLC4A1	 	
Observation 1	 	RV 538	 	chemical reagent	 	 	 	 	 	7.78E-04	ABCA1,BCL2L1	 	
Observation 1	 	rotenone	 	chemical toxicant	 	 	 	 	 	8.66E-04	ADIPOR1,BSG,SNCA	 	
Observation 1	 	NFkB (family)	 	group	 	 	 	 	 	9.05E-04	BCL2L1,BSG	 	
Observation 1	 	ESR1	 	ligand-dependent nuclear receptor	 	0.000	 	0.143	-0.367	1.01E-03	ACSL1,AQP9,BAG1,BCL2L1,BCL6,CTSB,FOXO4,MME,NUCB1,PYGL,SIAH2,SLC6A8	ESR1,ESR2,NR3C1,PPARG,PRL,STAT1,STAT3,beta-estradiol	
Observation 1	 	PNN	 	other	 	 	 	 	 	1.04E-03	BCL2L1,BSG	 	
Observation 1	 	tetrandrine	 	chemical drug	 	 	 	 	 	1.19E-03	BCL2L1,YBX1	 	
Observation 1	 	TCR	 	complex	Activated	2.177	bias	0.633	 	1.29E-03	BCL2L1,BSG,CTSB,SIAH2,SLC2A1,UBA52	MYC,SRC,STAT3,TCR	
Observation 1	 	PPP1R1B	 	phosphatase	 	 	 	 	 	1.34E-03	BCL2L1,SNCA	 	
Observation 1	 	troglitazone	 	chemical drug	 	-0.391	 	0.092	-0.595	1.36E-03	ABCA1,ACSL1,ADIPOR1,BCL2L1,MME,SLC2A1	D-glucose,HNF4A,Insulin,MAX,MYC,PGR,PPARG,troglitazone	
Observation 1	 	cigarette smoke	 	chemical toxicant	 	0.958	bias	0.581	 	1.38E-03	ABCA1,BCL2L1,MAP2K3,OAS2,SLC2A1	ESR1,FOXO3,FOXO4,MAX,MYC,PGR,PPARG,STAT1,STAT3,STAT6,TGFB1,TNF,cigarette smoke	
Observation 1	 	ATG7	 	enzyme	 	 	 	 	 	1.43E-03	ACSL1,CTSB,SLC2A1	ATG7,ESR1,FOXO4,PPARG,STAT3,STAT6,TNF	
Observation 1	 	tyrphostin AG 1478	 	chemical - kinase inhibitor	 	 	 	 	 	1.56E-03	BCL2L1,MME,SLC2A1	EGFR,MYC,PPARG,SRC,STAT3,tyrphostin AG 1478	
