© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CDC42BPB	kinase	 	 	 	 	 	7.36E-04	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	GSE1	other	 	 	 	 	 	7.36E-04	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Ggt	group	 	 	 	 	 	7.36E-04	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NBR2	other	 	 	 	 	 	7.36E-04	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SLC2A12	transporter	 	 	 	 	 	7.36E-04	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	azide	chemical reagent	 	 	 	 	 	7.36E-04	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IL5	cytokine	 	 	 	 	 	1.13E-03	SLC1A5,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TGFB1	growth factor	 	 	 	 	 	1.25E-03	BSG,CTSB,FTL,HK1,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	GCG	other	 	 	 	 	 	1.36E-03	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	8-aminoadenosine	chemical reagent	 	 	 	 	 	1.47E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Alpha 1 antitrypsin	group	 	 	 	 	 	1.47E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TXNDC5	enzyme	 	 	 	 	 	1.47E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	dimethyl succinate	chemical - endogenous mammalian	 	 	 	 	 	1.47E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	gliclazide	chemical drug	 	 	 	 	 	1.47E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	glucose oxidase	group	 	 	 	 	 	1.47E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	hemin	chemical - endogenous mammalian	 	 	 	 	 	1.59E-03	FTL,KEL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TFRC	transporter	 	 	 	 	 	1.67E-03	FTL,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IL3	cytokine	 	 	 	 	 	1.85E-03	HK1,KLF1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CTNS	transporter	 	 	 	 	 	2.21E-03	RILP	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FTMT	enzyme	 	 	 	 	 	2.21E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	GLUD1	enzyme	 	 	 	 	 	2.21E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PPP1R3C	phosphatase	 	 	 	 	 	2.21E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SLC48A1	transporter	 	 	 	 	 	2.21E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ethyl-3-trifluoromethylbenzyl-alpha-ketoglutarate	chemical reagent	 	 	 	 	 	2.21E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	interferon beta-1b	biologic drug	 	 	 	 	 	2.21E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	glutamine	chemical - endogenous mammalian	 	 	 	 	 	2.36E-03	BSG,HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IFNG	cytokine	 	 	 	 	 	2.39E-03	CTSB,FTL,KLF1,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	dexamethasone	chemical drug	 	 	 	 	 	2.48E-03	BSG,CTSB,FTL,OSBP2,SLC2A1,SPECC1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	caffeic acid phenethyl ester	chemical drug	 	 	 	 	 	2.60E-03	CTSB,FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	GATA2	transcription regulator	 	 	 	 	 	2.87E-03	KEL,KLF1,LYL1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABCC9	ion channel	 	 	 	 	 	2.94E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HCAR1	g-protein coupled receptor	 	 	 	 	 	2.94E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PAK4	kinase	 	 	 	 	 	2.94E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	RPRD1A	other	 	 	 	 	 	2.94E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	firtecan pegol	chemical drug	 	 	 	 	 	2.94E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	methylamine	chemical - endogenous mammalian	 	 	 	 	 	2.94E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	phenformin	chemical drug	 	 	 	 	 	2.94E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PI3K (family)	group	 	 	 	 	 	3.01E-03	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SRC	kinase	 	 	 	 	 	3.11E-03	CTSB,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CDR2	other	 	 	 	 	 	3.67E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PINK1	kinase	 	 	 	 	 	3.67E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	temsirolimus	chemical drug	 	 	 	 	 	3.67E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	VHL	transcription regulator	 	 	 	 	 	4.27E-03	FTL,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABCB7	transporter	 	 	 	 	 	4.41E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	APBA3	transporter	 	 	 	 	 	4.41E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Cbp/p300-Maf-Nfe2l2	complex	 	 	 	 	 	4.41E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Plin2	other	 	 	 	 	 	4.41E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SLC16A1	transporter	 	 	 	 	 	4.41E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SSPN	other	 	 	 	 	 	4.41E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	WDFY2	other	 	 	 	 	 	4.41E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ferric chloride	chemical toxicant	 	 	 	 	 	4.41E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	histidinol	chemical - endogenous mammalian	 	 	 	 	 	4.41E-03	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	2-mercaptoethanol	chemical - endogenous mammalian	 	 	 	 	 	5.14E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABL2	kinase	 	 	 	 	 	5.14E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CTSE	peptidase	 	 	 	 	 	5.14E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	LRP2	transporter	 	 	 	 	 	5.14E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SDHA	enzyme	 	 	 	 	 	5.14E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SNED1	other	 	 	 	 	 	5.14E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TDO2	enzyme	 	 	 	 	 	5.14E-03	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	pictilisib	chemical drug	 	 	 	 	 	5.14E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	AQP4	transporter	 	 	 	 	 	5.87E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NELFCD	other	 	 	 	 	 	5.87E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	collagen	group	 	 	 	 	 	5.87E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	glimepiride	chemical drug	 	 	 	 	 	5.87E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ATF4	transcription regulator	 	 	 	 	 	5.96E-03	SLC1A5,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CD38	enzyme	 	 	 	 	 	6.10E-03	SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HBP1	transcription regulator	 	 	 	 	 	6.60E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MPL	transmembrane receptor	 	 	 	 	 	6.60E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NELFA	other	 	 	 	 	 	6.60E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NELFE	other	 	 	 	 	 	6.60E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SLC2A1	transporter	 	 	 	 	 	6.60E-03	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ST6GAL1	enzyme	 	 	 	 	 	6.60E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	cysteamine	chemical drug	 	 	 	 	 	6.60E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FFAR1	g-protein coupled receptor	 	 	 	 	 	7.33E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FTH1	enzyme	 	 	 	 	 	7.33E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Irp	group	 	 	 	 	 	7.33E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	KDM8	enzyme	 	 	 	 	 	7.33E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	VLDLR	transporter	 	 	 	 	 	7.33E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	astressin 2B	biologic drug	 	 	 	 	 	7.33E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	dihydrotestosterone	chemical - endogenous mammalian	 	 	 	 	 	7.40E-03	FTL,SLC1A5,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	topotecan	chemical drug	 	 	 	 	 	7.82E-03	SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	AIMP2	other	 	 	 	 	 	8.06E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CA074-methyl ester	chemical reagent	 	 	 	 	 	8.06E-03	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CCNT1	transcription regulator	 	 	 	 	 	8.06E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NLRX1	other	 	 	 	 	 	8.06E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TAS1R3	g-protein coupled receptor	 	 	 	 	 	8.06E-03	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ferric ammonium citrate	chemical drug	 	 	 	 	 	8.06E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	teriflunomide	chemical drug	 	 	 	 	 	8.06E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MYC	transcription regulator	 	 	 	 	 	8.13E-03	CTSB,SLC1A5,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PDX1	transcription regulator	 	 	 	 	 	8.24E-03	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ACO1	enzyme	 	 	 	 	 	8.79E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IREB2	translation regulator	 	 	 	 	 	8.79E-03	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SORT1	g-protein coupled receptor	 	 	 	 	 	8.79E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	etoposide	chemical drug	 	 	 	 	 	8.84E-03	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HIF3A	transcription regulator	 	 	 	 	 	9.52E-03	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PPIA	enzyme	 	 	 	 	 	9.52E-03	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	progesterone	chemical - endogenous mammalian	 	 	 	 	 	9.66E-03	BSG,SLC1A5,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FN1	enzyme	 	 	 	 	 	9.91E-03	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	BET	group	 	 	 	 	 	1.03E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HIRA	transcription regulator	 	 	 	 	 	1.03E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NFkB (family)	group	 	 	 	 	 	1.03E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NPFF	other	 	 	 	 	 	1.03E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SMPD1	enzyme	 	 	 	 	 	1.03E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	xanthine	chemical - endogenous mammalian	 	 	 	 	 	1.03E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	EPAS1	transcription regulator	 	 	 	 	 	1.07E-02	SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	beta-estradiol	chemical - endogenous mammalian	 	 	 	 	 	1.08E-02	BSG,CTSB,LYL1,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ADP	chemical - endogenous mammalian	 	 	 	 	 	1.10E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CLCN5	ion channel	 	 	 	 	 	1.10E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ENPP2	enzyme	 	 	 	 	 	1.10E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PNN	other	 	 	 	 	 	1.10E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	pomalidomide	chemical drug	 	 	 	 	 	1.10E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	selumetinib	chemical drug	 	 	 	 	 	1.10E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	D-glucose	chemical - endogenous mammalian	 	 	 	 	 	1.11E-02	CTSB,HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	cholesterol	chemical - endogenous mammalian	 	 	 	 	 	1.14E-02	BSG,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HIF1AN	enzyme	 	 	 	 	 	1.17E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	mir-194	microrna	 	 	 	 	 	1.17E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SMAD6	transcription regulator	 	 	 	 	 	1.24E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	batimastat	chemical - protease inhibitor	 	 	 	 	 	1.24E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	glyburide	chemical drug	 	 	 	 	 	1.24E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ADCYAP1	other	 	 	 	 	 	1.27E-02	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	actinomycin D	biologic drug	 	 	 	 	 	1.31E-02	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CRHR1	g-protein coupled receptor	 	 	 	 	 	1.32E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	indomethacin	chemical drug	 	 	 	 	 	1.36E-02	BSG,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	DAG1	transmembrane receptor	 	 	 	 	 	1.39E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FLNA	other	 	 	 	 	 	1.39E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SCP2	transporter	 	 	 	 	 	1.39E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	isoprenaline	chemical drug	 	 	 	 	 	1.39E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	mir-143	microrna	 	 	 	 	 	1.39E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	BID	other	 	 	 	 	 	1.46E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PPP1R13L	transcription regulator	 	 	 	 	 	1.46E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TFAM	transcription regulator	 	 	 	 	 	1.46E-02	HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ammonium chloride	chemical drug	 	 	 	 	 	1.46E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	cigarette smoke	chemical toxicant	 	 	 	 	 	1.47E-02	FTL,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NTN1	other	 	 	 	 	 	1.53E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SLC2A4	transporter	 	 	 	 	 	1.53E-02	SLC2A1	 	
