© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_Random_Forest->randomforest_2247genes_seed6_stdev0.5 - 2019-03-12 05:27 PM
Workspace	My Projects
Project	AIH_Random_Forest
Analysis	randomforest_2247genes_seed6_stdev0.5 - 2019-03-12 05:27 PM
Date	Tue Mar 12 17:27:50 PDT 2019
Analysis ID	17546327

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_Random_Forest->randomforest_2247genes_seed6_stdev0.5 - 2019-03-12 05:27 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	NaN	6.12E-02	FBXL5,ATM,TOP2B	
Circadian Rhythm Signaling	-0E00	NaN	3.03E-02	CREB1,	
Cleavage and Polyadenylation of Pre-mRNA	-0E00	NaN	8.33E-02	CSTF1,	
Cysteine Biosynthesis III (mammalia)	-0E00	NaN	8.33E-02	MAT2B,EEF1AKMT2	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00	NaN	5.56E-02	SEC16A,	
D-myo-inositol (1,4,5)-trisphosphate Degradation	-0E00	NaN	5.88E-02	SEC16A,	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00	NaN	7.14E-02	ATM,	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	-0E00	NaN	8.70E-02	CCL4,LCN2	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	-0E00	NaN	5.56E-02	CCL4,	
Dopamine Degradation	-0E00	NaN	8.11E-02	ALDH1A2,ALDH1L2,IL4I1	
Eicosanoid Signaling	-0E00	NaN	8.82E-02	PTGDS,PLA2G10,ABHD3,PLBD1,PTGDR,ALOX5	
Endoplasmic Reticulum Stress Pathway	-0E00	NaN	4.76E-02	EIF2AK3,	
Estrogen Biosynthesis	-0E00	NaN	9.76E-02	HSD17B8,HSD17B11,CYP1B1,CYP2A6 (includes others)	
Ethanol Degradation II	-0E00	NaN	8.82E-02	ALDH1A2,ACSS2,ALDH1L2	
FAT10 Cancer Signaling Pathway	-0E00	NaN	8.70E-02	AKT3,SMAD2,IKBKB,ACVR2B	
FXR/RXR Activation	-0E00	NaN	4.76E-02	AKT3,IL1RN,PPARA,SERPINA1,SLC27A5,CYP27A1	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	9.78E-02	BMP8B,BMPR1A,WNT3,PRKD3,FZD1,SMAD2,AXIN1,ACVR2B,SMAD9	
Fatty Acid α-oxidation	-0E00	NaN	9.09E-02	ALDH1A2,ALDH1L2	
G-Protein Coupled Receptor Signaling	-0E00	NaN	9.54E-02	ADRB2,LPAR1,AKT3,CREB1,AVPR2,PRKAR2B,PIK3R1,RAPGEF3,RALB,PIK3CA,PTPN11,FRS2,RAP2B,PTGDR,PLCB1,RGS18,RRAS2,ATM,IKBKB,RAP1GAP,PIK3C2B,GRK2,GNAS,RGS14,HTR6,PRKAG1,RRAS	
GADD45 Signaling	-0E00	NaN	5.26E-02	ATM,	
Glutaryl-CoA Degradation	-0E00	NaN	6.25E-02	HSD17B8,	
Glutathione Redox Reactions I	-0E00	NaN	4.17E-02	GPX3,	
Glutathione-mediated Detoxification	-0E00	NaN	3.12E-02	ANPEP,	
Glycolysis I	-0E00	NaN	7.69E-02	ENO3,ENO1	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	5.00E-02	IL1RL1,ITGAL,IL1RN,XCL2,ITGA6,CLDN12,JAM3,CCL4,PPBP	
Gustation Pathway	-0E00	NaN	9.74E-02	ITPR2,GNG11,PRKAR2B,TAS2R5,CACNB2,ITPR3,CACNG6,CACNA1C,P2RY10,GNG2,PRKAG1,TAS2R19,P2RY6,CACNA1D,CACNB3	
Hematopoiesis from Multipotent Stem Cells	-0E00	NaN	8.33E-02	IL15,	
Heparan Sulfate Biosynthesis	-0E00	NaN	9.64E-02	CHST2,HS3ST3B1,DTD2,SULT2B1,LIPE,HS6ST1,UST,PPME1	
Hepatic Cholestasis	-0E00	NaN	7.50E-02	JUN,TLR4,IL1RL1,IL1RN,PRKD3,PRKAR2B,TIRAP,PPARA,IKBKB,IRAK2,PRKAG1,CYP27A1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00	NaN	9.68E-02	COL19A1,IL1RL1,PDGFRB,VEGFA,SMAD2,COL5A3,COL6A2,COL5A1,PDGFC,A2M,TLR4,IGF1R,MYL6,CD40LG,STAT1,COL24A1,COL13A1,VEGFB	
Histidine Degradation VI	-0E00	NaN	6.67E-02	CYP46A1,	
IL-1 Signaling	-0E00	NaN	9.89E-02	JUN,GNAS,GNB4,GNG11,PRKAR2B,IKBKB,GNG2,IRAK2,PRKAG1	
IL-10 Signaling	-0E00	NaN	7.25E-02	JUN,IL1RL1,IL1RN,IKBKB,BLVRB	
IL-17A Signaling in Fibroblasts	-0E00	NaN	8.57E-02	JUN,IKBKB,LCN2	
IL-17A Signaling in Gastric Cells	-0E00	NaN	4.00E-02	JUN,	
IL-22 Signaling	-0E00	NaN	8.33E-02	AKT3,STAT1	
Induction of Apoptosis by HIV1	-0E00	NaN	9.84E-02	NAIP,IKBKB,DFFB,TRAF1,CYCS,CASP8	
Inhibition of Matrix Metalloproteases	-0E00	NaN	5.13E-02	A2M,ADAM12	
Intrinsic Prothrombin Activation Pathway	-0E00	NaN	4.76E-02	COL5A3,F5	
Iron homeostasis signaling pathway	-0E00	NaN	9.49E-02	PDGFRB,MCOLN1,HSCB,SMAD2,NFS1,SLC11A2,ATP6AP1,BMP8B,BMPR1A,FBXL5,NUBP1,CIAO3,NUBP2	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	NaN	9.42E-02	JUN,CHST2,HS3ST3B1,IL1RL1,SULT2B1,ABCA1,IL4I1,PPARA,UST,ACSL6,TLR4,ALDH1A2,IL1RN,ACSL5,ALDH5A1,ALDH1L2,HS6ST1,CPT2,SLC27A5,ALDH8A1,CYP2A6 (includes others)	
LXR/RXR Activation	-0E00	NaN	5.79E-02	TLR4,IL1RL1,IL1RN,IRF3,ABCA1,SERPINA1,RXRB	
Leukotriene Biosynthesis	-0E00	NaN	7.69E-02	ALOX5,	
MIF Regulation of Innate Immunity	-0E00	NaN	9.52E-02	JUN,TLR4,PLA2G10,JMJD7-PLA2G4B	
MIF-mediated Glucocorticoid Regulation	-0E00	NaN	8.82E-02	TLR4,PLA2G10,JMJD7-PLA2G4B	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	NaN	9.52E-02	CACNA1C,CACNA1D	
Mechanisms of Viral Exit from Host Cells	-0E00	NaN	9.76E-02	ACTG1,PRKD3,VPS36,CHMP4A	
Melatonin Degradation I	-0E00	NaN	3.08E-02	CYP1B1,CYP2A6 (includes others)	
Methionine Degradation I (to Homocysteine)	-0E00	NaN	9.09E-02	MAT2B,EEF1AKMT2	
Methylglyoxal Degradation III	-0E00	NaN	5.26E-02	AKR7A2,	
Mitochondrial Dysfunction	-0E00	NaN	5.26E-02	RHOT2,COX17,NDUFB7,NDUFV3,NDUFA11,NDUFB1,CYCS,NDUFA4L2,CASP8	
NAD Phosphorylation and Dephosphorylation	-0E00	NaN	7.69E-02	NNT,	
NER Pathway	-0E00	NaN	9.71E-02	RPA4,POLE3,POLR2E,POLD1,ERCC8,RPA3,ERCC5,POLK,UVSSA,TOP2B	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	NaN	8.33E-02	CREB1,ENDOU,PRKAR2B,PRSS2,HLA-C,PRSS21,PRKAG1,HLA-F,TPP1,GZMB	
Nicotine Degradation II	-0E00	NaN	3.08E-02	CYP1B1,CYP2A6 (includes others)	
Nicotine Degradation III	-0E00	NaN	3.57E-02	CYP1B1,CYP2A6 (includes others)	
Noradrenaline and Adrenaline Degradation	-0E00	NaN	8.11E-02	ALDH1A2,ALDH1L2,IL4I1	
Notch Signaling	-0E00	NaN	5.26E-02	DLL1,DTX3	
OX40 Signaling Pathway	-0E00	NaN	7.78E-02	JUN,HLA-DQA2,HLA-DOA,HLA-DRB5,HLA-C,HLA-F,TRAF5	
Oxidative Phosphorylation	-0E00	NaN	5.50E-02	COX17,NDUFB7,NDUFV3,NDUFA11,NDUFB1,CYCS	
PCP pathway	-0E00	NaN	6.56E-02	JUN,WNT3,FZD1,DVL2	
PXR/RXR Activation	-0E00	NaN	9.23E-02	AKT3,PRKAR2B,PPARA,PRKAG1,FOXO3,CYP2A6 (includes others)	
Pentose Phosphate Pathway	-0E00	NaN	9.09E-02	PGLS,	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	-0E00	NaN	7.14E-02	IL4I1,	
Phototransduction Pathway	-0E00	NaN	9.43E-02	PRKAR2B,GUCY2D,GUCA1B,PRKAG1,ARR3	
Polyamine Regulation in Colon Cancer	-0E00	NaN	4.55E-02	SAT1,	
Pregnenolone Biosynthesis	-0E00	NaN	8.33E-02	CYP46A1,	
Primary Immunodeficiency Signaling	-0E00	NaN	8.00E-02	CD40LG,UNG,BLNK,ZAP70	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	-0E00	NaN	8.70E-02	APOBEC3G,NME2	
RAN Signaling	-0E00	NaN	5.88E-02	RANBP2,	
Regulation of Cellular Mechanics by Calpain Protease	-0E00	NaN	9.52E-02	RALB,RRAS2,RAP2B,RB1,CAPN10,RRAS	
Remodeling of Epithelial Adherens Junctions	-0E00	NaN	7.25E-02	CTNNA1,TUBB2A,ACTG1,TUBA8,RAB5A	
Retinol Biosynthesis	-0E00	NaN	7.14E-02	DHRS3,CEL,LIPE	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	NaN	3.70E-02	IL15,IL1RN	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	NaN	6.98E-02	IL15,IL1RN,CCL4	
Role of IL-17A in Arthritis	-0E00	NaN	8.57E-02	PIK3CA,PTPN11,FRS2,ATM,PIK3C2B,PIK3R1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	NaN	4.44E-02	CREB1,CCL4	
Role of JAK family kinases in IL-6-type Cytokine Signaling	-0E00	NaN	8.00E-02	STAT1,PTPN11	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	-0E00	NaN	4.17E-02	STAT1,	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	-0E00	NaN	4.35E-02	RSAD2,	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	NaN	8.70E-02	RXRB,BMI1,RB1,PCGF6	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	NaN	7.79E-02	CSNK1A1,WNT3,FZD1,AXIN1,DVL2,NCOA3	
SPINK1 Pancreatic Cancer Pathway	-0E00	NaN	6.67E-02	SMAD2,CTSB,PRSS2,CELA2B	
Serotonin Degradation	-0E00	NaN	4.05E-02	ALDH1A2,ALDH1L2,IL4I1	
Serotonin Receptor Signaling	-0E00	NaN	6.98E-02	IL4I1,HTR6,SLC18A2	
Sirtuin Signaling Pathway	-0E00	NaN	9.59E-02	TIMM9,JUN,CRTC2,TUBA8,TOMM5,PRKAA1,ACSS2,E2F1,NDUFB7,NDUFV3,PPARA,NDUFA4L2,ATG4B,HSF1,H1FX,OGG1,ATG4D,ATG2B,ABCA1,SOD1,MAPK6,TIMM44,POLR3D,RPTOR,NDUFA11,NDUFB1,GTF3C2,FOXO3	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	-0E00	NaN	4.35E-02	SEC16A,	
Superpathway of Melatonin Degradation	-0E00	NaN	4.29E-02	IL4I1,CYP1B1,CYP2A6 (includes others)	
Superpathway of Methionine Degradation	-0E00	NaN	8.11E-02	MTR,MAT2B,EEF1AKMT2	
TCA Cycle II (Eukaryotic)	-0E00	NaN	4.17E-02	IDH3B,	
Th17 Activation Pathway	-0E00	NaN	6.59E-02	NFATC3,IL21R,NFATC2,IRAK2,RORC,RORA	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	NaN	2.33E-02	DIO1,	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	NaN	3.70E-02	KAT6A,EOMES	
Triacylglycerol Degradation	-0E00	NaN	7.41E-02	DTD2,CEL,LIPE,PPME1	
Ubiquinol-10 Biosynthesis (Eukaryotic)	-0E00	NaN	5.56E-02	CYP46A1,	
cAMP-mediated signaling	-0E00	NaN	7.49E-02	ADRB2,RGS18,LPAR1,CREB1,AVPR2,CALM1 (includes others),PRKAR2B,RAP1GAP,RAPGEF3,GRK2,GNAS,RGS14,HTR6,AKAP17A,PTGDR,AKAP6,AKAP9	
nNOS Signaling in Neurons	-0E00	NaN	8.51E-02	CALM1 (includes others),NOS1AP,PRKD3,CAPN10	
p38 MAPK Signaling	-0E00	NaN	9.32E-02	RPS6KB2,IL1RL1,IL1RN,MAPKAPK5,CREB1,STAT1,PLA2G10,ATF1,JMJD7-PLA2G4B,IRAK2,RPS6KC1	
tRNA Splicing	-0E00	NaN	2.38E-02	TSEN15,	
Calcium Transport I	1.87E-01	NaN	1.00E-01	ATP2A3,	
Ketogenesis	1.87E-01	NaN	1.00E-01	BDH2,	
Ketolysis	1.87E-01	NaN	1.00E-01	BDH2,	
Heme Biosynthesis II	2.14E-01	NaN	1.11E-01	UROS,	
Pathogenesis of Multiple Sclerosis	2.14E-01	NaN	1.11E-01	CCL4,	
Sucrose Degradation V (Mammalian)	2.14E-01	NaN	1.11E-01	TKFC,	
Granzyme A Signaling	2.18E-01	NaN	1.00E-01	PRF1,H1FX	
The Visual Cycle	2.18E-01	NaN	1.00E-01	DHRS3,RDH5	
Histamine Degradation	2.38E-01	NaN	1.05E-01	ALDH1A2,ALDH1L2	
Inositol Pyrophosphates Biosynthesis	2.46E-01	NaN	1.25E-01	IPPK,	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	2.46E-01	NaN	1.25E-01	ADAT3,	
Superoxide Radicals Degradation	2.46E-01	NaN	1.25E-01	SOD1,	
Assembly of RNA Polymerase II Complex	2.48E-01	NaN	1.00E-01	GTF2B,DR1,POLR2E,TAF9B,GTF2E1	
IL-17A Signaling in Airway Cells	2.6E-01	NaN	1.00E-01	AKT3,PIK3CA,PTPN11,FRS2,ATM,IKBKB,PIK3C2B,PIK3R1	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	2.62E-01	NaN	1.11E-01	IPPK,SEC16A	
Chondroitin Sulfate Biosynthesis (Late Stages)	2.62E-01	NaN	1.02E-01	CHST2,HS3ST3B1,SULT2B1,HS6ST1,UST	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.62E-01	NaN	1.00E-01	TLR4,IL15,TLR5,TNFSF13B,IL1RN,CD40LG,HLA-DOA,HLA-DRB5,CD86	
Dermatan Sulfate Biosynthesis	2.66E-01	NaN	1.02E-01	CHST2,HS3ST3B1,SULT2B1,HS6ST1,CHPF2,UST	
Role of MAPK Signaling in the Pathogenesis of Influenza	2.72E-01	NaN	1.01E-01	RALB,AKT3,RRAS2,PLA2G10,ABHD3,RAP2B,PLBD1,RRAS	
Adenine and Adenosine Salvage III	2.84E-01	NaN	1.43E-01	ADAT3,	
Ceramide Biosynthesis	2.84E-01	NaN	1.43E-01	SPTLC3,	
Superpathway of Serine and Glycine Biosynthesis I	2.84E-01	NaN	1.43E-01	UBAC2,	
Clathrin-mediated Endocytosis Signaling	2.87E-01	NaN	1.00E-01	CDC42,CSNK2B,VEGFA,ATM,SNX9,RAB5A,AAK1,PIK3C2B,PIK3R1,PDGFC,AP1B1,ACTG1,PIK3CA,PTPN11,FRS2,AP2A2,SERPINA1,PIP5K1C,CLTB,VEGFB,UBC	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.87E-01	NaN	1.18E-01	MVK,MVD	
Complement System	2.92E-01	NaN	1.08E-01	C1QC,C1QB,SERPING1,CFH	
Chondroitin Sulfate Biosynthesis	2.95E-01	NaN	1.05E-01	CHST2,HS3ST3B1,SULT2B1,HS6ST1,CHPF2,UST	
Glutamate Receptor Signaling	2.95E-01	NaN	1.05E-01	CALM1 (includes others),GRIK4,GNG11,SLC1A4,GNG2,SLC38A1	
Allograft Rejection Signaling	3.1E-01	NaN	1.05E-01	HLA-DQA2,CD40LG,HLA-DOA,HLA-DRB5,PRF1,HLA-C,HLA-F,CD86,GZMB	
Heparan Sulfate Biosynthesis (Late Stages)	3.1E-01	NaN	1.05E-01	CHST2,HS3ST3B1,DTD2,SULT2B1,LIPE,HS6ST1,UST,PPME1	
Cell Cycle Control of Chromosomal Replication	3.1E-01	NaN	1.07E-01	RPA4,MCM9,POLD1,RPA3,CDK10,TOP2B	
Unfolded protein response	3.1E-01	NaN	1.07E-01	PDIA2,SCAP,HSPA14,EIF2AK3,DNAJB9,P4HB	
Dermatan Sulfate Biosynthesis (Late Stages)	3.11E-01	NaN	1.09E-01	CHST2,HS3ST3B1,SULT2B1,HS6ST1,UST	
Thyroid Cancer Signaling	3.11E-01	NaN	1.09E-01	RALB,RRAS2,RXRB,RAP2B,RRAS	
Estrogen-mediated S-phase Entry	3.13E-01	NaN	1.15E-01	E2F6,E2F1,RB1	
Gluconeogenesis I	3.13E-01	NaN	1.15E-01	ENO3,ME2,ENO1	
Lipid Antigen Presentation by CD1	3.13E-01	NaN	1.15E-01	AP2A2,PSAP,AP1B1	
NAD Salvage Pathway II	3.13E-01	NaN	1.15E-01	NT5E,NT5C3B,NT5C2	
Chondroitin Sulfate Degradation (Metazoa)	3.16E-01	NaN	1.25E-01	GALNS,HEXA	
Extrinsic Prothrombin Activation Pathway	3.16E-01	NaN	1.25E-01	TFPI,F5	
Mismatch Repair in Eukaryotes	3.16E-01	NaN	1.25E-01	FEN1,POLD1	
Parkinson's Signaling	3.16E-01	NaN	1.25E-01	CYCS,SEPT5	
Arginine Degradation VI (Arginase 2 Pathway)	3.31E-01	NaN	1.67E-01	PYCR2,	
Chondroitin and Dermatan Biosynthesis	3.31E-01	NaN	1.67E-01	CHPF2,	
Glycerol Degradation I	3.31E-01	NaN	1.67E-01	GK5,	
Lactose Degradation III	3.31E-01	NaN	1.67E-01	PSAP,	
Proline Biosynthesis II (from Arginine)	3.31E-01	NaN	1.67E-01	PYCR2,	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	3.31E-01	NaN	1.67E-01	SEPHS1,	
Zymosterol Biosynthesis	3.31E-01	NaN	1.67E-01	NSDHL,	
Ethanol Degradation IV	3.37E-01	NaN	1.20E-01	ALDH1A2,ACSS2,ALDH1L2	
Tryptophan Degradation III (Eukaryotic)	3.37E-01	NaN	1.20E-01	HSD17B8,IDO1,KYNU	
Tryptophan Degradation X (Mammalian, via Tryptamine)	3.37E-01	NaN	1.20E-01	ALDH1A2,ALDH1L2,IL4I1	
Relaxin Signaling	3.39E-01	NaN	1.04E-01	JUN,AKT3,GNB4,CREB1,GNG11,PRKAR2B,VEGFA,ATM,GUCY2D,PIK3C2B,PIK3R1,GNAS,PIK3CA,PTPN11,FRS2,GNG2,PRKAG1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	3.48E-01	NaN	1.14E-01	TANK,IRF3,DDX58,IKBKB,CASP8	
NAD biosynthesis II (from tryptophan)	3.48E-01	NaN	1.33E-01	IDO1,KYNU	
Telomere Extension by Telomerase	3.48E-01	NaN	1.33E-01	POT1,TNKS	
Aryl Hydrocarbon Receptor Signaling	3.51E-01	NaN	1.06E-01	JUN,RBL2,ATM,E2F1,RXRB,NCOA3,NFIC,ALDH1A2,PTGES3,ALDH5A1,ALDH1L2,RB1,TRIP11,ALDH8A1,CYP1B1	
DNA Methylation and Transcriptional Repression Signaling	3.54E-01	NaN	1.18E-01	CHD3,MTA1,DNMT3A,RBBP4	
Inhibition of Angiogenesis by TSP1	3.54E-01	NaN	1.18E-01	JUN,CD47,AKT3,VEGFA	
Retinoate Biosynthesis I	3.54E-01	NaN	1.18E-01	DHRS3,ALDH1A2,ALDH8A1,RDH5	
Role of JAK2 in Hormone-like Cytokine Signaling	3.54E-01	NaN	1.18E-01	SOCS7,STAT1,PTPN11,SH2B2	
Protein Kinase A Signaling	3.56E-01	NaN	1.03E-01	PPP1CC,ITPR2,GNB4,CREB1,NFATC2,CALM1 (includes others),PTCH1,GNG11,PRKAR2B,PTPN22,ANAPC1,PTPN11,AKAP17A,ANAPC7,DUSP16,PTPRS,AKAP6,PPP1R11,H1FX,PLCB1,PTPN14,ANAPC2,PTPRM,PRKD3,PPP1R12A,NTN1,ATF1,DUSP2,NFATC3,MYL6,GNAS,DUSP5,ITPR3,MYLK,LIPE,PLCH2,PLCG1,GNG2,PRKAG1,CDC23,AKAP9	
Phospholipases	3.57E-01	NaN	1.11E-01	PLCB1,PLA2G10,PLCH2,PLCG1,PLD4,ABHD3,PLBD1	
FGF Signaling	3.61E-01	NaN	1.09E-01	AKT3,CREB1,PIK3CA,PTPN11,CRKL,FRS2,ATM,PLCG1,PIK3C2B,PIK3R1	
Basal Cell Carcinoma Signaling	3.69E-01	NaN	1.11E-01	HKR1,BMP8B,WNT3,PTCH1,FZD1,GLI1,AXIN1,DVL2	
Type I Diabetes Mellitus Signaling	3.69E-01	NaN	1.08E-01	SOCS7,HLA-DOA,STAT1,HLA-DRB5,PRF1,IKBKB,HLA-C,CYCS,HLA-F,CD86,CASP8,GZMB	
PPAR Signaling	3.72E-01	NaN	1.09E-01	JUN,IL1RL1,RALB,PDGFRB,IL1RN,RRAS2,PPARA,IKBKB,RAP2B,RRAS,PDGFC	
Epithelial Adherens Junction Signaling	3.83E-01	NaN	1.07E-01	CTNNA1,CDC42,PTPRM,AKT3,RRAS2,TUBA8,FARP2,VAV2,TUBB2A,RALB,MYL6,DLL1,ACTG1,RAP2B,RRAS,ACVR2B	
Isoleucine Degradation I	3.84E-01	NaN	1.43E-01	AUH,BCAT2	
Creatine-phosphate Biosynthesis	3.89E-01	NaN	2.00E-01	CKB,	
Eumelanin Biosynthesis	3.89E-01	NaN	2.00E-01	DDT,	
Folate Polyglutamylation	3.89E-01	NaN	2.00E-01	FPGS,	
Galactose Degradation I (Leloir Pathway)	3.89E-01	NaN	2.00E-01	GALK2,	
Lysine Degradation II	3.89E-01	NaN	2.00E-01	AASS,	
Serine Biosynthesis	3.89E-01	NaN	2.00E-01	UBAC2,	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	3.89E-01	NaN	2.00E-01	GART,	
Tetrapyrrole Biosynthesis II	3.89E-01	NaN	2.00E-01	UROS,	
Trehalose Degradation II (Trehalase)	3.89E-01	NaN	2.00E-01	HK1,	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.92E-01	NaN	1.07E-01	MAP2K5,WNT3,PDGFRB,AKT3,RRAS2,SMAD2,ATM,AXIN1,ZEB1,PIK3C2B,EGR1,PIK3R1,RALB,PIK3CA,FZD1,PTPN11,FRS2,RAP2B,ETS1,DVL2,RRAS	
IL-12 Signaling and Production in Macrophages	3.94E-01	NaN	1.08E-01	JUN,AKT3,PRKD3,ATM,IKBKB,PIK3C2B,PIK3R1,JMJD6,TLR4,CD40LG,PIK3CA,STAT1,PTPN11,FRS2,STAT6,SERPINA1	
Apelin Adipocyte Signaling Pathway	3.95E-01	NaN	1.13E-01	GPX3,PRKAR2B,PRKAA1,SOD1,LIPE,PRKAG1,CYBB,MAPK6,PRKAB2	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	3.95E-01	NaN	1.13E-01	AKT3,PIK3CA,PTPN11,CRKL,IRF3,FRS2,ATM,PIK3C2B,PIK3R1	
Amyloid Processing	4E-01	NaN	1.18E-01	CSNK1A1,AKT3,CSNK2B,PRKAR2B,PRKAG1,CAPN10	
Gαs Signaling	4.23E-01	NaN	1.12E-01	ADRB2,GNAS,GNB4,CREB1,AVPR2,GNG11,PRKAR2B,HTR6,GNG2,PRKAG1,RAPGEF3,PTGDR	
Bile Acid Biosynthesis, Neutral Pathway	4.24E-01	NaN	1.54E-01	SLC27A5,CYP27A1	
Cholesterol Biosynthesis I	4.24E-01	NaN	1.54E-01	NSDHL,DHCR7	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	4.24E-01	NaN	1.54E-01	NSDHL,DHCR7	
Cholesterol Biosynthesis III (via Desmosterol)	4.24E-01	NaN	1.54E-01	NSDHL,DHCR7	
Mevalonate Pathway I	4.24E-01	NaN	1.54E-01	MVK,MVD	
γ-glutamyl Cycle	4.24E-01	NaN	1.54E-01	GCLC,ANPEP	
VDR/RXR Activation	4.28E-01	NaN	1.15E-01	TRPV6,GTF2B,IL1RL1,PRKD3,YY1,RXRB,COL13A1,KLF4,NCOA3	
Nur77 Signaling in T Lymphocytes	4.29E-01	NaN	1.19E-01	MAP2K5,SIN3B,CALM1 (includes others),HLA-DOA,HLA-DRB5,CYCS,CD86	
Oncostatin M Signaling	4.35E-01	NaN	1.25E-01	RALB,RRAS2,STAT1,RAP2B,RRAS	
