© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_Bootstrap_TreatmentNaive->AIH_041019_~spl_plate+sex+age+status_coll_aihelite_AIHnaiv - 2019-04-10 06:41 PM->seed993408
Workspace	My Projects
Project	AIH_DESeq2_Bootstrap_TreatmentNaive
Analysis	seed993408
Date	Wed Apr 10 18:41:35 PDT 2019
Analysis ID	17675923

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_Bootstrap_TreatmentNaive->AIH_041019_~spl_plate+sex+age+status_coll_aihelite_AIHnaiv - 2019-04-10 06:41 PM->seed993408
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Apelin Adipocyte Signaling Pathway	-0E00	2.1213203435596424	1.00E-01	GNAI1,GSTM1,PRKAR2B,ADCY6,GSTM2,SOD1,MAPK11,PRKAG1	
Apelin Cardiomyocyte Signaling Pathway	-0E00	0.0	9.57E-02	GNAI1,MYL6,FLT3,KLB,MYL12B,MYLPF,MYL6B,MAPK11,MYL9,KL,PLCD3	
Apelin Endothelial Signaling Pathway	-0E00	-0.7071067811865475	6.92E-02	GNAI1,FLT3,ADCY6,KLB,MRAS,MEF2B,PRKAG1,KL,TEK	
Apelin Liver Signaling Pathway	-0E00	NaN	7.69E-02	PDGFRB,COL5A3	
Apelin Pancreas Signaling Pathway	-0E00	1.3416407864998738	1.02E-01	FLT3,PRKAR2B,KLB,DDIT3,PRKAG1,KL	
Apoptosis Signaling	-0E00	-0.3333333333333333	9.09E-02	CAPN5,BCL2A1,ENDOG,MRAS,DFFB,AIFM1,BCL2L1,LMNA,CASP6	
April Mediated Signaling	-0E00	NaN	5.13E-02	TNFRSF17,MAPK11	
Autophagy	-0E00	NaN	4.92E-02	ULK1,MAP1LC3B2,CTSL	
B Cell Activating Factor Signaling	-0E00	NaN	7.32E-02	TNFSF13B,TNFRSF17,MAPK11	
B Cell Receptor Signaling	-0E00	1.1547005383792517	6.60E-02	MRAS,CD79B,MAP3K6,KL,CFL2,FLT3,BCL2A1,KLB,CD19,CREBBP,BCL2L1,MAPK11,MAP3K15	
BAG2 Signaling Pathway	-0E00	0.0	9.30E-02	HSPA1L,PINK1,PRKN,HSP90AA1	
BER pathway	-0E00	NaN	8.33E-02	XRCC1,	
BMP signaling pathway	-0E00	-0.7071067811865475	9.41E-02	BMP8B,PRKAR2B,MRAS,SMAD6,CREBBP,MAPK11,BMP2,PRKAG1	
Bladder Cancer Signaling	-0E00	0.0	9.28E-02	EGF,FGF17,MRAS,CCND1,MMP8,MMP21,FGF11,CDH1,MMP15	
Breast Cancer Regulation by Stathmin1	-0E00	NaN	9.77E-02	GNAI1,E2F5,CCNE2,ARHGEF10,PRKAR2B,TUBA8,ADCY6,MRAS,TUBB1,ARHGEF12,GNG7,CDK2,KL,STMN1,PPP1R3D,TUBB4A,ARHGEF19,FLT3,KLB,TUBB2B,PRKAG1	
Bupropion Degradation	-0E00	NaN	4.00E-02	CYP3A4,	
CCR3 Signaling in Eosinophils	-0E00	-0.3779644730092272	7.86E-02	GNAI1,PLA2G4C,FLT3,PLA2G10,KLB,MRAS,GNG7,JMJD7-PLA2G4B,MAPK11,KL,CFL2	
CCR5 Signaling in Macrophages	-0E00	NaN	9.57E-02	GNAI1,CACNA1F,MRAS,CACNG6,GNG7,MAPK11,CACNA1I,CACNB3,CACNA1H	
CD27 Signaling in Lymphocytes	-0E00	NaN	5.66E-02	MAP3K6,BCL2L1,MAP3K15	
CD28 Signaling in T Helper Cells	-0E00	0.0	5.97E-02	FLT3,HLA-DQA1,KLB,CD80,HLA-DOB,LAT,KL,HLA-DRA	
CD40 Signaling	-0E00	1.0	6.17E-02	FLT3,KLB,MAPK11,CD40,KL	
CDK5 Signaling	-0E00	-1.1338934190276817	6.48E-02	PPP1R3D,PRKAR2B,ADCY6,MRAS,MAPK11,PRKAG1,BDNF	
CDP-diacylglycerol Biosynthesis I	-0E00	NaN	4.00E-02	GPAT2,	
CNTF Signaling	-0E00	0.0	6.76E-02	FLT3,STAT1,MRAS,KLB,KL	
CREB Signaling in Neurons	-0E00	-2.1105794120443453	1.04E-01	GNAI1,GNAZ,GRM2,PRKAR2B,POLR2A,ADCY6,MRAS,GNG7,KL,CACNA1I,POLR2K,PLCD3,CACNA1H,CACNA1F,FLT3,GRIK4,POLR2J,KLB,CACNG6,CREBBP,PRKAG1,POLR2J2/POLR2J3,CACNB3	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	NaN	7.92E-02	FLT3,KLB,CD80,LAT,B2M,CLTCL1,AP1M2,KL	
CXCR4 Signaling	-0E00	-0.30151134457776363	7.65E-02	GNAI1,GNAZ,RHOBTB2,ADCY6,MYL12B,MRAS,GNG7,MYL6B,MYL9,KL,MYL6,FLT3,KLB,MYLPF	
Calcium Transport I	-0E00	NaN	1.00E-01	ATP2C2,	
Calcium-induced T Lymphocyte Apoptosis	-0E00	NaN	4.55E-02	HLA-DQA1,HLA-DOB,HLA-DRA	
Cancer Drug Resistance By Drug Efflux	-0E00	NaN	5.17E-02	MRAS,FOXO4,ABCG2	
Cardiac Hypertrophy Signaling	-0E00	-0.2182178902359924	9.84E-02	GNAI1,PRKAR2B,RHOBTB2,ADCY6,MRAS,GNG7,MAP3K6,FLT3,KLB,CREBBP,MEF2B,MAPK11,EIF2B2,GNAZ,TGFB3,MYL12B,ADRB1,MYL6B,MYL9,KL,PLCD3,MYL6,MYLPF,PRKAG1,MAP3K15	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	-0.6172133998483676	8.84E-02	GNAI1,IL1RL1,PRKAR2B,ADCY6,WNT10A,TNFSF12,MRAS,GNG7,MAP3K6,TULP2,PDE6C,WNT2B,ACVR1C,FLT3,KLB,RYR1,PDE7B,FZD6,FGF11,MEF2B,MAPK11,DVL2,EIF2B2,IL17RB,GDPD1,TGFB3,TNFSF13B,RPS6,CTF1,ADRB1,WNT5B,PDE1B,KL,PLCD3,IL18,FGF17,HDAC6,PRKAG1,DIAPH3,MAP3K15,PDE9A,IL17RC,ACVR2B,IL17RE	
Cardiac β-adrenergic Signaling	-0E00	-1.7320508075688774	9.29E-02	PRKAR2B,ADCY6,ADRB1,MRAS,PDE1B,GNG7,TULP2,PDE6C,PPP1R3D,PDE7B,PRKAG1,PDE9A,GDPD1	
Cardiomyocyte Differentiation via BMP Receptors	-0E00	NaN	1.00E-01	SMAD6,BMP2	
Cdc42 Signaling	-0E00	1.0	9.58E-02	HLA-DPB1,PARD3,HLA-DQA1,MYL12B,MYL6B,HLA-G,HLA-DOB,MYL9,B2M,HLA-DRA,CFL2,MYL6,MYLPF,MAPK11,DIAPH3,FGD1	
Cell Cycle Control of Chromosomal Replication	-0E00	NaN	5.36E-02	CDK11B,CDK2,CDK15	
Ceramide Signaling	-0E00	NaN	3.85E-02	FLT3,MRAS,KLB,KL	
Chemokine Signaling	-0E00	NaN	3.75E-02	GNAI1,MRAS,MAPK11	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	0.0	4.20E-02	IL18,CREM,RHOBTB2,MRAS,MEF2B	
Cholesterol Biosynthesis I	-0E00	NaN	7.69E-02	SC5D,	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	-0E00	NaN	7.69E-02	SC5D,	
Cholesterol Biosynthesis III (via Desmosterol)	-0E00	NaN	7.69E-02	SC5D,	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	-0.4472135954999579	1.02E-01	SULT2B1,CHST13,SULT1A2,CHPF,CHST10	
Chondroitin Sulfate Degradation (Metazoa)	-0E00	NaN	6.25E-02	HYAL3,	
Chronic Myeloid Leukemia Signaling	-0E00	NaN	7.76E-02	E2F5,TGFB3,HDAC6,FLT3,KLB,MRAS,CCND1,BCL2L1,KL	
Cleavage and Polyadenylation of Pre-mRNA	-0E00	NaN	8.33E-02	CSTF2,	
Colorectal Cancer Metastasis Signaling	-0E00	-0.8944271909999159	8.99E-02	TGFB3,PRKAR2B,RHOBTB2,ADCY6,WNT10A,MRAS,BIRC5,WNT5B,GNG7,MMP21,KL,WNT2B,EGF,FLT3,STAT1,CCND1,KLB,FZD6,MMP8,BCL2L1,CDH1,PRKAG1,MMP15,MSH2	
Communication between Innate and Adaptive Immune Cells	-0E00	NaN	9.38E-02	TNFSF13B,IL18,TNFRSF17,CD79B,CD80,HLA-G,B2M,CD40,HLA-DRA	
Cyclins and Cell Cycle Regulation	-0E00	1.889822365046136	9.88E-02	E2F5,CCNE2,TGFB3,HDAC6,CCND1,CDK2,CCNB2,CCNB1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	NaN	9.38E-02	DFFB,B2M,CASP6	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00	NaN	7.14E-02	XRCC1,	
Death Receptor Signaling	-0E00	0.0	8.79E-02	PARP3,TNFSF12,TNFRSF21,DFFB,ACTA2,PARP14,LMNA,CASP6	
Dermatan Sulfate Degradation (Metazoa)	-0E00	NaN	5.88E-02	HYAL3,	
Dopamine Receptor Signaling	-0E00	NaN	7.79E-02	PPP1R3D,PRKAR2B,ADCY6,PTS,SLC18A2,PRKAG1	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	-1.6666666666666667	7.36E-02	GNAI1,PPP1R3D,GRIN3B,CREM,PRKAR2B,ADCY6,CREBBP,KCNJ14,PRKAG1,PAWR,GRIN3A,PLCD3	
EGF Signaling	-0E00	0.4472135954999579	8.57E-02	EGF,FLT3,STAT1,KLB,MAPK11,KL	
ERK/MAPK Signaling	-0E00	-1.0	8.65E-02	TLN1,PRKAR2B,PLA2G10,MRAS,TLN2,KL,HIST1H3C,PLA2G4C,PPP1R3D,HIST3H3,FLT3,STAT1,KLB,LAMTOR3,JMJD7-PLA2G4B,CREBBP,PRKAG1,DUSP4	
ERK5 Signaling	-0E00	-1.6329931618554523	8.33E-02	EGF,CTF1,MRAS,WNK1,CREBBP,MEF2B	
Endocannabinoid Cancer Inhibition Pathway	-0E00	-0.5345224838248488	9.43E-02	GNAI1,CCNE2,PRKAR2B,ADCY6,TRIB3,KL,CASP6,FLT3,KLB,CCND1,CREBBP,DDIT3,CDH1,PRKAG1,TRPV1	
Endocannabinoid Developing Neuron Pathway	-0E00	0.0	9.92E-02	GNAI1,PRKAR2B,ADCY6,MRAS,GNG7,RAP1GAP,KL,FLT3,KLB,CCND1,CREBBP,MAPK11,PRKAG1	
Endometrial Cancer Signaling	-0E00	0.4472135954999579	8.00E-02	FLT3,MRAS,KLB,CCND1,CDH1,KL	
Endoplasmic Reticulum Stress Pathway	-0E00	NaN	4.76E-02	DDIT3,	
Endothelin-1 Signaling	-0E00	0.0	9.80E-02	GNAI1,GNAZ,PLA2G16,ADCY6,PLA2G10,MRAS,SHE,GUCY2D,KL,SHF,PLCD3,SHC3,CASP6,PLA2G4C,FLT3,KLB,RARRES3,MAPK11,GUCY2C,ECE2	
Ephrin B Signaling	-0E00	-2.0	8.33E-02	GNAI1,GNAZ,EPHB4,MRAS,GNG7,CFL2	
Ephrin Receptor Signaling	-0E00	-2.5298221281347035	7.78E-02	GNAI1,GNAZ,EPHB4,MRAS,SDC2,GNG7,NGEF,EPHA2,CFL2,GRIN3B,EGF,EFNA1,CREBBP,GRIN3A	
ErbB Signaling	-0E00	0.0	8.26E-02	HBEGF,EGF,FLT3,MRAS,KLB,NRG1,MAPK11,ERBB3,KL	
ErbB2-ErbB3 Signaling	-0E00	0.0	8.75E-02	FLT3,MRAS,KLB,CCND1,NRG1,ERBB3,KL	
ErbB4 Signaling	-0E00	0.0	6.02E-02	FLT3,MRAS,KLB,NRG1,KL	
Erythropoietin Signaling	-0E00	NaN	5.49E-02	FLT3,MRAS,KLB,SOCS1,KL	
Estrogen Biosynthesis	-0E00	NaN	2.44E-02	CYP3A4,	
Estrogen-Dependent Breast Cancer Signaling	-0E00	-0.4472135954999579	6.67E-02	FLT3,MRAS,KLB,CCND1,CREBBP,KL	
Ethanol Degradation II	-0E00	NaN	8.82E-02	ALDH1L2,ALDH1B1,ALDH4A1	
FAK Signaling	-0E00	NaN	9.09E-02	EGF,TLN1,CAPN5,FLT3,TNS1,MRAS,KLB,ACTA2,TLN2,KL	
FAT10 Cancer Signaling Pathway	-0E00	-1.0	8.70E-02	TGFB3,ACVR1C,EEF1A1,ACVR2B	
FGF Signaling	-0E00	0.0	7.61E-02	FGF17,FLT3,KLB,CREBBP,MAPK11,FGF11,KL	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	-0.3779644730092272	7.37E-02	FLT3,STAT1,MRAS,KLB,CREBBP,MAPK11,KL	
FXR/RXR Activation	-0E00	NaN	1.03E-01	PCK2,C3,VLDLR,APOM,C4A/C4B,IL18,CLU,ORM1,SERPINF2,CREBBP,SLC51A,PLTP,HPR	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	8.60E-02	BMP8B,CCNE2,TGFB3,ACVR1C,CDK2,FZD6,BMP2,ACVR2B	
Fatty Acid Activation	-0E00	NaN	7.69E-02	SLC27A2,	
Fatty Acid β-oxidation I	-0E00	NaN	6.25E-02	SDS,SLC27A2	
Fc Epsilon RI Signaling	-0E00	-0.3333333333333333	7.69E-02	PLA2G4C,FLT3,PLA2G10,KLB,MRAS,JMJD7-PLA2G4B,LAT,MAPK11,KL,FCER1A	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	-0.4472135954999579	5.32E-02	TLN1,FCGR1A,ACTA2,TLN2,FCGR3A/FCGR3B	
G Beta Gamma Signaling	-0E00	-2.3094010767585034	9.84E-02	GNAI1,CACNA1F,HBEGF,GNAZ,PRKAR2B,MRAS,CACNG6,GNG7,PRKAG1,CACNA1I,CACNB3,CACNA1H	
G Protein Signaling Mediated by Tubby	-0E00	NaN	6.45E-02	MRAS,GNG7	
GDNF Family Ligand-Receptor Interactions	-0E00	-1.3416407864998738	6.90E-02	DOK4,FLT3,MRAS,KLB,RET,KL	
GDP-glucose Biosynthesis	-0E00	NaN	1.00E-01	PGM5,	
GM-CSF Signaling	-0E00	0.3779644730092272	9.52E-02	FLT3,BCL2A1,STAT1,MRAS,KLB,CCND1,BCL2L1,KL	
GNRH Signaling	-0E00	-0.30151134457776363	9.25E-02	GNAI1,HBEGF,PRKAR2B,ADCY6,MRAS,GNG7,MAP3K6,CACNA1I,CACNA1H,CACNA1F,CACNG6,CREBBP,MAPK11,PRKAG1,MAP3K15,CACNB3	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	0.8164965809277261	8.22E-02	GNAI1,PRKAR2B,ADCY6,ADRB1,PRKAG1,PLCD3	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	-2.1105794120443453	9.82E-02	GNAI1,CACNA1F,PRKAR2B,ADCY6,CACNG6,GNG7,PRKAG1,CACNA1I,CACNB3,PLCD3,CACNA1H	
Glioblastoma Multiforme Signaling	-0E00	0.2773500981126146	8.89E-02	E2F5,PDGFRB,RHOBTB2,WNT10A,MRAS,WNT5B,CDK2,KL,IGF2,PLCD3,WNT2B,EGF,FLT3,KLB,CCND1,FZD6	
Glioma Invasiveness Signaling	-0E00	-0.8164965809277261	8.89E-02	ITGB5,FLT3,RHOBTB2,MRAS,KLB,TIMP3,ITGB3,KL	
Glioma Signaling	-0E00	0.0	7.20E-02	E2F5,EGF,PDGFRB,FLT3,KLB,MRAS,CCND1,KL,IGF2	
Glucocorticoid Biosynthesis	-0E00	NaN	9.09E-02	CYP11B1,	
Glucocorticoid Receptor Signaling	-0E00	NaN	8.86E-02	HSPA1L,FCGR1A,POLR2A,MRAS,POLR2K,A2M,FLT3,STAT1,POLR2J,KLB,CDKN1C,CREBBP,MAPK11,KRT72,HSP90AA1,POLR2J2/POLR2J3,PCK2,TGFB3,TAF9,KRT1,SMARCC2,KL,TAF7,ANXA1,PBX1,SMARCD3,BCL2L1,SERPINE1,PRKAG1,GTF2H5,KRT73	
Gluconeogenesis I	-0E00	NaN	3.85E-02	ME1,	
Glucose and Glucose-1-phosphate Degradation	-0E00	NaN	9.09E-02	PGM5,	
Glutaryl-CoA Degradation	-0E00	NaN	6.25E-02	CA1,	
Glutathione Redox Reactions I	-0E00	NaN	8.33E-02	GSTM1,GSTM2	
Glycine Betaine Degradation	-0E00	NaN	1.00E-01	SDS,	
Glycogen Degradation II	-0E00	NaN	7.69E-02	PGM5,	
Glycogen Degradation III	-0E00	NaN	6.67E-02	PGM5,	
Glycolysis I	-0E00	NaN	3.85E-02	PFKM,	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	8.38E-02	CCL4L1/CCL4L2,GNAI1,IL1RL1,CLDN3,SDC2,MSN,MMP21,CXCL6,IL18,CKLF,XCL2,MMP8,ITGB3,MMP15,FPR3	
Guanosine Nucleotides Degradation III	-0E00	NaN	8.33E-02	NT5M,	
Gαi Signaling	-0E00	-0.5773502691896258	9.60E-02	GNAI1,GRM2,P2RY12,PRKAR2B,ADCY6,MRAS,GNG7,RAP1GAP,ADORA3,CCR4,PRKAG1,ADORA1	
Gαq Signaling	-0E00	-1.0	3.47E-02	FLT3,RHOBTB2,KLB,MRAS,GNG7,KL	
HGF Signaling	-0E00	0.3779644730092272	6.45E-02	FLT3,KLB,MRAS,CCND1,CDK2,MAP3K6,KL,MAP3K15	
HIF1α Signaling	-0E00	NaN	8.53E-02	FLT3,MRAS,KLB,MMP8,CREBBP,MMP21,MAPK11,KL,HSP90AA1,MMP15,SLC2A5	
HIPPO signaling	-0E00	NaN	5.88E-02	PPP1R3D,AMOT,PARD3,FAT4,DLG2	
HMGB1 Signaling	-0E00	0.7071067811865475	7.18E-02	TGFB3,TNFSF13B,RHOBTB2,TNFSF12,MRAS,PLAT,KL,IL18,HAT1,FLT3,KLB,MAPK11,SERPINE1	
Hematopoiesis from Multipotent Stem Cells	-0E00	NaN	8.33E-02	IL7,	
Hematopoiesis from Pluripotent Stem Cells	-0E00	NaN	2.04E-02	IL7,	
Heparan Sulfate Biosynthesis	-0E00	-1.889822365046136	8.43E-02	AARS,SULT2B1,CHST13,SULT1A2,B3GAT2,EXTL2,CHST10	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	-1.6329931618554523	7.89E-02	AARS,SULT2B1,CHST13,SULT1A2,EXTL2,CHST10	
Hepatic Cholestasis	-0E00	NaN	4.35E-02	IL1RL1,TGFB3,TNFSF13B,IL18,PRKAR2B,ADCY6,TNFSF12,PRKAG1	
Human Embryonic Stem Cell Pluripotency	-0E00	NaN	9.52E-02	TGFB3,PDGFRB,WNT10A,MRAS,WNT5B,SMAD6,BMP2,KL,WNT2B,BMP8B,FLT3,KLB,FZD6,BDNF	
IGF-1 Signaling	-0E00	-1.1338934190276817	9.48E-02	IGFBP4,FLT3,PRKAR2B,KLB,MRAS,IGFBP2,SOCS1,IGFBP3,SOCS6,PRKAG1,KL	
IL-1 Signaling	-0E00	0.0	8.79E-02	GNAI1,GNAZ,PRKAR2B,ADCY6,MRAS,GNG7,MAPK11,PRKAG1	
IL-10 Signaling	-0E00	NaN	4.35E-02	IL1RL1,IL18,MAPK11	
IL-12 Signaling and Production in Macrophages	-0E00	NaN	9.46E-02	TGFB3,S100A8,CD40,KL,APOM,LYZ,IL18,FLT3,CLU,STAT1,ORM1,KLB,MAPK11,ALOX15	
IL-15 Signaling	-0E00	NaN	6.90E-02	FLT3,MRAS,KLB,MAPK11,BCL2L1,KL	
IL-17 Signaling	-0E00	NaN	7.29E-02	FLT3,MRAS,KLB,MAPK11,KL,MUC5B,IL17RC	
IL-17A Signaling in Airway Cells	-0E00	0.4472135954999579	8.75E-02	CXCL6,FLT3,KLB,MAPK11,KL,MUC5B,IL17RC	
IL-17A Signaling in Fibroblasts	-0E00	NaN	5.71E-02	MAPK11,IL17RC	
IL-17A Signaling in Gastric Cells	-0E00	NaN	8.00E-02	MAPK11,IL17RC	
IL-2 Signaling	-0E00	-1.0	6.67E-02	FLT3,MRAS,KLB,SOCS1,KL	
IL-22 Signaling	-0E00	NaN	8.33E-02	STAT1,MAPK11	
IL-23 Signaling Pathway	-0E00	-0.4472135954999579	8.33E-02	FLT3,FOXP3,KLB,KL,RORC	
IL-3 Signaling	-0E00	0.0	5.38E-02	FLT3,STAT1,MRAS,KLB,KL	
IL-4 Signaling	-0E00	NaN	8.08E-02	FLT3,HLA-DQA1,MRAS,KLB,HLA-DOB,SOCS1,KL,HLA-DRA	
IL-6 Signaling	-0E00	0.0	6.47E-02	A2M,IL1RL1,IL18,FLT3,KLB,MRAS,SOCS1,MAPK11,KL	
IL-8 Signaling	-0E00	-2.3570226039551585	9.77E-02	GNAI1,AZU1,HBEGF,DEFA1 (includes others),ITGB5,FLT4,RHOBTB2,MYL12B,MRAS,MPO,GNG7,MYL9,KL,TEK,EGF,FLT3,KLB,CCND1,ITGB3,BCL2L1,CDH1	
IL-9 Signaling	-0E00	NaN	8.51E-02	FLT3,STAT1,KLB,KL	
ILK Signaling	-0E00	-0.7276068751089989	1.02E-01	ITGB5,RHOBTB2,DSP,MYL6B,ACTA2,MYL9,BMP2,KL,CFL2,MYH9,MYL6,FLT3,ITGB6,TGFB1I1,KLB,CCND1,CREBBP,ITGB3,CDH1,ACTN4,TMSB10/TMSB4X	
Induction of Apoptosis by HIV1	-0E00	NaN	3.28E-02	DFFB,BCL2L1	
Inflammasome pathway	-0E00	NaN	1.00E-01	IL18,AIM2	
Inhibition of Angiogenesis by TSP1	-0E00	NaN	8.82E-02	SDC2,HSPG2,MAPK11	
Insulin Receptor Signaling	-0E00	0.9045340337332909	8.00E-02	PPP1R3D,FLT3,PRKAR2B,KLB,MRAS,FOXO4,PTPRF,SCNN1A,PRKAG1,EIF2B2,KL,ASIC3	
Integrin Signaling	-0E00	-2.0647416048350555	9.61E-02	ITGB5,TLN1,CTTN,RHOBTB2,MYL12B,MRAS,ITGA10,ACTA2,MYL9,TLN2,KL,ITGA7,ZYX,ITGA2B,CAPN5,FLT3,ITGB6,KLB,ITGAD,BCAR3,ITGB3,ACTN4	
Iron homeostasis signaling pathway	-0E00	NaN	8.76E-02	BMP8B,EGF,ATP6V1F,PDGFRB,ATP6V1C2,FECH,ERFE,NUBP1,BMP2,ATP6V1G1,ALAS2,HFE	
JAK/Stat Signaling	-0E00	-1.1338934190276817	8.51E-02	FLT3,STAT1,MRAS,KLB,SOCS1,SOCS6,BCL2L1,KL	
LPS-stimulated MAPK Signaling	-0E00	0.0	5.10E-02	FLT3,MRAS,KLB,MAPK11,KL	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	-0.8164965809277261	9.82E-02	IL1RL1,GSTO2,SULT2B1,CHST13,SULT1A2,ABCA1,ABCG1,CYP3A4,ALDH4A1,FMO5,GSTO1,IL18,GSTM1,SLC27A2,GSTM2,ALDH1L2,ALDH5A1,ACOX2,GSTM4,ALDH1B1,PLTP,CHST10	
Leptin Signaling in Obesity	-0E00	NaN	9.09E-02	FLT3,PRKAR2B,ADCY6,KLB,PRKAG1,LEPR,KL,PLCD3	
Leukocyte Extravasation Signaling	-0E00	-0.5	8.92E-02	GNAI1,ARHGAP6,CTTN,CLDN3,MSN,MMP21,RAP1GAP,ACTA2,KL,MYL6,FLT3,KLB,TIMP3,BMX,MMP8,ITGB3,MAPK11,ACTN4,MMP15	
Lipid Antigen Presentation by CD1	-0E00	NaN	7.69E-02	CD1C,B2M	
Lymphotoxin β Receptor Signaling	-0E00	NaN	7.25E-02	FLT3,KLB,CREBBP,BCL2L1,KL	
MIF Regulation of Innate Immunity	-0E00	NaN	7.14E-02	PLA2G4C,PLA2G10,JMJD7-PLA2G4B	
