© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_041119_~spl_plate+sex+age+steroid+status_coll_aihelite_Non-elite.vs.Elite
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIH_041119_~spl_plate+sex+age+steroid+status_coll_aihelite_Non-elite.vs.Elite
Date	Thu Apr 11 21:47:51 PDT 2019
Analysis ID	17683029

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_041119_~spl_plate+sex+age+steroid+status_coll_aihelite_Non-elite.vs.Elite
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Atherosclerosis Signaling	-0E00	NaN	2.34E-02	TNF,ALOX15B,PAFAH1B3	
B Cell Receptor Signaling	-0E00	-0.4472135954999579	2.54E-02	FGFR2,CD22,EGR1,KL,CFL2	
BAG2 Signaling Pathway	-0E00	NaN	2.33E-02	BAG2,	
BMP signaling pathway	-0E00	NaN	1.18E-02	SMAD9,	
Basal Cell Carcinoma Signaling	-0E00	NaN	1.37E-02	WNT2B,	
Bladder Cancer Signaling	-0E00	NaN	2.06E-02	MMP8,MMP28	
Breast Cancer Regulation by Stathmin1	-0E00	NaN	2.33E-02	FGFR2,TUBB4A,ADCY6,KL,OPN1SW	
CD28 Signaling in T Helper Cells	-0E00	NaN	1.49E-02	FGFR2,KL	
CNTF Signaling	-0E00	NaN	2.70E-02	FGFR2,KL	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	NaN	1.98E-02	FGFR2,KL	
Caveolar-mediated Endocytosis Signaling	-0E00	NaN	1.41E-02	ITGA7,	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	NaN	2.04E-02	TOP2A,	
Chemokine Signaling	-0E00	NaN	1.25E-02	OPN1SW,	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	NaN	1.68E-02	TNF,MEF2B	
Chronic Myeloid Leukemia Signaling	-0E00	NaN	1.72E-02	FGFR2,KL	
Circadian Rhythm Signaling	-0E00	NaN	3.03E-02	GRIN2D,	
Clathrin-mediated Endocytosis Signaling	-0E00	NaN	1.44E-02	FGFR2,UBB,KL	
Colorectal Cancer Metastasis Signaling	-0E00	1.1338934190276817	2.62E-02	WNT2B,FGFR2,ADCY6,TNF,MMP8,KL,MMP28	
Communication between Innate and Adaptive Immune Cells	-0E00	NaN	1.04E-02	TNF,	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	NaN	6.94E-03	PHOSPHO1,	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	NaN	6.94E-03	PHOSPHO1,	
D-myo-inositol-5-phosphate Metabolism	-0E00	NaN	1.23E-02	PHOSPHO1,PLCH1	
DNA Methylation and Transcriptional Repression Signaling	-0E00	NaN	2.94E-02	HIST1H4A,	
Dendritic Cell Maturation	-0E00	0.0	2.04E-02	FGFR2,TNF,KL,PLCH1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.17E-02	NDST2,	
Dopamine Degradation	-0E00	NaN	2.70E-02	ALDH4A1,	
Dopamine Receptor Signaling	-0E00	NaN	2.60E-02	ADCY6,NCS1	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	0.4472135954999579	3.07E-02	CACNA1E,ADCY6,GRIN2D,PLCH1,OPN1SW	
EGF Signaling	-0E00	NaN	2.86E-02	FGFR2,KL	
EIF2 Signaling	-0E00	0.0	1.72E-02	FGFR2,RPL39,RPL17,KL	
ERK/MAPK Signaling	-0E00	0.0	1.92E-02	FGFR2,KL,DOCK1,PAK3	
ERK5 Signaling	-0E00	NaN	2.78E-02	CTF1,MEF2B	
Eicosanoid Signaling	-0E00	NaN	2.94E-02	ALOX15B,PAFAH1B3	
Endocannabinoid Cancer Inhibition Pathway	-0E00	1.0	3.14E-02	FGFR2,GPR55,ADCY6,CNR1,KL	
Endometrial Cancer Signaling	-0E00	NaN	2.67E-02	FGFR2,KL	
Ephrin B Signaling	-0E00	NaN	1.39E-02	CFL2,	
Epithelial Adherens Junction Signaling	-0E00	NaN	2.61E-02	TUBB4A,MYL4,PARD3,SORBS1	
ErbB Signaling	-0E00	NaN	2.75E-02	FGFR2,KL,PAK3	
ErbB2-ErbB3 Signaling	-0E00	NaN	2.50E-02	FGFR2,KL	
ErbB4 Signaling	-0E00	NaN	2.41E-02	FGFR2,KL	
Erythropoietin Signaling	-0E00	NaN	2.20E-02	FGFR2,KL	
Estrogen Receptor Signaling	-0E00	NaN	1.46E-02	MNAT1,POLR2K	
Estrogen-Dependent Breast Cancer Signaling	-0E00	NaN	2.22E-02	FGFR2,KL	
Ethanol Degradation II	-0E00	NaN	2.94E-02	ALDH4A1,	
FAT10 Cancer Signaling Pathway	-0E00	NaN	2.17E-02	TNF,	
FGF Signaling	-0E00	NaN	2.17E-02	FGFR2,KL	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	NaN	2.11E-02	FGFR2,KL	
FXR/RXR Activation	-0E00	NaN	3.17E-02	FABP6,TNF,ABCB4,SERPINF2	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	2.15E-02	NPPA,SMAD9	
Fc Epsilon RI Signaling	-0E00	NaN	2.31E-02	FGFR2,TNF,KL	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	NaN	1.06E-02	DOCK1,	
G Beta Gamma Signaling	-0E00	NaN	1.64E-02	CACNA1F,CACNA1E	
G-Protein Coupled Receptor Signaling	-0E00	NaN	2.45E-02	FGFR2,SMPDL3B,ADCY6,PDE6G,CNR1,KL,GDPD1	
GDNF Family Ligand-Receptor Interactions	-0E00	NaN	2.30E-02	FGFR2,KL	
GM-CSF Signaling	-0E00	NaN	2.38E-02	FGFR2,KL	
Glioblastoma Multiforme Signaling	-0E00	-0.4472135954999579	2.78E-02	WNT2B,FGFR2,KL,PLCH1,IGF2	
Glioma Invasiveness Signaling	-0E00	NaN	2.22E-02	FGFR2,KL	
Glioma Signaling	-0E00	NaN	2.40E-02	FGFR2,KL,IGF2	
Glucocorticoid Receptor Signaling	-0E00	NaN	2.57E-02	BGLAP,FGFR2,PBX1,TNF,MNAT1,KL,POLR2K,NPPA,KRT73	
Glutathione-mediated Detoxification	-0E00	NaN	3.12E-02	GSTM1,	
Gαi Signaling	-0E00	NaN	2.40E-02	ADCY6,CNR1,OPN1SW	
Gαq Signaling	-0E00	NaN	1.16E-02	FGFR2,KL	
Gαs Signaling	-0E00	NaN	1.87E-02	ADCY6,CNR1	
HER-2 Signaling in Breast Cancer	-0E00	NaN	3.03E-02	FGFR2,PARD3,KL	
HGF Signaling	-0E00	NaN	2.42E-02	FGFR2,KL,DOCK1	
HIPPO signaling	-0E00	NaN	1.18E-02	PARD3,	
HMGB1 Signaling	-0E00	0.0	2.21E-02	FGFR2,TNF,PLAT,KL	
Hepatic Cholestasis	-0E00	NaN	2.72E-02	IL1RL1,FABP6,ADCY6,TNF,ABCB4	
Human Embryonic Stem Cell Pluripotency	-0E00	NaN	2.72E-02	WNT2B,FGFR2,INHBA,KL	
Huntington's Disease Signaling	-0E00	-2.0	2.38E-02	FGFR2,CDK5R1,UBB,ATP5PF,KL,POLR2K	
Hypoxia Signaling in the Cardiovascular System	-0E00	NaN	1.35E-02	UBE2C,	
IGF-1 Signaling	-0E00	NaN	2.59E-02	FGFR2,IGFBP2,KL	
IL-1 Signaling	-0E00	NaN	1.10E-02	ADCY6,	
IL-10 Signaling	-0E00	NaN	2.90E-02	IL1RL1,TNF	
IL-12 Signaling and Production in Macrophages	-0E00	NaN	2.03E-02	FGFR2,TNF,KL	
IL-17 Signaling	-0E00	NaN	2.08E-02	FGFR2,KL	
IL-17A Signaling in Airway Cells	-0E00	NaN	2.50E-02	FGFR2,KL	
IL-17A Signaling in Fibroblasts	-0E00	NaN	2.86E-02	LCN2,	
IL-2 Signaling	-0E00	NaN	2.67E-02	FGFR2,KL	
IL-3 Signaling	-0E00	NaN	2.15E-02	FGFR2,KL	
IL-4 Signaling	-0E00	NaN	3.03E-02	FGFR2,FCER2,KL	
IL-6 Signaling	-0E00	-1.0	2.88E-02	FGFR2,IL1RL1,TNF,KL	
ILK Signaling	-0E00	0.0	2.93E-02	FGFR2,MYL4,TNF,KL,DOCK1,CFL2	
Induction of Apoptosis by HIV1	-0E00	NaN	1.64E-02	TNF,	
Inhibition of Angiogenesis by TSP1	-0E00	NaN	2.94E-02	SDC2,	
Insulin Receptor Signaling	-0E00	NaN	1.33E-02	FGFR2,KL	
Integrin Signaling	-0E00	-0.4472135954999579	2.18E-02	FGFR2,KL,ITGA7,DOCK1,PAK3	
Iron homeostasis signaling pathway	-0E00	NaN	1.46E-02	ERFE,ALAS2	
JAK/Stat Signaling	-0E00	NaN	2.13E-02	FGFR2,KL	
LPS-stimulated MAPK Signaling	-0E00	NaN	2.04E-02	FGFR2,KL	
Lymphotoxin β Receptor Signaling	-0E00	NaN	2.90E-02	FGFR2,KL	
Macropinocytosis Signaling	-0E00	NaN	2.17E-02	FGFR2,KL	
Melanoma Signaling	-0E00	NaN	3.03E-02	FGFR2,KL	
Melatonin Signaling	-0E00	NaN	2.78E-02	PLCH1,OPN1SW	
Mitochondrial Dysfunction	-0E00	NaN	1.75E-02	NDUFA7,ATP5PF,CPT1B	
Mitotic Roles of Polo-Like Kinase	-0E00	NaN	3.03E-02	CDC20,PTTG1	
Molecular Mechanisms of Cancer	-0E00	NaN	1.49E-02	FGFR2,WNT2B,ADCY6,KL,SMAD9,PAK3	
Mouse Embryonic Stem Cell Pluripotency	-0E00	NaN	2.56E-02	FGFR2,KL,SMAD9	
Myc Mediated Apoptosis Signaling	-0E00	NaN	2.50E-02	FGFR2,KL	
NF-κB Signaling	-0E00	-1.0	2.11E-02	FGFR2,TNF,FLT1,KL	
NGF Signaling	-0E00	NaN	1.56E-02	FGFR2,KL	
NRF2-mediated Oxidative Stress Response	-0E00	NaN	2.91E-02	FGFR2,DNAJB13,GSTM1,UBB,KL,ENC1	
Neuregulin Signaling	-0E00	NaN	2.08E-02	CDK5R1,ERRFI1	
Neuroinflammation Signaling Pathway	-0E00	-0.4472135954999579	1.60E-02	FGFR2,TNF,GRIN2D,KL,CD200	
Noradrenaline and Adrenaline Degradation	-0E00	NaN	2.70E-02	ALDH4A1,	
Notch Signaling	-0E00	NaN	2.63E-02	JAG2,	
OX40 Signaling Pathway	-0E00	NaN	1.11E-02	HLA-DQA2,	
Opioid Signaling Pathway	-0E00	0.0	1.60E-02	CACNA1F,CACNA1E,ADCY6,GRIN2D	
Osteoarthritis Pathway	-0E00	0.4472135954999579	2.36E-02	BGLAP,IL1RL1,SP7,TNF,SMAD9	
Ovarian Cancer Signaling	-0E00	NaN	2.58E-02	WNT2B,FGFR2,RAD51,KL	
Oxidative Phosphorylation	-0E00	NaN	1.83E-02	NDUFA7,ATP5PF	
PCP pathway	-0E00	NaN	1.64E-02	WNT2B,	
PDGF Signaling	-0E00	NaN	1.98E-02	FGFR2,KL	
PEDF Signaling	-0E00	NaN	2.04E-02	FGFR2,KL	
PI3K Signaling in B Lymphocytes	-0E00	NaN	1.45E-02	CR2,PLCH1	
PKCθ Signaling in T Lymphocytes	-0E00	NaN	2.35E-02	CACNA1F,FGFR2,CACNA1E,KL	
PPAR Signaling	-0E00	NaN	1.92E-02	IL1RL1,TNF	
PPARα/RXRα Activation	-0E00	1.0	2.65E-02	IL1RL1,ADCY6,ADIPOR1,CPT1B,PLCH1	
PTEN Signaling	-0E00	NaN	1.59E-02	FGFR2,FLT1	
PXR/RXR Activation	-0E00	NaN	3.08E-02	GSTM1,TNF	
Pancreatic Adenocarcinoma Signaling	-0E00	NaN	2.42E-02	FGFR2,RAD51,KL	
Phospholipase C Signaling	-0E00	NaN	1.56E-02	MYL4,ADCY6,MYLPF,MEF2B	
Phospholipases	-0E00	NaN	3.08E-02	PAFAH1B3,PLCH1	
Primary Immunodeficiency Signaling	-0E00	NaN	2.00E-02	IGLL1/IGLL5,	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	NaN	1.47E-02	FGFR2,TNF,KL	
Prolactin Signaling	-0E00	NaN	2.13E-02	FGFR2,KL	
Prostate Cancer Signaling	-0E00	NaN	1.89E-02	FGFR2,KL	
Protein Kinase A Signaling	-0E00	0.0	2.75E-02	SMPDL3B,MYL4,PTPRK,ADCY6,MYLPF,PDE6G,PLCH1,PTPRS,OPN1SW,AKAP6,GDPD1	
Protein Ubiquitination Pathway	-0E00	NaN	2.58E-02	USP51,DNAJB13,USP27X,UBB,USP44,UBE2C,CDC20	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	NaN	1.54E-02	PAK3,	
RANK Signaling in Osteoclasts	-0E00	NaN	1.92E-02	FGFR2,KL	
RAR Activation	-0E00	NaN	3.16E-02	ADCY6,RBP2,MNAT1,NR2F6,RARB,SMAD9	
Regulation of eIF4 and p70S6K Signaling	-0E00	NaN	1.19E-02	FGFR2,KL	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00	NaN	2.49E-02	WNT2B,FGFR2,EGR1,KL,JAG2	
Remodeling of Epithelial Adherens Junctions	-0E00	NaN	1.45E-02	TUBB4A,	
Retinoate Biosynthesis I	-0E00	NaN	2.94E-02	RBP2,	
Retinoic acid Mediated Apoptosis Signaling	-0E00	NaN	1.67E-02	RARB,	
Retinol Biosynthesis	-0E00	NaN	2.38E-02	RBP2,	
RhoGDI Signaling	-0E00	0.4472135954999579	2.78E-02	MYL4,DLC1,MYLPF,CFL2,PAK3	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	NaN	2.33E-02	TNF,	
Role of IL-17A in Arthritis	-0E00	NaN	2.86E-02	FGFR2,KL	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	NaN	2.44E-02	TNF,PAFAH1B3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00	NaN	2.14E-02	WNT2B,FGFR2,IL1RL1,TNF,SFRP2,KL,PLCH1	
Role of NFAT in Regulation of the Immune Response	-0E00	NaN	1.53E-02	FGFR2,MEF2B,KL	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	NaN	2.17E-02	NR2F6,	
Role of PKR in Interferon Induction and Antiviral Response	-0E00	NaN	2.44E-02	TNF,	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	NaN	1.78E-02	FGFR2,TNF,KL	
Role of Tissue Factor in Cancer	-0E00	NaN	2.96E-02	FGFR2,EGR1,KL,CFL2	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	NaN	1.28E-02	WNT2B,	
SAPK/JNK Signaling	-0E00	NaN	1.74E-02	FGFR2,KL	
SPINK1 General Cancer Pathway	-0E00	NaN	2.35E-02	FGFR2,KL	
SPINK1 Pancreatic Cancer Pathway	-0E00	NaN	1.67E-02	ELANE,	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	NaN	2.06E-02	PAK3,APOBEC3H	
Serotonin Degradation	-0E00	NaN	2.70E-02	UGT2B11,ALDH4A1	
Serotonin Receptor Signaling	-0E00	NaN	2.33E-02	ADCY6,	
Stearate Biosynthesis I (Animals)	-0E00	NaN	2.27E-02	SRD5A3,	
Superpathway of Inositol Phosphate Compounds	-0E00	-1.3416407864998738	2.08E-02	FGFR2,PHOSPHO1,KIT,KL,PLCH1	
Superpathway of Methionine Degradation	-0E00	NaN	2.70E-02	CBS/CBSL,	
Synaptic Long Term Depression	-0E00	0.4472135954999579	2.65E-02	CACNA1F,CACNA1E,GUCY2D,PAFAH1B3,PLCH1	
Synaptic Long Term Potentiation	-0E00	NaN	1.55E-02	GRIN2D,PLCH1	
Systemic Lupus Erythematosus Signaling	-0E00	NaN	2.51E-02	FGFR2,TNF,CD72,CD22,C8G,KL	
T Cell Exhaustion Signaling Pathway	-0E00	NaN	1.58E-02	FGFR2,HLA-DQA2,KL	
T Cell Receptor Signaling	-0E00	NaN	1.67E-02	FGFR2,KL	
TGF-β Signaling	-0E00	NaN	3.12E-02	INHBA,PMEPA1,SMAD9	
TR/RXR Activation	-0E00	NaN	3.00E-02	FGFR2,ME1,KL	
TREM1 Signaling	-0E00	NaN	2.67E-02	IL1RL1,TNF	
Tec Kinase Signaling	-0E00	-1.0	2.78E-02	FGFR2,TNF,TNFRSF21,KL,PAK3	
Telomerase Signaling	-0E00	NaN	1.64E-02	FGFR2,KL	
Th1 Pathway	-0E00	NaN	2.92E-02	FGFR2,HLA-DQA2,ICOSLG/LOC102723996,KL	
Th17 Activation Pathway	-0E00	NaN	1.10E-02	IL26,	
Thrombin Signaling	-0E00	-0.4472135954999579	3.14E-02	FGFR2,MYL4,ADCY6,MYLPF,KL,PLCH1,OPN1SW	
Thrombopoietin Signaling	-0E00	NaN	2.67E-02	FGFR2,KL	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	NaN	2.33E-02	UGT2B11,	
Tight Junction Signaling	-0E00	NaN	2.38E-02	MYL4,TNF,YBX3,CLDN23	
Type I Diabetes Mellitus Signaling	-0E00	NaN	9.01E-03	TNF,	
UVA-Induced MAPK Signaling	-0E00	NaN	2.63E-02	FGFR2,KL,PLCH1	
UVB-Induced MAPK Signaling	-0E00	NaN	2.94E-02	FGFR2,KL	
VEGF Signaling	-0E00	NaN	2.63E-02	FGFR2,FLT1,KL	
Virus Entry via Endocytic Pathways	-0E00	NaN	1.65E-02	FGFR2,KL	
Wnt/β-catenin Signaling	-0E00	0.0	2.89E-02	WNT2B,SOX5,UBB,SFRP2,RARB	
Xenobiotic Metabolism Signaling	-0E00	NaN	2.64E-02	FGFR2,UGT2B11,NDST2,GSTM1,AHRR,TNF,KL,ALDH4A1	
cAMP-mediated signaling	-0E00	0.8164965809277261	3.08E-02	SMPDL3B,ADCY6,PDE6G,CNR1,PKIG,AKAP6,GDPD1	
eNOS Signaling	-0E00	-1.0	2.30E-02	FGFR2,ADCY6,FLT1,KL	
fMLP Signaling in Neutrophils	-0E00	NaN	3.03E-02	FGFR2,KL,FPR3,OPN1SW	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	NaN	2.40E-02	FGFR2,ICOSLG/LOC102723996,KL	
mTOR Signaling	-0E00	NaN	9.05E-03	FGFR2,KL	
nNOS Signaling in Neurons	-0E00	NaN	2.13E-02	GRIN2D,	
p38 MAPK Signaling	-0E00	NaN	2.54E-02	IL1RL1,TNF,MEF2B	
p70S6K Signaling	-0E00	0.0	2.80E-02	FGFR2,KL,PLCH1,OPN1SW	
α-Adrenergic Signaling	-0E00	NaN	2.11E-02	ADCY6,OPN1SW	
TNFR2 Signaling	2.06E-01	NaN	3.33E-02	TNF,	
Superpathway of Cholesterol Biosynthesis	2.24E-01	NaN	3.57E-02	CYP51A1,	
Wnt/Ca+ pathway	2.27E-01	NaN	3.23E-02	PDE6G,PLCH1	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.34E-01	NaN	3.70E-02	PLCH1,	
CCR5 Signaling in Macrophages	2.36E-01	NaN	3.19E-02	CACNA1F,CACNA1E,OPN1SW	
Regulation of Actin-based Motility by Rho	2.36E-01	NaN	3.19E-02	MYL4,MYLPF,PAK3	
IL-7 Signaling Pathway	2.42E-01	NaN	3.23E-02	FGFR2,CXCR5,KL	
Apelin Liver Signaling Pathway	2.44E-01	NaN	3.85E-02	TNF,	
Glycolysis I	2.44E-01	NaN	3.85E-02	BPGM,	
Apelin Pancreas Signaling Pathway	2.47E-01	NaN	3.39E-02	FGFR2,KL	
Dermatan Sulfate Biosynthesis	2.47E-01	NaN	3.39E-02	NDST2,CHPF	
Death Receptor Signaling	2.53E-01	NaN	3.30E-02	TNF,TNFRSF21,GAS2	
Ethanol Degradation IV	2.55E-01	NaN	4.00E-02	ALDH4A1,	
IL-17A Signaling in Gastric Cells	2.55E-01	NaN	4.00E-02	TNF,	
Tryptophan Degradation III (Eukaryotic)	2.55E-01	NaN	4.00E-02	CA1,	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.55E-01	NaN	4.00E-02	ALDH4A1,	
Antiproliferative Role of Somatostatin Receptor 2	2.59E-01	NaN	3.33E-02	FGFR2,GUCY2D,KL	
Chondroitin Sulfate Biosynthesis	2.62E-01	NaN	3.51E-02	NDST2,CHPF	
Glutamate Receptor Signaling	2.62E-01	NaN	3.51E-02	GRIK4,GRIN2D	
LXR/RXR Activation	2.66E-01	NaN	3.31E-02	IL1RL1,TNF,SERPINF2,CYP51A1	
Cysteine Biosynthesis III (mammalia)	2.67E-01	NaN	4.17E-02	CBS/CBSL,	
Glutathione Redox Reactions I	2.67E-01	NaN	4.17E-02	GSTM1,	
Cell Cycle Control of Chromosomal Replication	2.7E-01	NaN	3.57E-02	TOP2A,RPA4	
Neurotrophin/TRK Signaling	2.71E-01	NaN	3.41E-02	FGFR2,SPRY2,KL	
Non-Small Cell Lung Cancer Signaling	2.71E-01	NaN	3.41E-02	FGFR2,KL,RARB	
IL-15 Signaling	2.77E-01	NaN	3.45E-02	FGFR2,TNF,KL	
Small Cell Lung Cancer Signaling	2.77E-01	NaN	3.45E-02	FGFR2,KL,RARB	
Putrescine Degradation III	2.79E-01	NaN	4.35E-02	ALDH4A1,	
Leukocyte Extravasation Signaling	2.82E-01	0.8164965809277261	3.29E-02	FGFR2,DLC1,CLDN23,MMP8,KL,MMP28,OPN1SW	
Growth Hormone Signaling	2.84E-01	NaN	3.49E-02	FGFR2,KL,IGF2	
Docosahexaenoic Acid (DHA) Signaling	2.86E-01	NaN	3.70E-02	FGFR2,KL	
Role of Cytokines in Mediating Communication between Immune Cells	2.86E-01	NaN	3.70E-02	TNF,IL26	
Triacylglycerol Degradation	2.86E-01	NaN	3.70E-02	AARSD1,NDST2	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.88E-01	0.0	3.42E-02	FGFR2,GRIN2D,KL,PLCH1	
Fatty Acid α-oxidation	2.92E-01	NaN	4.55E-02	ALDH4A1,	
Gα12/13 Signaling	3.01E-01	-1.3416407864998738	3.42E-02	FGFR2,MYL4,MYLPF,MEF2B,KL	
Heparan Sulfate Biosynthesis	3.04E-01	NaN	3.61E-02	AARSD1,NDST2,EXTL2	
Maturity Onset Diabetes of Young (MODY) Signaling	3.06E-01	NaN	4.76E-02	CACNA1E,	
Oxidative Ethanol Degradation III	3.06E-01	NaN	4.76E-02	ALDH4A1,	
P2Y Purigenic Receptor Signaling Pathway	3.17E-01	-0.4472135954999579	3.50E-02	FGFR2,ADCY6,KL,PLCH1,OPN1SW	
CD40 Signaling	3.19E-01	NaN	3.70E-02	FGFR2,FCER2,KL	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.19E-01	NaN	3.70E-02	FGFR2,IL9R,KL	
Cardiomyocyte Differentiation via BMP Receptors	3.21E-01	NaN	5.00E-02	NPPA,	
The Visual Cycle	3.21E-01	NaN	5.00E-02	RBP2,	
Assembly of RNA Polymerase II Complex	3.22E-01	NaN	4.00E-02	MNAT1,POLR2K	
TNFR1 Signaling	3.22E-01	NaN	4.00E-02	TNF,PAK3	
GNRH Signaling	3.22E-01	1.0	3.47E-02	CACNA1F,CACNA1E,ADCY6,EGR1,OPN1SW,PAK3	
Apelin Adipocyte Signaling Pathway	3.26E-01	NaN	3.75E-02	GSTM1,ADCY6,OPN1SW	
Role of BRCA1 in DNA Damage Response	3.26E-01	NaN	3.75E-02	BRIP1,RAD51,FANCF	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	3.26E-01	NaN	3.75E-02	FGFR2,KL,OPN1SW	
Actin Cytoskeleton Signaling	3.26E-01	-0.7071067811865475	3.42E-02	FGFR2,MYL4,MYLPF,DIAPH3,KL,DOCK1,CFL2,PAK3	
FAK Signaling	3.3E-01	NaN	3.64E-02	FGFR2,KL,DOCK1,PAK3	
Chondroitin Sulfate Biosynthesis (Late Stages)	3.31E-01	NaN	4.08E-02	NDST2,CHPF	
CCR3 Signaling in Eosinophils	3.34E-01	NaN	3.57E-02	FGFR2,KL,CFL2,OPN1SW,PAK3	
Phagosome Formation	3.34E-01	NaN	3.57E-02	FGFR2,FCER2,CR2,KL,PLCH1	
GADD45 Signaling	3.37E-01	NaN	5.26E-02	GADD45G,	
Graft-versus-Host Disease Signaling	3.41E-01	NaN	4.17E-02	TNF,KIR2DL1/KIR2DL3	
CDK5 Signaling	3.44E-01	0.0	3.70E-02	CDK5R1,ADCY6,EGR1,LAMA5	
Melanocyte Development and Pigmentation Signaling	3.44E-01	-1.0	3.70E-02	FGFR2,ADCY6,KIT,KL	
