© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHnocirrhosis-vs-healthy
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIHnocirrhosis-vs-healthy
Date	Tue Jan 29 21:37:22 PST 2019
Analysis ID	17364207

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHnocirrhosis-vs-healthy
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Estrogen Receptor Signaling	2.27E-01	NaN	7.46E-03	RALB,	
Cellular Effects of Sildenafil (Viagra)	2.33E-01	NaN	7.63E-03	CACNA1E,	
Sirtuin Signaling Pathway	2.35E-01	NaN	6.85E-03	ABCA1,GADD45A	
Sperm Motility	2.39E-01	NaN	7.81E-03	PLBD1,	
Sphingosine-1-phosphate Signaling	2.43E-01	NaN	7.94E-03	IRS2,	
Synaptic Long Term Potentiation	2.43E-01	NaN	7.94E-03	RALB,	
Gαi Signaling	2.52E-01	NaN	8.20E-03	RALB,	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.64E-01	NaN	8.55E-03	IRS2,	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	2.77E-01	NaN	8.93E-03	CACNA1E,	
Antioxidant Action of Vitamin C	2.85E-01	NaN	9.17E-03	PLBD1,	
Cholecystokinin/Gastrin-mediated Signaling	2.9E-01	NaN	9.35E-03	RALB,	
CDK5 Signaling	2.96E-01	NaN	9.52E-03	RALB,	
RANK Signaling in Osteoclasts	2.99E-01	NaN	9.62E-03	IRS2,	
Opioid Signaling Pathway	3.1E-01	NaN	8.13E-03	RALB,CACNA1E	
TR/RXR Activation	3.11E-01	NaN	1.00E-02	IRS2,	
Phospholipase C Signaling	3.13E-01	NaN	8.20E-03	RALB,FCER1G	
Salvage Pathways of Pyrimidine Ribonucleotides	3.2E-01	NaN	1.03E-02	CDA,	
GABA Receptor Signaling	3.27E-01	NaN	1.05E-02	CACNA1E,	
Reelin Signaling in Neurons	3.3E-01	NaN	1.06E-02	IRS2,	
Death Receptor Signaling	3.33E-01	NaN	1.08E-02	NAIP,	
TGF-β Signaling	3.33E-01	NaN	1.08E-02	RALB,	
FGF Signaling	3.37E-01	NaN	1.09E-02	IRS2,	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.37E-01	NaN	1.09E-02	FCGR1A,	
OX40 Signaling Pathway	3.44E-01	NaN	1.11E-02	FCER1G,	
EIF2 Signaling	3.44E-01	NaN	8.73E-03	RALB,IRS2	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.47E-01	NaN	1.12E-02	TLR4,	
Small Cell Lung Cancer Signaling	3.54E-01	NaN	1.15E-02	IRS2,	
Allograft Rejection Signaling	3.58E-01	NaN	1.16E-02	FCER1G,	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	3.58E-01	NaN	1.16E-02	RALB,	
Integrin Signaling	3.62E-01	NaN	9.05E-03	RALB,IRS2	
Heparan Sulfate Biosynthesis	3.7E-01	NaN	1.20E-02	SULT1B1,	
BMP signaling pathway	3.74E-01	NaN	1.22E-02	RALB,	
CD40 Signaling	3.78E-01	NaN	1.23E-02	IRS2,	
Cyclins and Cell Cycle Regulation	3.78E-01	NaN	1.23E-02	CDKN1A,	
Leukocyte Extravasation Signaling	3.8E-01	NaN	9.39E-03	IRS2,MMP8	
IL-17A Signaling in Airway Cells	3.82E-01	NaN	1.25E-02	IRS2,	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	3.82E-01	NaN	1.25E-02	IRS2,	
Thrombin Signaling	3.85E-01	NaN	9.48E-03	RALB,IRS2	
Clathrin-mediated Endocytosis Signaling	3.9E-01	NaN	9.57E-03	S100A8,IRS2	
mTOR Signaling	3.92E-01	NaN	9.62E-03	RALB,IRS2	
Chemokine Signaling	3.94E-01	NaN	1.30E-02	RALB,	
Heparan Sulfate Biosynthesis (Late Stages)	3.99E-01	NaN	1.32E-02	SULT1B1,	
Agrin Interactions at Neuromuscular Junction	4.03E-01	NaN	1.33E-02	RALB,	
Serotonin Degradation	4.08E-01	NaN	1.35E-02	SULT1B1,	
Regulation of the Epithelial-Mesenchymal Transition Pathway	4.21E-01	NaN	1.02E-02	RALB,IRS2	
EGF Signaling	4.26E-01	NaN	1.43E-02	IRS2,	
Role of IL-17A in Arthritis	4.26E-01	NaN	1.43E-02	IRS2,	
ERK5 Signaling	4.31E-01	NaN	1.45E-02	RALB,	
Lymphotoxin β Receptor Signaling	4.31E-01	NaN	1.45E-02	IRS2,	
Remodeling of Epithelial Adherens Junctions	4.31E-01	NaN	1.45E-02	TUBB2A,	
UVB-Induced MAPK Signaling	4.36E-01	NaN	1.47E-02	IRS2,	
Cell Cycle: G1/S Checkpoint Regulation	4.41E-01	NaN	1.49E-02	CDKN1A,	
Calcium-induced T Lymphocyte Apoptosis	4.47E-01	NaN	1.52E-02	FCER1G,	
Melatonin Degradation I	4.52E-01	NaN	1.54E-02	SULT1B1,	
Netrin Signaling	4.52E-01	NaN	1.54E-02	CACNA1E,	
Sertoli Cell-Sertoli Cell Junction Signaling	4.61E-01	NaN	1.09E-02	TUBB2A,RALB	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.63E-01	NaN	1.59E-02	IFIT2,	
Phospholipases	4.63E-01	NaN	1.59E-02	PLBD1,	
Regulation of Cellular Mechanics by Calpain Protease	4.63E-01	NaN	1.59E-02	RALB,	
Actin Nucleation by ARP-WASP Complex	4.68E-01	NaN	1.61E-02	RALB,	
Ephrin A Signaling	4.68E-01	NaN	1.61E-02	IRS2,	
Induction of Apoptosis by HIV1	4.74E-01	NaN	1.64E-02	NAIP,	
SPINK1 Pancreatic Cancer Pathway	4.8E-01	NaN	1.67E-02	ELANE,	
Apelin Pancreas Signaling Pathway	4.86E-01	NaN	1.69E-02	IRS2,	
Dermatan Sulfate Biosynthesis	4.86E-01	NaN	1.69E-02	SULT1B1,	
Nur77 Signaling in T Lymphocytes	4.86E-01	NaN	1.69E-02	FCER1G,	
Aldosterone Signaling in Epithelial Cells	4.9E-01	NaN	1.15E-02	IRS2,DUSP1	
eNOS Signaling	4.9E-01	NaN	1.15E-02	AQP9,IRS2	
Xenobiotic Metabolism Signaling	4.92E-01	NaN	1.00E-02	RALB,IRS2,SULT1B1	
CXCR4 Signaling	4.97E-01	NaN	1.16E-02	RALB,IRS2	
Chondroitin Sulfate Biosynthesis	4.98E-01	NaN	1.75E-02	SULT1B1,	
Role of CHK Proteins in Cell Cycle Checkpoint Control	4.98E-01	NaN	1.75E-02	CDKN1A,	
GNRH Signaling	5.03E-01	NaN	1.18E-02	RALB,CACNA1E	
Unfolded protein response	5.04E-01	NaN	1.79E-02	CEBPD,	
Cancer Drug Resistance By Drug Efflux	5.11E-01	NaN	1.82E-02	RALB,	
Docosahexaenoic Acid (DHA) Signaling	5.18E-01	NaN	1.85E-02	IRS2,	
Regulation of eIF4 and p70S6K Signaling	5.21E-01	NaN	1.21E-02	RALB,IRS2	
Dopamine-DARPP32 Feedback in cAMP Signaling	5.28E-01	NaN	1.23E-02	KCNJ2,CACNA1E	
TNFR1 Signaling	5.46E-01	NaN	2.00E-02	NAIP,	
Endocannabinoid Cancer Inhibition Pathway	5.46E-01	NaN	1.27E-02	IRS2,CDKN1A	
Autoimmune Thyroid Disease Signaling	5.53E-01	NaN	2.04E-02	FCER1G,	
Chondroitin Sulfate Biosynthesis (Late Stages)	5.53E-01	NaN	2.04E-02	SULT1B1,	
Hematopoiesis from Pluripotent Stem Cells	5.53E-01	NaN	2.04E-02	FCER1G,	
UVC-Induced MAPK Signaling	5.53E-01	NaN	2.04E-02	RALB,	
Graft-versus-Host Disease Signaling	5.61E-01	NaN	2.08E-02	FCER1G,	
Triacylglycerol Biosynthesis	5.68E-01	NaN	2.13E-02	ABHD5,	
Th2 Pathway	5.69E-01	NaN	1.32E-02	IRS2,SOCS3	
Molecular Mechanisms of Cancer	5.7E-01	NaN	1.02E-02	RALB,NAIP,IRS2,CDKN1A	
Ovarian Cancer Signaling	5.73E-01	NaN	1.32E-02	RALB,IRS2	
Dermatan Sulfate Biosynthesis (Late Stages)	5.76E-01	NaN	2.17E-02	SULT1B1,	
Pyrimidine Ribonucleotides De Novo Biosynthesis	5.76E-01	NaN	2.17E-02	NUDT16,	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	5.76E-01	NaN	2.17E-02	ETS2,	
Thyroid Cancer Signaling	5.76E-01	NaN	2.17E-02	RALB,	
Epithelial Adherens Junction Signaling	5.82E-01	NaN	1.34E-02	TUBB2A,RALB	
Role of p14/p19ARF in Tumor Suppression	5.84E-01	NaN	2.22E-02	IRS2,	
Phagosome Maturation	5.86E-01	NaN	1.35E-02	TUBB2A,MPO	
Pyrimidine Ribonucleotides Interconversion	5.93E-01	NaN	2.27E-02	NUDT16,	
Stearate Biosynthesis I (Animals)	5.93E-01	NaN	2.27E-02	ACSL1,	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	6.01E-01	NaN	2.33E-02	SULT1B1,	
Gα12/13 Signaling	6.07E-01	NaN	1.40E-02	RALB,IRS2	
MIF Regulation of Innate Immunity	6.1E-01	NaN	2.38E-02	TLR4,	
Role of PKR in Interferon Induction and Antiviral Response	6.19E-01	NaN	2.44E-02	FCGR1A,	
nNOS Signaling in Skeletal Muscle Cells	6.19E-01	NaN	2.44E-02	CACNA1E,	
Cardiac β-adrenergic Signaling	6.2E-01	NaN	1.43E-02	CACNA1E,SLC8A1	
P2Y Purigenic Receptor Signaling Pathway	6.2E-01	NaN	1.43E-02	RALB,IRS2	
p70S6K Signaling	6.2E-01	NaN	1.43E-02	RALB,IRS2	
Axonal Guidance Signaling	6.2E-01	NaN	1.00E-02	TUBB2A,RALB,IRS2,MMP8,ADAMTS10	
CCR3 Signaling in Eosinophils	6.34E-01	NaN	1.46E-02	RALB,IRS2	
Inhibition of Matrix Metalloproteases	6.38E-01	NaN	2.56E-02	MMP8,	
CD28 Signaling in T Helper Cells	6.48E-01	NaN	1.49E-02	IRS2,FCER1G	
Role of Tissue Factor in Cancer	6.57E-01	NaN	1.52E-02	RALB,IRS2	
Dopamine Degradation	6.58E-01	NaN	2.70E-02	SULT1B1,	
Cardiac Hypertrophy Signaling	6.58E-01	NaN	1.24E-02	RALB,CACNA1E,IRS2	
Renin-Angiotensin Signaling	6.67E-01	NaN	1.54E-02	RALB,IRS2	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.67E-01	NaN	1.54E-02	RALB,IRS2	
PI3K/AKT Signaling	6.72E-01	NaN	1.55E-02	RALB,CDKN1A	
fMLP Signaling in Neutrophils	6.72E-01	NaN	1.55E-02	RALB,IRS2	
Atherosclerosis Signaling	6.77E-01	NaN	1.56E-02	S100A8,PLBD1	
Endocannabinoid Developing Neuron Pathway	6.77E-01	NaN	1.56E-02	RALB,IRS2	
TWEAK Signaling	6.8E-01	NaN	2.86E-02	NAIP,	
Apelin Endothelial Signaling Pathway	6.82E-01	NaN	1.57E-02	RALB,IRS2	
Ethanol Degradation II	6.91E-01	NaN	2.94E-02	ACSL1,	
MIF-mediated Glucocorticoid Regulation	6.91E-01	NaN	2.94E-02	TLR4,	
NGF Signaling	6.92E-01	NaN	1.60E-02	RALB,IRS2	
iCOS-iCOSL Signaling in T Helper Cells	6.92E-01	NaN	1.60E-02	IRS2,FCER1G	
Rac Signaling	6.97E-01	NaN	1.61E-02	RALB,IRS2	
Actin Cytoskeleton Signaling	6.98E-01	NaN	1.30E-02	RALB,IRS2,MATK	
PTEN Signaling	7.03E-01	NaN	1.63E-02	RALB,CDKN1A	
Pancreatic Adenocarcinoma Signaling	7.08E-01	NaN	1.64E-02	IRS2,CDKN1A	
cAMP-mediated signaling	7.13E-01	NaN	1.32E-02	DUSP1,PTGDR,HRH2	
Paxillin Signaling	7.13E-01	NaN	1.65E-02	RALB,IRS2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	7.15E-01	NaN	3.12E-02	FCER1G,	
Fatty Acid β-oxidation I	7.15E-01	NaN	3.12E-02	ACSL1,	
G Beta Gamma Signaling	7.24E-01	NaN	1.68E-02	RALB,CACNA1E	
Virus Entry via Endocytic Pathways	7.3E-01	NaN	1.69E-02	RALB,IRS2	
T Cell Receptor Signaling	7.36E-01	NaN	1.71E-02	RALB,IRS2	
TNFR2 Signaling	7.4E-01	NaN	3.33E-02	NAIP,	
AMPK Signaling	7.44E-01	NaN	1.37E-02	IRS2,PFKFB2,CDKN1A	
CREB Signaling in Neurons	7.44E-01	NaN	1.37E-02	RALB,CACNA1E,IRS2	
Apelin Cardiomyocyte Signaling Pathway	7.47E-01	NaN	1.74E-02	IRS2,SLC8A1	
Nitric Oxide Signaling in the Cardiovascular System	7.47E-01	NaN	1.74E-02	CACNA1E,IRS2	
Mouse Embryonic Stem Cell Pluripotency	7.53E-01	NaN	1.75E-02	RALB,IRS2	
UVA-Induced MAPK Signaling	7.59E-01	NaN	1.77E-02	RALB,IRS2	
VEGF Signaling	7.71E-01	NaN	1.80E-02	RALB,IRS2	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	7.81E-01	NaN	3.70E-02	ABHD5,	
PAK Signaling	7.83E-01	NaN	1.83E-02	RALB,IRS2	
Gap Junction Signaling	7.89E-01	NaN	1.44E-02	TUBB2A,RALB,IRS2	
FAK Signaling	7.96E-01	NaN	1.87E-02	RALB,IRS2	
Gαs Signaling	7.96E-01	NaN	1.87E-02	PTGDR,HRH2	
Estrogen-mediated S-phase Entry	7.96E-01	NaN	3.85E-02	CDKN1A,	
Lipid Antigen Presentation by CD1	7.96E-01	NaN	3.85E-02	FCER1G,	
Calcium Signaling	7.98E-01	NaN	1.46E-02	CACNA1E,SLC8A1,ASPH	
ErbB Signaling	8.02E-01	NaN	1.89E-02	RALB,IRS2	
Melanocyte Development and Pigmentation Signaling	8.08E-01	NaN	1.90E-02	RALB,IRS2	
CDP-diacylglycerol Biosynthesis I	8.12E-01	NaN	4.00E-02	ABHD5,	
Ethanol Degradation IV	8.12E-01	NaN	4.00E-02	ACSL1,	
Tryptophan Degradation III (Eukaryotic)	8.12E-01	NaN	4.00E-02	CA1,	
NRF2-mediated Oxidative Stress Response	8.16E-01	NaN	1.49E-02	RALB,IRS2,FKBP5	
IL-22 Signaling	8.28E-01	NaN	4.17E-02	SOCS3,	
Tumoricidal Function of Hepatic Natural Killer Cells	8.28E-01	NaN	4.17E-02	SRGN,	
Endothelin-1 Signaling	8.29E-01	NaN	1.51E-02	RALB,IRS2,PLBD1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	8.35E-01	NaN	1.98E-02	IRS2,FCER1G	
Ceramide Signaling	8.35E-01	NaN	1.98E-02	RALB,IRS2	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	8.45E-01	NaN	4.35E-02	LCN2,	
Putrescine Degradation III	8.45E-01	NaN	4.35E-02	SAT1,	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	8.45E-01	NaN	4.35E-02	RSAD2,	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	8.45E-01	NaN	4.35E-02	ITPKC,	
Acute Myeloid Leukemia Signaling	8.49E-01	NaN	2.02E-02	RALB,IRS2	
B Cell Receptor Signaling	8.53E-01	NaN	1.55E-02	RALB,BCL6,IRS2	
PDGF Signaling	8.56E-01	NaN	2.04E-02	RALB,IRS2	
Agranulocyte Adhesion and Diapedesis	8.62E-01	NaN	1.56E-02	IL1R1,MMP8,CXCL16	
ATM Signaling	8.63E-01	NaN	2.06E-02	CDKN1A,GADD45A	
Polyamine Regulation in Colon Cancer	8.63E-01	NaN	4.55E-02	SAT1,	
Apoptosis Signaling	8.7E-01	NaN	2.08E-02	RALB,NAIP	
IL-4 Signaling	8.7E-01	NaN	2.08E-02	RALB,IRS2	
VEGF Family Ligand-Receptor Interactions	8.7E-01	NaN	2.08E-02	RALB,IRS2	
NF-κB Activation by Viruses	8.78E-01	NaN	2.11E-02	RALB,IRS2	
PEDF Signaling	8.78E-01	NaN	2.11E-02	RALB,IRS2	
Maturity Onset Diabetes of Young (MODY) Signaling	8.82E-01	NaN	4.76E-02	CACNA1E,	
Oxidative Ethanol Degradation III	8.82E-01	NaN	4.76E-02	ACSL1,	
CCR5 Signaling in Macrophages	8.85E-01	NaN	2.13E-02	CACNA1E,FCER1G	
Synaptic Long Term Depression	8.92E-01	NaN	1.61E-02	RALB,CACNA1E,PLBD1	
IL-17 Signaling	8.93E-01	NaN	2.15E-02	RALB,IRS2	
IL-7 Signaling Pathway	8.93E-01	NaN	2.15E-02	BCL6,IRS2	
Neuregulin Signaling	8.93E-01	NaN	2.15E-02	RALB,MATK	
FLT3 Signaling in Hematopoietic Progenitor Cells	9E-01	NaN	2.17E-02	RALB,IRS2	
α-Adrenergic Signaling	9E-01	NaN	2.17E-02	RALB,SLC8A1	
Granzyme A Signaling	9.02E-01	NaN	5.00E-02	HMGB2,	
IL-1 Signaling	9.08E-01	NaN	2.20E-02	IL1R1,IRAK3	
IL-3 Signaling	9.16E-01	NaN	2.22E-02	RALB,IRS2	
Renal Cell Carcinoma Signaling	9.16E-01	NaN	2.22E-02	RALB,IRS2	
Germ Cell-Sertoli Cell Junction Signaling	9.23E-01	NaN	1.67E-02	TUBB2A,RALB,IRS2	
Macropinocytosis Signaling	9.24E-01	NaN	2.25E-02	RALB,IRS2	
Leptin Signaling in Obesity	9.32E-01	NaN	2.27E-02	IRS2,SOCS3	
Estrogen-Dependent Breast Cancer Signaling	9.4E-01	NaN	2.30E-02	RALB,IRS2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	9.45E-01	NaN	5.56E-02	ITPKC,	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	9.45E-01	NaN	5.56E-02	ITPKC,	
Angiopoietin Signaling	9.48E-01	NaN	2.33E-02	RALB,IRS2	
Growth Hormone Signaling	9.48E-01	NaN	2.33E-02	IRS2,SOCS3	
Non-Small Cell Lung Cancer Signaling	9.57E-01	NaN	2.35E-02	RALB,IRS2	
GDNF Family Ligand-Receptor Interactions	9.65E-01	NaN	2.38E-02	RALB,IRS2	
IL-15 Signaling	9.65E-01	NaN	2.38E-02	RALB,IRS2	
Neurotrophin/TRK Signaling	9.65E-01	NaN	2.38E-02	RALB,IRS2	
Mitochondrial L-carnitine Shuttle Pathway	9.68E-01	NaN	5.88E-02	ACSL1,	
γ-linolenate Biosynthesis II (Animals)	9.68E-01	NaN	5.88E-02	ACSL1,	
Tec Kinase Signaling	9.72E-01	NaN	1.75E-02	TLR4,IRS2,FCER1G	
Glioblastoma Multiforme Signaling	9.78E-01	NaN	1.76E-02	RALB,IRS2,CDKN1A	
SPINK1 General Cancer Pathway	9.83E-01	NaN	2.44E-02	RALB,IRS2	
GM-CSF Signaling	9.92E-01	NaN	2.47E-02	RALB,IRS2	
Glutaryl-CoA Degradation	9.93E-01	NaN	6.25E-02	CA1,	
ErbB4 Signaling	1E00	NaN	2.50E-02	RALB,IRS2	
Role of BRCA1 in DNA Damage Response	1E00	NaN	2.50E-02	CDKN1A,GADD45A	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.01E00	NaN	2.53E-02	RALB,PLBD1	
Glioma Invasiveness Signaling	1.02E00	NaN	2.56E-02	RALB,IRS2	
VDR/RXR Activation	1.02E00	NaN	2.56E-02	CDKN1A,GADD45A	
Glycogen Degradation III	1.02E00	NaN	6.67E-02	MGAM,	
Superpathway of Citrulline Metabolism	1.02E00	NaN	6.67E-02	ARG1,	
ErbB2-ErbB3 Signaling	1.03E00	NaN	2.60E-02	RALB,IRS2	
Myc Mediated Apoptosis Signaling	1.03E00	NaN	2.60E-02	RALB,IRS2	
Endometrial Cancer Signaling	1.08E00	NaN	2.78E-02	RALB,IRS2	
IL-2 Signaling	1.08E00	NaN	2.78E-02	RALB,IRS2	
Thrombopoietin Signaling	1.08E00	NaN	2.78E-02	RALB,IRS2	
Fatty Acid Activation	1.08E00	NaN	7.69E-02	ACSL1,	
CNTF Signaling	1.09E00	NaN	2.82E-02	RALB,IRS2	
Superpathway of Melatonin Degradation	1.1E00	NaN	2.86E-02	MPO,SULT1B1	
Eicosanoid Signaling	1.12E00	NaN	2.94E-02	PLBD1,PTGDR	
14-3-3-mediated Signaling	1.18E00	NaN	2.16E-02	TUBB2A,RALB,IRS2	
Role of NFAT in Cardiac Hypertrophy	1.19E00	2.0	1.77E-02	RALB,CACNA1E,IRS2,SLC8A1	
GP6 Signaling Pathway	1.21E00	NaN	2.22E-02	IRS2,FCER1G,COL6A2	
PI3K Signaling in B Lymphocytes	1.21E00	NaN	2.22E-02	TLR4,RALB,IRS2	
Citrulline Biosynthesis	1.23E00	NaN	1.11E-01	ARG1,	
Breast Cancer Regulation by Stathmin1	1.27E00	NaN	1.89E-02	TUBB2A,RALB,IRS2,CDKN1A	
Fc Epsilon RI Signaling	1.27E00	NaN	2.36E-02	RALB,IRS2,FCER1G	
HIF1α Signaling	1.28E00	NaN	2.38E-02	RALB,IRS2,MMP8	
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.28E00	NaN	1.25E-01	MMP8,	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.28E00	NaN	1.25E-01	CDA,	
Adrenomedullin signaling pathway	1.3E00	1.0	1.93E-02	RALB,IRS2,ADM,MATK	
ERK/MAPK Signaling	1.31E00	1.0	1.95E-02	RALB,IRS2,DUSP1,ETS2	
Glioma Signaling	1.32E00	NaN	2.46E-02	RALB,IRS2,CDKN1A	
IL-8 Signaling	1.32E00	2.0	1.96E-02	RALB,IRS2,MPO,IRAK3	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.37E00	NaN	4.08E-02	CDKN1A,GADD45A	
G-Protein Coupled Receptor Signaling	1.38E00	NaN	1.77E-02	RALB,IRS2,DUSP1,PTGDR,HRH2	
Amyotrophic Lateral Sclerosis Signaling	1.4E00	NaN	2.65E-02	NAIP,CACNA1E,IRS2	
Chronic Myeloid Leukemia Signaling	1.4E00	NaN	2.65E-02	RALB,IRS2,CDKN1A	
p53 Signaling	1.4E00	NaN	2.65E-02	IRS2,CDKN1A,GADD45A	
Arginine Degradation VI (Arginase 2 Pathway)	1.4E00	NaN	1.67E-01	ARG1,	
Urea Cycle	1.4E00	NaN	1.67E-01	ARG1,	
IL-9 Signaling	1.41E00	NaN	4.26E-02	IRS2,SOCS3	
Type I Diabetes Mellitus Signaling	1.42E00	NaN	2.70E-02	IL1R1,SOCS3,FCER1G	
iNOS Signaling	1.44E00	NaN	4.44E-02	TLR4,IRAK3	
Prostate Cancer Signaling	1.5E00	NaN	2.91E-02	RALB,IRS2,CDKN1A	
Oncostatin M Signaling	1.53E00	NaN	5.00E-02	RALB,OSM	
HER-2 Signaling in Breast Cancer	1.58E00	NaN	3.12E-02	RALB,IRS2,CDKN1A	
Acetate Conversion to Acetyl-CoA	1.58E00	NaN	2.50E-01	ACSL1,	
Arginine Degradation I (Arginase Pathway)	1.58E00	NaN	2.50E-01	ARG1,	
Spermine and Spermidine Degradation I	1.58E00	NaN	2.50E-01	SAT1,	
PKCθ Signaling in T Lymphocytes	1.59E00	NaN	2.40E-02	RALB,CACNA1E,IRS2,FCER1G	
LPS-stimulated MAPK Signaling	1.59E00	NaN	3.16E-02	TLR4,RALB,IRS2	
Complement System	1.6E00	NaN	5.41E-02	SERPING1,C3AR1	
Bladder Cancer Signaling	1.6E00	NaN	3.19E-02	RALB,CDKN1A,MMP8	
D-myo-inositol-5-phosphate Metabolism	1.63E00	2.0	2.47E-02	ALPL,DUSP1,SOCS3,NUDT16	
Prolactin Signaling	1.64E00	NaN	3.30E-02	RALB,IRS2,SOCS3	
IL-17A Signaling in Fibroblasts	1.64E00	NaN	5.71E-02	CEBPD,LCN2	
3-phosphoinositide Degradation	1.67E00	2.0	2.53E-02	ALPL,DUSP1,SOCS3,NUDT16	
Role of JAK2 in Hormone-like Cytokine Signaling	1.67E00	NaN	5.88E-02	IRS2,SOCS3	
Systemic Lupus Erythematosus Signaling	1.67E00	NaN	2.12E-02	RALB,FCGR1B,IRS2,FCGR1A,FCER1G	
Erythropoietin Signaling	1.67E00	NaN	3.41E-02	RALB,IRS2,SOCS3	
Antiproliferative Role of Somatostatin Receptor 2	1.69E00	NaN	3.45E-02	RALB,IRS2,CDKN1A	
FcγRIIB Signaling in B Lymphocytes	1.69E00	NaN	3.45E-02	RALB,CACNA1E,IRS2	
