© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-healthy
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIHcirrhosis-vs-healthy
Date	Tue Jan 29 21:37:22 PST 2019
Analysis ID	17364206

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-healthy
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Apelin Pancreas Signaling Pathway	-0E00	NaN	3.39E-02	PIK3C2B,IRS1	
Autoimmune Thyroid Disease Signaling	-0E00	NaN	4.08E-02	CD28,FCER1G	
BMP signaling pathway	-0E00	NaN	2.44E-02	RALB,NOG	
Bupropion Degradation	-0E00	NaN	4.00E-02	CYP1B1,	
Cell Cycle Control of Chromosomal Replication	-0E00	NaN	5.36E-02	TOP2A,CDK14,ORC6	
Cell Cycle Regulation by BTG Family Proteins	-0E00	NaN	5.41E-02	PPP2R5B,E2F2	
Chemokine Signaling	-0E00	NaN	2.60E-02	GNAI1,RALB	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	1.3416407864998738	4.67E-02	RALB,IL1B,ITPR3,GNA12,MAP2K3	
Chondroitin Sulfate Biosynthesis	-0E00	NaN	5.26E-02	SULT2B1,SULT1B1,CHST15	
DNA damage-induced 14-3-3σ Signaling	-0E00	NaN	5.26E-02	AKT3,	
Dermatan Sulfate Biosynthesis	-0E00	NaN	5.08E-02	SULT2B1,SULT1B1,CHST15	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	-0E00	NaN	4.35E-02	IL1B,	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	-0E00	NaN	5.56E-02	IL1B,	
Dopamine Receptor Signaling	-0E00	NaN	5.19E-02	PPP1R3D,PPP2R5B,SMOX,MAOA	
EIF2 Signaling	-0E00	0.6324555320336759	4.80E-02	EIF2AK2,RALB,UBA52,EIF2AK1,AKT3,RPL21,PIK3C2B,IRS1,RPL36A,RPL41,RPS12	
Ephrin A Signaling	-0E00	NaN	4.84E-02	IRS1,PIK3C2B,CFL2	
ErbB Signaling	-0E00	0.4472135954999579	4.72E-02	TGFA,RALB,PIK3C2B,IRS1,MAP2K3	
ErbB2-ErbB3 Signaling	-0E00	-1.0	5.19E-02	RALB,PTEN,PIK3C2B,IRS1	
ErbB4 Signaling	-0E00	NaN	3.75E-02	RALB,PIK3C2B,IRS1	
Estrogen Biosynthesis	-0E00	NaN	2.44E-02	CYP1B1,	
Estrogen Receptor Signaling	-0E00	NaN	5.22E-02	KAT2B,HIST1H3C,RALB,POLR2J,MNAT1,POLR2J2/POLR2J3,CARM1	
FGF Signaling	-0E00	-0.4472135954999579	5.43E-02	AKT3,CREB5,PIK3C2B,IRS1,MAP2K3	
FXR/RXR Activation	-0E00	NaN	3.17E-02	AKT3,IL1B,RXRA,SERPINA1	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	5.43E-02	LEF1,LRP6,NOG,FZD5,ACVR2B	
Fatty Acid α-oxidation	-0E00	NaN	4.55E-02	ALDH1A2,	
Fatty Acid β-oxidation I	-0E00	NaN	3.12E-02	ACSL1,	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	0.4472135954999579	5.43E-02	PTEN,AKT3,FCGR1A,RAB11B,YES1	
GADD45 Signaling	-0E00	NaN	5.26E-02	GADD45A,	
GDNF Family Ligand-Receptor Interactions	-0E00	NaN	4.76E-02	RALB,ITPR3,PIK3C2B,IRS1	
Glutathione Redox Reactions I	-0E00	NaN	4.17E-02	PRDX6,	
Gαq Signaling	-0E00	-0.7071067811865475	5.56E-02	AKT3,GNAS,ITPR3,PPP3R1,CHP1,RGS2,PIK3C2B,IRS1,NFKBIA	
HER-2 Signaling in Breast Cancer	-0E00	NaN	5.21E-02	RALB,AKT3,PARD3,PIK3C2B,IRS1	
HIPPO signaling	-0E00	NaN	4.71E-02	PPP1R3D,PPP2R5B,PARD3,DLG2	
Hematopoiesis from Pluripotent Stem Cells	-0E00	NaN	2.04E-02	FCER1G,	
Hepatic Cholestasis	-0E00	NaN	5.00E-02	TLR4,IL1B,IL1R1,IL18RAP,RXRA,IL1R2,NFKBIA,IRAK3	
Histamine Degradation	-0E00	NaN	5.26E-02	ALDH1A2,	
IL-17 Signaling	-0E00	NaN	5.38E-02	RALB,AKT3,PIK3C2B,IRS1,MAP2K3	
Integrin Signaling	-0E00	-1.0	4.98E-02	RALB,ARF1,ASAP1,PTEN,AKT3,MYL12B,TSPAN5,ITGA11,PIK3C2B,IRS1,TSPAN7	
Intrinsic Prothrombin Activation Pathway	-0E00	NaN	4.76E-02	COL5A3,F5	
MSP-RON Signaling Pathway	-0E00	NaN	5.41E-02	TLR4,IRS1,PIK3C2B,TLR2	
Macropinocytosis Signaling	-0E00	NaN	4.49E-02	RALB,PIK3C2B,IRS1,PDGFC	
Melanocyte Development and Pigmentation Signaling	-0E00	0.4472135954999579	4.76E-02	RALB,GNAS,CREB5,PIK3C2B,IRS1	
Melatonin Degradation I	-0E00	NaN	4.62E-02	SULT1B1,CYP1B1,LARGE2	
Mitotic Roles of Polo-Like Kinase	-0E00	NaN	3.03E-02	PPP2R5B,CDC27	
Mouse Embryonic Stem Cell Pluripotency	-0E00	-0.8164965809277261	5.26E-02	RALB,AKT3,LEF1,PIK3C2B,IRS1,FZD5	
Myc Mediated Apoptosis Signaling	-0E00	NaN	5.19E-02	RALB,AKT3,PIK3C2B,IRS1	
NGF Signaling	-0E00	-0.8164965809277261	4.80E-02	RALB,AKT3,CREB5,PIK3C2B,IRS1,MAP3K9	
Neuregulin Signaling	-0E00	0.4472135954999579	5.38E-02	TGFA,RALB,PTEN,AKT3,MATK	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	0.0	5.00E-02	MME,ENDOU,MMP9,THOP1,ACE,TMPRSS9	
Nicotine Degradation II	-0E00	NaN	3.08E-02	CYP1B1,LARGE2	
Nicotine Degradation III	-0E00	NaN	3.57E-02	CYP1B1,LARGE2	
Notch Signaling	-0E00	NaN	5.26E-02	DTX3,FURIN	
OX40 Signaling Pathway	-0E00	0.0	5.56E-02	FCER1G,B2M,BCL2L1,NFKBIA,TRAF5	
Oxidative Phosphorylation	-0E00	1.3416407864998738	4.59E-02	ATP5F1E,COX6B1,NDUFA1,ATP5F1B,COX6C	
PXR/RXR Activation	-0E00	NaN	4.62E-02	AKT3,RXRA,FOXO3	
Paxillin Signaling	-0E00	0.0	4.13E-02	RALB,ARF1,ITGA11,PIK3C2B,IRS1	
Phototransduction Pathway	-0E00	NaN	3.77E-02	GUCA1B,ARR3	
Primary Immunodeficiency Signaling	-0E00	NaN	4.00E-02	TNFRSF13C,BLNK	
Prolactin Signaling	-0E00	-0.4472135954999579	5.49E-02	RALB,SOCS3,STAT1,PIK3C2B,IRS1	
Purine Nucleotides Degradation II (Aerobic)	-0E00	NaN	5.26E-02	NT5M,	
Regulation of Actin-based Motility by Rho	-0E00	NaN	3.37E-02	MYL6,MYL4,MYL12B	
Regulation of Cellular Mechanics by Calpain Protease	-0E00	NaN	1.59E-02	RALB,	
Regulation of eIF4 and p70S6K Signaling	-0E00	-1.3416407864998738	3.64E-02	RALB,PPP2R5B,AKT3,PIK3C2B,IRS1,RPS12	
Renin-Angiotensin Signaling	-0E00	-1.6329931618554523	5.38E-02	RALB,ITPR3,STAT1,PIK3C2B,IRS1,ACE,SHF	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	NaN	5.26E-02	PPP2R5B,E2F2,MDC1	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	NaN	1.85E-02	IL1B,	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	NaN	2.33E-02	IL1B,	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	NaN	4.44E-02	IL1B,CREB5	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00	-1.0	5.38E-02	RALB,AKT3,PIK3C2B,IRS1,WNT1,WNT16,FZD5	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	NaN	4.35E-02	FBXO15,ETS2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	NaN	2.27E-02	NFKBIA,	
Role of p14/p19ARF in Tumor Suppression	-0E00	NaN	4.44E-02	IRS1,PIK3C2B	
SPINK1 Pancreatic Cancer Pathway	-0E00	NaN	5.00E-02	CTSB,ELANE,CPD	
Sonic Hedgehog Signaling	-0E00	NaN	3.33E-02	PTCH1,	
Sumoylation Pathway	-0E00	NaN	3.12E-02	SNCA,CDH1,NFKBIA	
Systemic Lupus Erythematosus Signaling	-0E00	NaN	5.08E-02	FCGR1B,RALB,SNRPN,TNFSF13B,CD28,AKT3,IL1B,FCGR1A,TNFRSF13C,PIK3C2B,IRS1,FCER1G	
TGF-β Signaling	-0E00	NaN	4.30E-02	RALB,MAP2K3,ZFYVE9,ACVR2B	
TNFR1 Signaling	-0E00	NaN	4.00E-02	NAIP,NFKBIA	
The Visual Cycle	-0E00	NaN	5.00E-02	RDH13,	
Thrombopoietin Signaling	-0E00	0.0	5.56E-02	RALB,STAT1,PIK3C2B,IRS1	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	NaN	4.65E-02	SULT1B1,LARGE2	
UVB-Induced MAPK Signaling	-0E00	NaN	4.41E-02	HIST1H3C,PIK3C2B,IRS1	
UVC-Induced MAPK Signaling	-0E00	NaN	2.04E-02	RALB,	
Ubiquinol-10 Biosynthesis (Eukaryotic)	-0E00	NaN	5.56E-02	MICAL2,	
Unfolded protein response	-0E00	NaN	5.36E-02	MAP2K7,CEBPD,AMFR	
VDR/RXR Activation	-0E00	NaN	3.85E-02	MXD1,RXRA,GADD45A	
mTOR Signaling	-0E00	-1.1338934190276817	5.29E-02	RALB,PPP2R5B,AKT1S1,AKT3,STK11,PGF,PIK3C2B,IRS1,VEGFB,RPS12,PDGFC	
tRNA Charging	-0E00	NaN	2.56E-02	TARS2,	
Mitochondrial L-carnitine Shuttle Pathway	2.04E-01	NaN	5.88E-02	ACSL1,	
Adenosine Nucleotides Degradation II	2.2E-01	NaN	6.25E-02	NT5M,	
Extrinsic Prothrombin Activation Pathway	2.2E-01	NaN	6.25E-02	F5,	
Granzyme B Signaling	2.2E-01	NaN	6.25E-02	LMNB1,	
Parkinson's Signaling	2.2E-01	NaN	6.25E-02	SNCA,	
IL-17A Signaling in Fibroblasts	2.28E-01	NaN	5.71E-02	CEBPD,NFKBIA	
Histidine Degradation VI	2.37E-01	NaN	6.67E-02	MICAL2,	
Semaphorin Signaling in Neurons	2.39E-01	NaN	5.66E-02	PLXNA1,ARHGEF12,CFL2	
Ethanol Degradation II	2.4E-01	NaN	5.88E-02	ALDH1A2,ACSL1	
CNTF Signaling	2.45E-01	0.0	5.63E-02	RALB,STAT1,PIK3C2B,IRS1	
Caveolar-mediated Endocytosis Signaling	2.45E-01	NaN	5.63E-02	FLOT1,ITSN1,ITGA11,B2M	
Gαs Signaling	2.53E-01	0.0	5.61E-02	VIPR2,GNAS,CREB5,RGS2,HTR6,HRH2	
Role of IL-17A in Arthritis	2.54E-01	NaN	5.71E-02	PIK3C2B,IRS1,MAP2K3,NFKBIA	
Estrogen-Dependent Breast Cancer Signaling	2.66E-01	-0.4472135954999579	5.75E-02	RALB,AKT3,CREB5,PIK3C2B,IRS1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.66E-01	NaN	6.25E-02	FCER1G,B2M	
CDK5 Signaling	2.67E-01	0.8164965809277261	5.71E-02	PPP1R3D,RALB,PPP2R5B,GNAS,LAMC1,EGR1	
Assembly of RNA Polymerase II Complex	2.7E-01	NaN	6.00E-02	POLR2J,MNAT1,POLR2J2/POLR2J3	
Growth Hormone Signaling	2.74E-01	-1.0	5.81E-02	SOCS3,STAT1,PIK3C2B,IRS1,IGF2	
Cardiac β-adrenergic Signaling	2.76E-01	0.3779644730092272	5.71E-02	PPP1R3D,PPP2R5B,CACNA1E,GNAS,SLC8A1,CACNA1C,GDE1,SMPDL3A	
p70S6K Signaling	2.76E-01	-2.1213203435596424	5.71E-02	GNAI1,RALB,PPP2R5B,AKT3,PLCH2,PLCE1,PIK3C2B,IRS1	
Breast Cancer Regulation by Stathmin1	2.77E-01	NaN	5.66E-02	GNAI1,TUBB2A,PPP1R3D,RALB,PPP2R5B,GNAS,ITPR3,E2F2,ARHGEF12,PIK3C2B,IRS1,TUBB4B	
Choline Biosynthesis III	2.78E-01	NaN	7.69E-02	CHPT1,	
Fatty Acid Activation	2.78E-01	NaN	7.69E-02	ACSL1,	
Glycogen Degradation II	2.78E-01	NaN	7.69E-02	PYGL,	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	2.78E-01	NaN	7.69E-02	NT5M,	
G Protein Signaling Mediated by Tubby	2.8E-01	NaN	6.45E-02	GNAS,TUB	
Chondroitin Sulfate Biosynthesis (Late Stages)	2.81E-01	NaN	6.12E-02	SULT2B1,SULT1B1,CHST15	
Cell Cycle: G1/S Checkpoint Regulation	2.82E-01	NaN	5.97E-02	CDKN2D,E2F2,PA2G4,TFDP1	
HGF Signaling	2.83E-01	-0.8164965809277261	5.79E-02	RALB,MAP2K7,AKT3,PIK3C2B,IRS1,MAP3K9,ETS2	
Calcium-induced T Lymphocyte Apoptosis	2.92E-01	NaN	6.06E-02	PPP3R1,ITPR3,CHP1,FCER1G	
Graft-versus-Host Disease Signaling	2.93E-01	NaN	6.25E-02	CD28,IL1B,FCER1G	
TNFR2 Signaling	2.95E-01	NaN	6.67E-02	NAIP,NFKBIA	
Telomerase Signaling	2.98E-01	-1.1338934190276817	5.88E-02	RALB,PPP2R5B,AKT3,IL2RB,PIK3C2B,IRS1,ETS2	
Gap Junction Signaling	3E-01	NaN	5.77E-02	GNAI1,TUBB2A,RALB,AKT3,GNAS,ITPR3,PPP3R1,PLCH2,IRS1,PLCE1,PIK3C2B,TUBB4B	
Acyl-CoA Hydrolysis	3.01E-01	NaN	8.33E-02	THEM5,	
Assembly of RNA Polymerase I Complex	3.01E-01	NaN	8.33E-02	POLR1D,	
Guanosine Nucleotides Degradation III	3.01E-01	NaN	8.33E-02	NT5M,	
Pregnenolone Biosynthesis	3.01E-01	NaN	8.33E-02	MICAL2,	
Gustation Pathway	3.03E-01	NaN	5.84E-02	CACNA1F,CACNA1E,P2RY11,ITPR3,CACNA1C,GDE1,SMPDL3A,CACNA1I,ASIC3	
SPINK1 General Cancer Pathway	3.1E-01	-1.3416407864998738	6.10E-02	RALB,MT2A,AKT3,PIK3C2B,IRS1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	3.14E-01	-1.1338934190276817	5.98E-02	ITPR3,GRINA,PLCH2,PLCE1,PIK3C2B,IRS1,KCNH2	
Th2 Pathway	3.17E-01	-1.1338934190276817	5.92E-02	GATA3,CD28,SOCS3,IL2RB,PIK3C2B,IRS1,HAVCR1,ICAM1,ACVR2B	
Dermatan Sulfate Biosynthesis (Late Stages)	3.18E-01	NaN	6.52E-02	SULT2B1,SULT1B1,CHST15	
Cyclins and Cell Cycle Regulation	3.2E-01	0.0	6.17E-02	PPP2R5B,CDKN2D,E2F2,PA2G4,TFDP1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.25E-01	1.0	6.35E-02	STAT1,IFIT2,ZBP1,NFKBIA	
Phospholipases	3.25E-01	-1.0	6.35E-02	PLA2G10,PLCH2,PLCE1,PLBD1	
Dolichyl-diphosphooligosaccharide Biosynthesis	3.28E-01	NaN	9.09E-02	DPM2,	
Purine Nucleotides De Novo Biosynthesis II	3.28E-01	NaN	9.09E-02	PFAS,	
IL-17A Signaling in Airway Cells	3.3E-01	-2.23606797749979	6.25E-02	PTEN,AKT3,PIK3C2B,IRS1,NFKBIA	
Role of BRCA1 in DNA Damage Response	3.3E-01	NaN	6.25E-02	STAT1,E2F2,HLTF,MDC1,GADD45A	
Cdc42 Signaling	3.36E-01	1.889822365046136	5.99E-02	CDC42BPA,MYL6,MYL4,PARD3,MYL12B,FCER1G,B2M,DIAPH3,CFL2,EXOC6	
Wnt/Ca+ pathway	3.36E-01	0.0	6.45E-02	CREB5,PLCH2,PLCE1,FZD5	
Apoptosis Signaling	3.44E-01	-0.8164965809277261	6.25E-02	RALB,MAP2K7,NAIP,BCL2A1,BCL2L1,NFKBIA	
IL-4 Signaling	3.44E-01	NaN	6.25E-02	RALB,AKT3,INPP5K,NR3C2,PIK3C2B,IRS1	
Stearate Biosynthesis I (Animals)	3.46E-01	NaN	6.82E-02	ACSL1,BDH2,THEM5	
IGF-1 Signaling	3.48E-01	-0.8164965809277261	6.19E-02	GRB10,RALB,AKT3,SOCS3,PIK3C2B,IRS1,FOXO3	
Induction of Apoptosis by HIV1	3.48E-01	-1.0	6.56E-02	MAP2K7,NAIP,BCL2L1,NFKBIA	
PCP pathway	3.48E-01	0.0	6.56E-02	JUND,WNT1,WNT16,FZD5	
Glioma Invasiveness Signaling	3.51E-01	0.4472135954999579	6.41E-02	RALB,MMP9,PLAUR,PIK3C2B,IRS1	
Natural Killer Cell Signaling	3.51E-01	NaN	6.15E-02	RALB,AKT3,INPP5K,PIK3C2B,IRS1,FCER1G,KLRC4-KLRK1/KLRK1,SH2D1B	
LPS-stimulated MAPK Signaling	3.54E-01	0.8164965809277261	6.32E-02	TLR4,RALB,PIK3C2B,IRS1,MAP2K3,NFKBIA	
NF-κB Activation by Viruses	3.54E-01	0.0	6.32E-02	EIF2AK2,RALB,AKT3,PIK3C2B,IRS1,NFKBIA	
Glycine Betaine Degradation	3.58E-01	NaN	1.00E-01	SARDH,	
Ketogenesis	3.58E-01	NaN	1.00E-01	BDH2,	
Ketolysis	3.58E-01	NaN	1.00E-01	BDH2,	
Serotonin Receptor Signaling	3.6E-01	NaN	6.98E-02	SMOX,HTR6,MAOA	
Apelin Liver Signaling Pathway	3.64E-01	NaN	7.69E-02	COL5A3,IRS1	
Estrogen-mediated S-phase Entry	3.64E-01	NaN	7.69E-02	E2F2,TFDP1	
Sperm Motility	3.68E-01	-1.414213562373095	6.25E-02	GNAS,ITPR3,PLA2G10,LTK,PLCH2,PLCE1,PLBD1,TXK	
Actin Cytoskeleton Signaling	3.76E-01	1.9414506867883021	6.06E-02	MYL4,MYL12B,ARHGEF12,GNA12,PIK3C2B,IRS1,MATK,BRK1,CFL2,PDGFC,MYL6,RALB,DIAPH3,WASF2	
Retinol Biosynthesis	3.76E-01	NaN	7.14E-02	CEL,PNPLA2,RDH13	
tRNA Splicing	3.76E-01	NaN	7.14E-02	TSEN2,GDE1,SMPDL3A	
Apelin Endothelial Signaling Pathway	3.77E-01	-0.7071067811865475	6.30E-02	GNAI1,RALB,AKT3,GNAS,PIK3C2B,IRS1,NOS3,ICAM1	
Leukocyte Extravasation Signaling	3.8E-01	0.0	6.10E-02	MMP25,GNAI1,CTNNA1,JAM2,MMP9,PIK3C2B,IRS1,RAP1GAP,TXK,MYL6,BMX,ICAM1,MMP28	
Ethanol Degradation IV	3.84E-01	NaN	8.00E-02	ALDH1A2,ACSL1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.84E-01	NaN	8.00E-02	SOCS3,STAT1	
Tryptophan Degradation III (Eukaryotic)	3.84E-01	NaN	8.00E-02	CDYL,CA1	
FLT3 Signaling in Hematopoietic Progenitor Cells	3.85E-01	0.0	6.52E-02	RALB,AKT3,CREB5,STAT1,PIK3C2B,IRS1	
α-Adrenergic Signaling	3.85E-01	0.8164965809277261	6.52E-02	GNAI1,RALB,GNAS,PYGL,ITPR3,SLC8A1	
Mechanisms of Viral Exit from Host Cells	3.92E-01	NaN	7.32E-02	SH3GL1,LMNB1,CHMP4B	
Citrulline Biosynthesis	3.92E-01	NaN	1.11E-01	ARG1,	
Phosphatidylethanolamine Biosynthesis II	3.92E-01	NaN	1.11E-01	CHKA,	
Prostanoid Biosynthesis	3.92E-01	NaN	1.11E-01	PTGDS,	
Sucrose Degradation V (Mammalian)	3.92E-01	NaN	1.11E-01	ALDOC,	
Th17 Activation Pathway	3.95E-01	1.6329931618554523	6.59E-02	IL1R1,IL1B,SOCS3,FCER1G,RORC,IRAK3	
Serotonin Degradation	3.97E-01	1.3416407864998738	6.76E-02	ALDH1A2,SMOX,SULT1B1,MAOA,LARGE2	
FAK Signaling	4.05E-01	NaN	6.54E-02	RALB,ASAP1,PTEN,AKT3,TNS1,PIK3C2B,IRS1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	4.06E-01	NaN	8.33E-02	IFNGR1,STAT1	
Tumoricidal Function of Hepatic Natural Killer Cells	4.06E-01	NaN	8.33E-02	SRGN,ICAM1	
Agranulocyte Adhesion and Diapedesis	4.07E-01	NaN	6.25E-02	MMP25,GNAI1,MYL6,MYL4,CCL28,IL1B,MMP9,IL1R1,SELL,CXCL16,ICAM1,MMP28	
P2Y Purigenic Receptor Signaling Pathway	4.14E-01	-1.0	6.43E-02	GNAI1,RALB,AKT3,P2RY11,CREB5,PLCH2,PLCE1,PIK3C2B,IRS1	
Aldosterone Signaling in Epithelial Cells	4.14E-01	-2.6457513110645903	6.32E-02	DNAJB2,HSPB1,DNAJC6,DUSP1,ITPR3,PLCH2,NR3C2,PLCE1,PIK3C2B,IRS1,ASIC3	
PTEN Signaling	4.14E-01	-0.7071067811865475	6.50E-02	RALB,PTEN,AKT3,SHARPIN,INPP5K,FOXO4,BCL2L1,FOXO3	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.18E-01	NaN	6.74E-02	CCR7,TLR4,CD28,NECTIN2,IL2RB,KLRC4-KLRK1/KLRK1	
Basal Cell Carcinoma Signaling	4.22E-01	-1.0	6.94E-02	PTCH1,LEF1,WNT1,WNT16,FZD5	
IL-2 Signaling	4.22E-01	-1.3416407864998738	6.94E-02	RALB,AKT3,IL2RB,PIK3C2B,IRS1	
April Mediated Signaling	4.26E-01	NaN	7.69E-02	MAP2K7,NFKBIA,TRAF5	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	4.29E-01	NaN	8.70E-02	NME4,CMPK2	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	4.29E-01	NaN	8.70E-02	RSAD2,IFNK	
Leptin Signaling in Obesity	4.3E-01	-2.0	6.82E-02	AKT3,SOCS3,PLCH2,PLCE1,PIK3C2B,IRS1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.32E-01	NaN	1.25E-01	MMP9,	
Sphingosine and Sphingosine-1-phosphate Metabolism	4.32E-01	NaN	1.25E-01	ASAH1,	
ERK/MAPK Signaling	4.39E-01	-0.2773500981126146	6.34E-02	PPP2R5B,PLA2G10,PIK3C2B,IRS1,ETS2,HIST1H3C,HSPB1,PPP1R3D,RALB,DUSP1,CREB5,STAT1,JMJD7-PLA2G4B	
CCR3 Signaling in Eosinophils	4.42E-01	-0.8164965809277261	6.57E-02	GNAI1,RALB,GNAS,ITPR3,PLA2G10,JMJD7-PLA2G4B,IRS1,PIK3C2B,CFL2	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	4.54E-01	NaN	6.98E-02	RALB,MAP2K7,CD28,PPP3R1,CHP1,NFKBIA	
GP6 Signaling Pathway	4.62E-01	-2.3333333333333335	6.67E-02	AKT3,COL6A3,COL6A1,LAMC1,COL5A3,PIK3C2B,COL4A3,IRS1,FCER1G	
ERK5 Signaling	4.63E-01	1.3416407864998738	7.25E-02	RALB,CREB5,GNA12,WNK1,FOXO3	
Noradrenaline and Adrenaline Degradation	4.64E-01	NaN	8.11E-02	ALDH1A2,SMOX,MAOA	
Ceramide Signaling	4.71E-01	1.889822365046136	6.93E-02	S1PR2,RALB,PPP2R5B,AKT3,PIK3C2B,IRS1,CTSD	
CD28 Signaling in T Helper Cells	4.72E-01	-1.1338934190276817	6.72E-02	CD28,AKT3,ITPR3,PPP3R1,CHP1,PIK3C2B,IRS1,FCER1G,NFKBIA	
T Cell Receptor Signaling	4.77E-01	NaN	6.84E-02	RALB,CD28,PPP3R1,BMX,PIK3C2B,IRS1,NFKBIA,TXK	
Thioredoxin Pathway	4.78E-01	NaN	1.43E-01	TXN,	
IL-15 Signaling	4.8E-01	NaN	7.14E-02	RALB,AKT3,IL2RB,PIK3C2B,IRS1,BCL2L1	
Neurotrophin/TRK Signaling	4.8E-01	0.8164965809277261	7.14E-02	RALB,MAP2K7,CREB5,PIK3C2B,IRS1,MAP2K3	
Maturity Onset Diabetes of Young (MODY) Signaling	4.8E-01	NaN	9.52E-02	CACNA1E,CACNA1C	
